訓練日期,20190722 - 20191021
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10836319.789999999105930
真實報酬,836319.789999999105930

夏普值報酬,0.074931979000000
夏普值風險,0.025050371985929
夏普值,2.991252147556545

預期報酬,12579.513269737881274
風險,96871.420265952925547
趨勢值,0.129857838722730
找到最佳解世代,2173
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),MRK[17](6),PG[21](4),VZ[26](3),
Stock#,AAPL[0](1),MRK[17](6),PG[21](4),VZ[26](3),
張數,12340,30716,21737,44177,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,39.399999999906868,24.759999999776483,27.629999999888241,23.569999999832362,
20190722,2557134.199999999720603,2494471.119999999646097,2506303.729999999981374,2451847.069999999832362,10009756.119999999180436
20190723,2577125.000000000000000,2519658.239999999757856,2474785.079999999608845,2450963.529999999795109,10022531.849999999627471
20190724,2575027.199999999720603,2511057.759999999776483,2447613.829999999608845,2472610.259999999776483,10006309.049999998882413
20190725,2554666.200000000186265,2511057.759999999776483,2451309.119999999646097,2489839.290000000037253,10006872.370000001043081
20190726,2563551.000000000000000,2501228.640000000130385,2493913.640000000130385,2521646.729999999981374,10080340.010000001639128
20190729,2587490.600000000093132,2533787.599999999627471,2521519.629999999888241,2534458.059999999590218,10177255.889999998733401
20190730,2576384.600000000093132,2557746.079999999608845,2617379.799999999813735,2501767.080000000074506,10253277.559999998658895
20190731,2628953.000000000000000,2549145.599999999627471,2565863.109999999869615,2441686.359999999869615,10185648.069999998435378
20190801,2572065.600000000093132,2570646.799999999813735,2537387.640000000130385,2441244.589999999850988,10121344.630000000819564
20190802,2517646.200000000186265,2594605.279999999795109,2531083.909999999683350,2455823.000000000000000,10099158.390000000596046
20190805,2385855.000000000000000,2553138.679999999701977,2458047.589999999850988,2439477.509999999776483,9836518.779999999329448
20190806,2431019.399999999906868,2590919.359999999403954,2484131.989999999757856,2431967.419999999925494,9938038.169999999925494
20190807,2456193.000000000000000,2587847.759999999776483,2511085.869999999646097,2433734.500000000000000,9988861.129999998956919
20190808,2510365.600000000093132,2602591.439999999944121,2552820.909999999683350,2465983.709999999962747,10131761.660000000149012
20190809,2480256.000000000000000,2626857.079999999608845,2538474.489999999757856,2464216.629999999888241,10109804.199999999254942
20190812,2473962.599999999627471,2611499.079999999608845,2522171.739999999757856,2460240.699999999720603,10067874.119999999180436
20190813,2578729.199999999720603,2644058.039999999571592,2548690.879999999888241,2490281.059999999590218,10261759.179999999701977
20190814,2501974.399999999906868,2561739.160000000149012,2516954.859999999869615,2461566.009999999776483,10042234.429999999701977
20190815,2489511.000000000000000,2563582.119999999646097,2551734.060000000055879,2487188.669999999925494,10092015.849999999627471
20190816,2548249.399999999906868,2612727.719999999739230,2590643.290000000037253,2502650.619999999646097,10254271.029999999329448
20190819,2595758.399999999906868,2647436.799999999813735,2613684.509999999776483,2518112.569999999832362,10374992.279999999329448
20190820,2595881.800000000279397,2630850.160000000149012,2584556.930000000167638,2485863.359999999869615,10297152.250000000000000
20190821,2624016.999999999534339,2669552.319999999832362,2591078.029999999795109,2500000.000000000000000,10384647.349999999627471
20190822,2621795.799999999813735,2663716.279999999795109,2595860.169999999925494,2508393.629999999888241,10389765.879999998956919
20190823,2500616.999999999534339,2609041.799999999813735,2550212.469999999739230,2470401.409999999683350,10130272.679999997839332
20190826,2548126.000000000000000,2637914.839999999850988,2593686.469999999739230,2505301.239999999757856,10285028.549999998882413
20190827,2519373.799999999813735,2626857.079999999608845,2620422.979999999981374,2526064.429999999701977,10292718.289999999105930
20190828,2536279.600000000093132,2656344.439999999944121,2638899.430000000167638,2560080.719999999739230,10391604.190000001341105
20190829,2579222.799999999813735,2663716.279999999795109,2634117.290000000037253,2559638.949999999720603,10436695.320000000298023
20190830,2575891.000000000000000,2656037.279999999795109,2613467.140000000130385,2569357.889999999664724,10414753.309999998658895
20190903,2538377.399999999906868,2661566.160000000149012,2638029.949999999720603,2564056.649999999906868,10402030.160000000149012
20190904,2581444.000000000000000,2643136.559999999590218,2678243.399999999906868,2570241.429999999701977,10473065.389999998733401
20190905,2631914.600000000093132,2644672.359999999403954,2668461.750000000000000,2588354.000000000000000,10533402.709999999031425
20190906,2631667.799999999813735,2659108.879999999422580,2670852.819999999832362,2609117.189999999944121,10570746.689999999478459
20190909,2642897.199999999720603,2563889.279999999795109,2655636.919999999925494,2591446.389999999664724,10453869.789999999105930
20190910,2674117.399999999906868,2509214.799999999813735,2605859.189999999944121,2637832.239999999757856,10427023.629999998956919
20190911,2759140.000000000000000,2546995.479999999981374,2636073.619999999646097,2656386.580000000074506,10598595.679999999701977
20190912,2752970.000000000000000,2558974.719999999739230,2668679.119999999646097,2669639.679999999701977,10650263.519999999552965
20190913,2699414.399999999906868,2537473.519999999552965,2654550.069999999832362,2648876.489999999757856,10540314.480000000447035
20190916,2713605.399999999906868,2519658.239999999757856,2603033.379999999888241,2628555.069999999832362,10464852.089999999850988
20190917,2723477.399999999906868,2534401.919999999925494,2633682.549999999813735,2644900.559999999590218,10536462.429999999701977
20190918,2749021.200000000186265,2550067.079999999608845,2639116.799999999813735,2647551.179999999701977,10585756.259999997913837
