訓練日期,20170629 - 20170929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10997742.849999999627471
真實報酬,997742.849999999627471

夏普值報酬,0.091074285000000
夏普值風險,0.029724510286185
夏普值,3.063945683987534

預期報酬,15993.538449367428257
風險,70978.352050282890559
趨勢值,0.225329808136954
找到最佳解世代,1706
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](9),AXP[1](8),BA[2](2),CAT[3](1),DD[7](13),HD[9](21),MCD[15](15),UNH[23](4),V[25](3),
Stock#,AAPL[0](9),AXP[1](8),BA[2](2),CAT[3](1),DD[7](13),HD[9](21),MCD[15](15),UNH[23](4),V[25](3),
張數,7619,13232,5566,10437,12336,7251,7200,5983,11546,
分配資金,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,1111111.000000000000000,
剩餘資金,32.229999999981374,19.959999999962747,26.080000000074506,92.349999999860302,7.479999999981374,40.270000000018626,151.000000000000000,67.900000000139698,39.419999999925494,
20170629,1094730.150000000139698,1106612.119999999878928,1099088.440000000176951,1102657.029999999795109,1101612.280000000027940,1103352.429999999934807,1102687.000000000000000,1108538.310000000288710,1090212.739999999990687,9909491.500000000000000
20170630,1097320.610000000102445,1114683.639999999897555,1100702.580000000074506,1121652.369999999878928,1108027.000000000000000,1112343.670000000158325,1102903.000000000000000,1109435.760000000009313,1082823.300000000046566,9949892.930000001564622
20170703,1093358.729999999981374,1126063.159999999916181,1105378.020000000018626,1116538.239999999757856,1123323.639999999897555,1116766.780000000027940,1098151.000000000000000,1116794.850000000093132,1077858.519999999785796,9974233.939999999478459
20170705,1097853.939999999944121,1123284.439999999944121,1123300.540000000037253,1121965.479999999748543,1114195.000000000000000,1107195.459999999962747,1102255.000000000000000,1126367.650000000139698,1085478.879999999888241,10001897.390000000596046
20170706,1087492.099999999860302,1108067.639999999897555,1121463.760000000009313,1111737.219999999972060,1116662.199999999953434,1102554.820000000065193,1102399.000000000000000,1118529.920000000158325,1076703.919999999925494,9945611.580000000074506
20170707,1098539.650000000139698,1115874.520000000018626,1126417.500000000000000,1116016.389999999897555,1122460.119999999878928,1103860.000000000000000,1125295.000000000000000,1124632.580000000074506,1084439.739999999990687,10017536.500000000000000
20170710,1105244.370000000111759,1115477.559999999823049,1135267.440000000176951,1125618.429999999934807,1133439.159999999916181,1096246.449999999953434,1119895.000000000000000,1118589.750000000000000,1097948.560000000055879,10047727.720000000670552
20170711,1108825.300000000046566,1113625.079999999841675,1148124.900000000139698,1129793.229999999748543,1134055.959999999962747,1092040.869999999878928,1115503.000000000000000,1112606.750000000000000,1101643.279999999795109,10056219.369999999180436
20170712,1110425.290000000037253,1122358.199999999953434,1149071.120000000111759,1137307.869999999878928,1164402.520000000018626,1106470.360000000102445,1127527.000000000000000,1117034.170000000158325,1110533.699999999953434,10145131.230000000447035
20170713,1125891.860000000102445,1129635.800000000046566,1147902.260000000009313,1132193.739999999757856,1152559.959999999962747,1111546.060000000055879,1116439.000000000000000,1109794.739999999990687,1107762.659999999916181,10133727.080000000074506
20170714,1135567.989999999990687,1128444.919999999925494,1160592.739999999990687,1135324.839999999850988,1163662.359999999869615,1108573.149999999906868,1118167.000000000000000,1118290.600000000093132,1119193.199999999953434,10187817.799999998882413
20170717,1139529.870000000111759,1127651.000000000000000,1163320.080000000074506,1136055.429999999934807,1161565.239999999990687,1115896.659999999916181,1118023.000000000000000,1114999.950000000186265,1118038.599999999860302,10195080.830000000074506
20170718,1143491.750000000000000,1131620.599999999860302,1159089.920000000158325,1117581.939999999711290,1155027.159999999916181,1103424.939999999944121,1108663.000000000000000,1117991.450000000186265,1126698.099999999860302,10163589.859999997541308
20170719,1150653.610000000102445,1137045.719999999972060,1173784.160000000149012,1125722.799999999813735,1173037.719999999972060,1111618.570000000065193,1108159.000000000000000,1131991.670000000158325,1134433.919999999925494,10246448.169999999925494
20170720,1145472.689999999944121,1129371.159999999916181,1170444.560000000055879,1120191.189999999711290,1166376.280000000027940,1066154.800000000046566,1110463.000000000000000,1145812.400000000139698,1132817.479999999981374,10187104.560000000521541
20170721,1144939.360000000102445,1132546.840000000083819,1180797.320000000065193,1112572.179999999934807,1161935.320000000065193,1063399.420000000158325,1108375.000000000000000,1147487.640000000130385,1150021.019999999785796,10202075.099999999627471
20170724,1158805.939999999944121,1124739.959999999962747,1181019.960000000195578,1129167.010000000009313,1163292.280000000027940,1048389.850000000093132,1093471.000000000000000,1142162.770000000018626,1158911.439999999944121,10199961.209999999031425
20170725,1163758.290000000037253,1130165.079999999841675,1182578.440000000176951,1195546.329999999841675,1174394.679999999934807,1065719.739999999990687,1145455.000000000000000,1139231.100000000093132,1154523.959999999962747,10351373.620000001043081
20170726,1169243.969999999972060,1128709.559999999823049,1299408.780000000027940,1184900.589999999850988,1166869.719999999972060,1063689.459999999962747,1127023.000000000000000,1141325.150000000139698,1164453.519999999785796,10445624.749999998137355
20170727,1147148.870000000111759,1109523.159999999916181,1341432.080000000074506,1193772.039999999804422,1161195.159999999916181,1071230.500000000000000,1130191.000000000000000,1130436.090000000083819,1149674.639999999897555,10434604.540000000968575
20170728,1139072.729999999981374,1122093.559999999823049,1342934.900000000139698,1190954.049999999813735,1153793.560000000055879,1073768.350000000093132,1122271.000000000000000,1143718.350000000093132,1144825.320000000065193,10433432.820000000298023
20170731,1133206.099999999860302,1127783.320000000065193,1349558.440000000176951,1189388.500000000000000,1128504.760000000009313,1084789.869999999878928,1117159.000000000000000,1147667.130000000121072,1149559.179999999934807,10427617.300000000745058
20170801,1143263.180000000167638,1127915.639999999897555,1332749.120000000111759,1180517.049999999813735,1136399.800000000046566,1086602.619999999878928,1109239.000000000000000,1150179.989999999990687,1164684.439999999944121,10431551.839999999850988
20170802,1197281.889999999897555,1128709.559999999823049,1324455.780000000027940,1180412.679999999934807,1129615.000000000000000,1091315.770000000018626,1127599.000000000000000,1154786.900000000139698,1169418.300000000046566,10503595.880000000819564
20170803,1185320.059999999823049,1131885.239999999990687,1326125.580000000074506,1185318.069999999832362,1114318.359999999869615,1093418.560000000055879,1114135.000000000000000,1165376.810000000288710,1161451.560000000055879,10477350.240000000223517
20170804,1191567.639999999897555,1137575.000000000000000,1323119.940000000176951,1193563.299999999813735,1126284.280000000027940,1107630.520000000018626,1107655.000000000000000,1166034.940000000176951,1164915.359999999869615,10518346.979999998584390
20170807,1210005.620000000111759,1135987.159999999916181,1337146.260000000009313,1197320.619999999878928,1122213.399999999906868,1111981.119999999878928,1115935.000000000000000,1165436.640000000130385,1171842.959999999962747,10567869.780000001192093
20170808,1219681.750000000000000,1137178.040000000037253,1333083.080000000074506,1194189.519999999785796,1113948.280000000027940,1111981.119999999878928,1115575.000000000000000,1166154.600000000093132,1169418.300000000046566,10561210.690000001341105
20170809,1227148.370000000111759,1133870.040000000037253,1304195.540000000037253,1193458.929999999934807,1115551.959999999962747,1125830.530000000027940,1115575.000000000000000,1165735.790000000270084,1165839.039999999804422,10547206.199999999254942
20170810,1183415.309999999823049,1118917.879999999888241,1296236.160000000149012,1181038.899999999906868,1108643.800000000046566,1115824.149999999906868,1127815.000000000000000,1152214.210000000195578,1148750.959999999962747,10432857.370000001043081
20170811,1199872.349999999860302,1115345.239999999990687,1307368.160000000149012,1177907.799999999813735,1111357.719999999972060,1123075.149999999906868,1132711.000000000000000,1154906.560000000288710,1155678.560000000055879,10478223.540000000968575
20170814,1217929.379999999888241,1130959.000000000000000,1320002.980000000214204,1186883.619999999878928,1113948.280000000027940,1118579.530000000027940,1132423.000000000000000,1159034.830000000074506,1176230.439999999944121,10555992.060000000521541
20170815,1231262.629999999888241,1148425.239999999990687,1331246.300000000046566,1186257.399999999906868,1118512.600000000093132,1088922.939999999944121,1135015.000000000000000,1163761.400000000139698,1185005.399999999906868,10588409.910000000149012
20170816,1226310.279999999795109,1156364.439999999944121,1322452.020000000018626,1191162.789999999804422,1123323.639999999897555,1104005.020000000018626,1144231.000000000000000,1159393.810000000288710,1192972.139999999897555,10620216.140000000596046
20170817,1202767.570000000065193,1139162.840000000083819,1311320.020000000018626,1180934.529999999795109,1109877.399999999906868,1085297.439999999944121,1136959.000000000000000,1152992.000000000000000,1179578.779999999795109,10498890.579999998211861
20170818,1200024.729999999981374,1129768.119999999878928,1312321.900000000139698,1189075.389999999897555,1113824.920000000158325,1069490.260000000009313,1136023.000000000000000,1141743.960000000195578,1183619.879999999888241,10475893.160000000149012
20170821,1197815.219999999972060,1128709.559999999823049,1311820.960000000195578,1185735.549999999813735,1121843.320000000065193,1081889.469999999972060,1140343.000000000000000,1148983.390000000130385,1191817.539999999804422,10508959.009999999776483
20170822,1217396.050000000046566,1128709.559999999823049,1334474.580000000074506,1208905.689999999711290,1138003.479999999981374,1087037.679999999934807,1149559.000000000000000,1165496.470000000204891,1201631.639999999897555,10631215.150000000372529
20170823,1218919.849999999860302,1128444.919999999925494,1325235.020000000018626,1197738.099999999860302,1134549.399999999906868,1081164.369999999878928,1143583.000000000000000,1162205.820000000298023,1191355.699999999953434,10583197.179999999701977
20170824,1213510.360000000102445,1129503.479999999981374,1328852.920000000158325,1198051.209999999962747,1130478.520000000018626,1075001.020000000018626,1140703.000000000000000,1165257.150000000139698,1191817.539999999804422,10573176.199999999254942
20170825,1218005.570000000065193,1130959.000000000000000,1312989.820000000065193,1204000.299999999813735,1133809.239999999990687,1085152.420000000158325,1143655.000000000000000,1162923.780000000260770,1193318.519999999785796,10584814.650000000372529
20170828,1230272.159999999916181,1130165.079999999841675,1320169.960000000195578,1201077.939999999711290,1136153.079999999841675,1097769.159999999916181,1149775.000000000000000,1167291.370000000111759,1198283.300000000046566,10630958.050000000745058
