訓練日期,20180102 - 20180405
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10986248.880000000819564
真實報酬,986248.880000000819564

夏普值報酬,0.089924888000000
夏普值風險,0.038095744866441
夏普值,2.360496908913734

預期報酬,18778.974397480389598
風險,276071.980624547926709
趨勢值,0.068022022209561
找到最佳解世代,2130
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,3
CSCO[4](1),INTC[11](7),NKE[19](3),
Stock#,CSCO[4](1),INTC[11](7),NKE[19](3),
張數,87032,72212,53290,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,7.400000000372529,27.080000000074506,43.500000000000000,
20180102,3382070.920000000391155,3383159.280000000260770,3383425.600000000093132,10148656.800000000745058
20180103,3409050.840000000316650,3268342.199999999720603,3382892.699999999720603,10060286.740000000223517
20180104,3393385.080000000540167,3208406.240000000223517,3380761.100000000093132,9982553.419999999925494
20180105,3440382.360000000335276,3230791.960000000428408,3409537.699999999720603,10080713.019999999552965
20180108,3476065.479999999981374,3230791.960000000428408,3439913.000000000000000,10146771.440000001341105
20180109,3454307.479999999981374,3149914.520000000018626,3415399.600000000093132,10019622.599999999627471
20180110,3473454.520000000018626,3069037.080000000074506,3422327.299999999813735,9964819.899999998509884
20180111,3489990.600000000558794,3134750.000000000000000,3426057.600000000558794,10050799.200000001117587
20180112,3557005.240000000223517,3122473.960000000428408,3446307.800000000279397,10125788.000000001862645
20180116,3528284.680000000167638,3115252.760000000242144,3379695.300000000279397,10023233.740000000223517
20180117,3585725.800000000745058,3205517.760000000242144,3400478.399999999906868,10191722.960000000894070
20180118,3594429.000000000000000,3212016.839999999850988,3416465.399999999906868,10222912.240000000223517
20180119,3593558.680000000167638,3236568.919999999925494,3581664.399999999441206,10411793.000000000000000
20180122,3625760.520000000018626,3303726.080000000074506,3537966.600000000093132,10467454.199999999254942
20180123,3664054.600000000558794,3326111.800000000279397,3577934.100000000093132,10568101.500000000000000
20180124,3670146.840000000316650,3286395.199999999720603,3623763.500000000000000,10580306.539999999105930
20180125,3646648.200000000186265,3271230.679999999701977,3608309.399999999441206,10526189.279999999329448
20180126,3704089.320000000763685,3616404.040000000037253,3625895.100000000558794,10946389.460000000894070
20180129,3729328.600000000558794,3609182.839999999850988,3601381.699999999720603,10939894.140000000596046
20180130,3677109.400000000372529,3523250.560000000055879,3588059.199999999720603,10788420.160000000149012
20180131,3615316.680000000167638,3476312.760000000242144,3635487.299999999813735,10727117.740000000223517
20180201,3629241.800000000745058,3440928.879999999888241,3605112.000000000465661,10675283.680000001564622
20180202,3562227.160000000149012,3332610.879999999888241,3582197.299999999813735,10477036.339999999850988
20180205,3375108.360000000335276,3214905.320000000298023,3431386.600000000093132,10021401.280000001192093
20180206,3496082.840000000316650,3243068.000000000000000,3475617.299999999813735,10214769.140000000596046
20180207,3510878.280000000726432,3264009.480000000447035,3497466.199999999720603,10272354.960000000894070
20180208,3374238.040000000502914,3087090.080000000074506,3330135.600000000093132,9791464.720000000670552
20180209,3440382.360000000335276,3173744.480000000447035,3490005.599999999627471,10104133.440000001341105
20180212,3533506.600000000558794,3237291.040000000037253,3516117.700000000186265,10286916.339999999850988
20180213,3588336.760000000242144,3210572.600000000093132,3510255.800000000279397,10309166.160000000149012
20180214,3663184.280000000726432,3277007.640000000130385,3621631.899999999441206,10561824.820000000298023
20180215,3836377.960000000428408,3316002.120000000111759,3639217.600000000558794,10791598.679999999701977
20180216,3858135.960000000428408,3290005.800000000279397,3639750.500000000000000,10787893.260000001639128
20180220,3834637.320000000763685,3344886.919999999925494,3596585.599999999627471,10776110.839999999850988
20180221,3769363.320000000763685,3317446.359999999869615,3573138.000000000000000,10659948.679999999701977
20180222,3737161.479999999981374,3307336.679999999701977,3577401.199999999720603,10621900.359999999403954
20180223,3829415.400000000372529,3446705.839999999850988,3632289.899999999906868,10908412.140000000596046
20180226,3947778.920000000391155,3546358.399999999906868,3711692.000000000465661,11205830.320000000298023
20180227,3919928.680000000167638,3604128.000000000000000,3625362.200000000186265,11149419.879999998956919
20180228,3897300.360000000335276,3559356.560000000055879,3572072.200000000186265,11028730.120000001043081
20180301,3812009.000000000000000,3454649.160000000149012,3534236.299999999813735,10800895.460000000894070
20180302,3834637.320000000763685,3536970.839999999850988,3511321.600000000093132,10882930.759999999776483
20180305,3874672.040000000502914,3592574.080000000074506,3466558.000000000000000,10933805.120000001043081
20180306,3854654.680000000167638,3661897.600000000093132,3476683.099999999627471,10993236.379999998956919
20180307,3846821.800000000745058,3705946.919999999925494,3419662.800000000279397,10972432.520000001415610
20180308,3859006.280000000726432,3664063.960000000428408,3469755.399999999906868,10992826.640000000596046
20180309,3948649.240000000223517,3768771.359999999869615,3533170.500000000000000,11250592.099999999627471
20180312,3964315.000000000000000,3720389.320000000298023,3560881.299999999813735,11245586.620000001043081
20180313,3930372.520000000018626,3739164.439999999944121,3526242.800000000279397,11195780.759999999776483
20180314,3940816.360000000335276,3744941.399999999906868,3527841.500000000000000,11213600.259999999776483
20180315,3945167.960000000428408,3674173.640000000130385,3537966.600000000093132,11157309.200000001117587
20180316,3917317.720000000204891,3695115.120000000111759,3512387.399999999906868,11124821.240000000223517
20180319,3852914.040000000502914,3670563.040000000037253,3501729.399999999441206,11025207.480000000447035
20180320,3861617.240000000223517,3722555.679999999701977,3559815.500000000000000,11143989.419999999925494
20180321,3856395.320000000763685,3723277.800000000279397,3535834.999999999534339,11115509.120000001043081
20180322,3748475.640000000596046,3670563.040000000037253,3432985.300000000279397,10852024.980000000447035
20180323,3691904.840000000316650,3564411.399999999906868,3444176.199999999720603,10700493.439999999478459
20180326,3834637.320000000763685,3789712.839999999850988,3511854.500000000465661,11136205.660000000149012
20180327,3714533.160000000149012,3696559.359999999869615,3526242.800000000279397,10937336.320000000298023
20180328,3625760.520000000018626,3581742.280000000260770,3487341.100000000093132,10694844.900000000372529
20180329,3732809.880000000353903,3760828.040000000037253,3540631.100000000093132,11034270.019999999552965
20180402,3569189.720000000204891,3532638.120000000111759,3416998.300000000279397,10518827.140000000596046
20180403,3601391.560000000521541,3592574.080000000074506,3554486.500000000000000,10748453.140000000596046
20180404,3585725.800000000745058,3609904.960000000428408,3646145.300000000279397,10841777.060000002384186
20180405,3639685.640000000596046,3638067.640000000130385,3708494.600000000093132,10986248.880000000819564
