代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11762225.574999999000
真實報酬,1762225.574999999300

夏普值報酬,0.167522557500
夏普值風險,0.047848289556
夏普值,3.501119038002

預期報酬,27374.916434763520
風險,127655.342145298520
起點值,0.214443954908
找到最佳解世代,4991
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,7
2105(8),2227(11),2325(18),2409(23),3045(42),4904(45),4938(46),
Stock#,2105(8),2227(11),2325(18),2409(23),3045(42),4904(45),4938(46),
張數,23,6,40,111,16,25,30,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,3533.210750000000,99840.252999999997,1340.090000000000,188.451250000000,78650.100000000006,2541.800000000000,7248.497499999767,
FS( 1 ),1426543.210750000100,1426680.253000000000,1426540.090000000100,1426538.451249999900,1426650.100000000100,1426541.800000000000,1426548.497500000100,9986045.402500001700
FS( 2 ),1432153.468500000200,1404740.405499999600,1420233.580000000100,1464430.382499999800,1421959.536000000100,1420240.600000000100,1389803.499999999800,9953564.472500000100
FS( 3 ),1466042.841500000100,1407010.316500000200,1421826.500000000500,1450064.235249999900,1415269.272000000100,1437414.268750000000,1387414.119999999900,9985044.553999999500
FS( 4 ),1450014.084000000000,1381742.622999999900,1428596.410000000400,1410281.058249999800,1426101.128000000000,1441894.356250000000,1379648.634999999800,9918281.294499998900
FS( 5 ),1460089.303000000100,1367943.953500000100,1420233.580000000100,1474376.176749999900,1405711.752000000100,1428951.881250000100,1397568.984999999900,9954878.631500000100
FS( 6 ),1460089.303000000100,1400140.848999999900,1411870.750000000500,1450064.235249999900,1419251.572000000200,1435423.118750000100,1445655.257499999800,10022498.085500002000
FS( 7 ),1455967.622500000100,1466744.816500000200,1441738.000000000500,1385969.116749999600,1416543.608000000000,1439654.312500000000,1544515.854999999700,10151136.331250001000
FS( 8 ),1434214.308750000100,1524149.670999999900,1418640.660000000400,1410281.058249999800,1404278.124000000100,1433183.075000000000,1615599.909999999900,10240349.807000000000
FS( 9 ),1466042.841500000100,1533348.784000000000,1449702.600000000100,1390389.469749999900,1421959.536000000100,1435423.118750000100,1618287.962499999400,10315157.312500000000
FS( 10 ),1446121.385750000100,1505811.179500000100,1453286.670000000200,1410281.058249999800,1416543.608000000000,1439654.312500000000,1684294.584999999700,10355995.798999999000
FS( 11 ),1436046.166750000100,1478213.840499999900,1451693.750000000500,1385969.116749999600,1404278.124000000100,1433183.075000000000,1684294.584999999700,10273681.657999998000
FS( 12 ),1426199.930000000200,1501211.622999999900,1454879.590000000100,1366077.528250000000,1413835.644000000100,1439654.312500000000,1686683.964999999600,10288545.592750002000
FS( 13 ),1446121.385750000100,1510410.736000000000,1477976.929999999700,1414701.411250000400,1423393.164000000100,1439654.312500000000,1714759.179999999900,10427020.119500000000
FS( 14 ),1446121.385750000100,1583884.170999999900,1515808.780000000000,1450064.235249999900,1416543.608000000000,1448116.700000000000,1795699.427499999800,10656241.307499999000
FS( 15 ),1446121.385750000100,1549417.364499999900,1520985.769999999800,1444538.793999999800,1416543.608000000000,1450356.743750000100,1884703.832500000000,10712670.498499999000
FS( 16 ),1446121.385750000100,1560946.122999999900,1496295.510000000000,1434592.999749999700,1417977.236000000000,1446125.550000000000,1823774.642499999800,10625836.447000001000
FS( 17 ),1434214.308750000100,1563216.034000000000,1494304.360000000300,1444538.793999999800,1409694.052000000100,1424720.687500000000,1839006.939999999700,10609698.176250000000
FS( 18 ),1408339.314500000100,1579284.614499999900,1492711.440000000200,1420226.852499999800,1406986.088000000200,1403315.825000000000,1892170.645000000000,10603037.779500000000
FS( 19 ),1422307.231750000000,1558616.477500000000,1492711.440000000200,1444538.793999999800,1416543.608000000000,1441894.356250000000,1864394.102499999800,10641009.010000000000
FS( 20 ),1430092.628249999800,1549417.364499999900,1502667.190000000200,1444538.793999999800,1421959.536000000100,1439654.312500000000,1828852.074999999700,10617184.900249999000
FS( 21 ),1420246.391500000100,1537948.340499999900,1477976.929999999700,1454484.588249999800,1419251.572000000200,1441894.356250000000,1864394.102499999800,10616199.280999998000
FS( 22 ),1412232.012750000200,1515010.292500000200,1468021.179999999700,1414701.411250000400,1416543.608000000000,1493166.468750000000,1864394.102499999800,10584072.075750001000
FS( 23 ),1434214.308750000100,1570145.236000000000,1515808.780000000000,1504213.559500000000,1443941.831999999900,1491175.318750000100,1879626.399999999400,10839128.434999999000
FS( 24 ),1438107.007000000000,1579284.614499999900,1519392.850000000100,1508633.912499999900,1450632.096000000100,1478232.843750000000,1849161.804999999900,10823448.128750000000
FS( 25 ),1426199.930000000200,1583884.170999999900,1524171.610000000300,1499793.206499999900,1430242.720000000000,1450356.743750000100,1849161.804999999900,10763813.186249999000
FS( 26 ),1444060.545499999800,1641348.760000000200,1542490.190000000200,1460010.029500000200,1434384.312000000200,1454587.937500000000,1861706.049999999800,10838590.824500002000
FS( 27 ),1469935.539750000000,1673485.920999999900,1548861.870000000100,1460010.029500000200,1443941.831999999900,1461059.175000000000,1841396.319999999800,10898693.687250001000
FS( 28 ),1452074.924250000200,1675815.566500000200,1537313.200000000200,1394809.822750000100,1430242.720000000000,1471761.606250000000,1795699.427499999800,10757720.267250001000
FS( 29 ),1436046.166750000100,1634419.557999999700,1537313.200000000200,1420226.852499999800,1423393.164000000100,1461059.175000000000,1803464.912499999600,10715926.028750001000
FS( 30 ),1440167.847250000100,1622950.534000000000,1525764.530000000000,1430172.646749999800,1420685.200000000200,1446125.550000000000,1808542.345000000200,10694411.653000001000
FS( 31 ),1430092.628249999800,1611481.510000000200,1514215.860000000300,1404755.617000000300,1409694.052000000100,1439654.312500000000,1884703.832500000000,10694600.812249999000
FS( 32 ),1436046.166750000100,1609151.864499999900,1501074.269999999800,1424647.205499999900,1437092.276000000100,1486944.125000000000,1836318.887499999700,10731277.795249999000
FS( 33 ),1432153.468500000200,1583884.170999999900,1481162.769999999800,1434592.999749999700,1412402.016000000100,1471761.606250000000,1795699.427499999800,10611659.458999999000
FS( 34 ),1430092.628249999800,1588483.727500000000,1547268.950000000200,1430172.646749999800,1431517.056000000100,1469770.456250000000,1798387.479999999700,10695695.944750002000
FS( 35 ),1426199.930000000200,1574685.058000000000,1554038.860000000300,1414701.411250000400,1457481.652000000200,1482464.037500000100,1747613.155000000000,10657187.103750000000
FS( 36 ),1428260.770250000100,1602282.397000000100,1593463.629999999700,1494267.765249999900,1442508.204000000100,1501877.750000000000,1846473.752499999700,10909137.268999999000
FS( 37 ),1467874.699500000300,1604552.308000000000,1595056.550000000500,1499793.206499999900,1450632.096000000100,1504117.793750000000,1828852.074999999700,10950881.728750000000
FS( 38 ),1471996.379999999900,1604552.308000000000,1595056.550000000500,1603671.501999999900,1450632.096000000100,1510340.137500000000,1828852.074999999700,11065104.048500000000
