代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11616728.820749998000
真實報酬,1616728.820749998100

夏普值報酬,0.152972882075
夏普值風險,0.057222609064
夏普值,2.673294429917

預期報酬,32470.257827445763
風險,177254.417652330940
起點值,0.183184477191
找到最佳解世代,4368
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
2354(20),2409(24),3045(41),4904(44),8046(47),
Stock#,2354(20),2409(24),3045(41),4904(44),8046(47),
張數,30,79,48,82,24,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,5461.827499999999,19812.247749999766,27753.547999999999,2097.039500000000,40491.673999999999,
FS( 1 ),1997161.827499999900,1997182.247750000100,1997193.548000000000,1997157.039500000000,1997211.674000000100,9985906.336750000700
FS( 2 ),1988348.554999999700,1995510.923749999800,2021930.095999999900,1988328.899000000000,1927146.122000000000,9921264.595750000300
FS( 3 ),2024487.927499999800,2074161.348749999900,2042478.763999999700,2004656.329000000100,1921172.671999999800,10066957.041250000000
FS( 4 ),1997308.729999999500,2049779.716999999900,2035310.624000000100,2010370.929499999900,1930969.129999999900,10023739.130500000000
FS( 5 ),2006567.577499999900,2039555.161750000000,2038655.755999999800,2012820.043999999800,1921172.671999999800,10018771.211250000000
FS( 6 ),2015527.752499999900,2053712.238249999700,2052514.159999999700,2015269.158500000100,1969199.210000000000,10106222.519250000000
FS( 7 ),2124244.542500000000,2121351.603749999300,2038655.755999999800,2015269.158500000100,1940526.649999999900,10240047.710749999000
FS( 8 ),2106025.520000000000,2145733.235500000000,2092655.743999999900,2007105.443499999800,1951995.674000000100,10303515.617000001000
FS( 9 ),2133204.717500000300,2138654.697249999700,2075930.083999999600,2012820.043999999800,1955818.682000000000,10316428.224750001000
FS( 10 ),2124244.542500000000,2176406.901250000100,2072584.952000000000,2012820.043999999800,1969199.210000000000,10355255.649749998000
FS( 11 ),2151423.740000000200,2179552.918249999600,2079275.215999999800,2018534.644499999700,2017225.748000000100,10446012.266750000000
FS( 12 ),2097065.344999999700,2196856.011749999600,2072584.952000000000,2026698.359500000300,2084367.325999999900,10477571.994250000000
FS( 13 ),2124244.542500000000,2179552.918249999600,2102691.139999999700,2018534.644499999700,2074809.806000000300,10499833.051250000000
FS( 14 ),2124244.542500000000,2155957.790749999700,2055859.291999999900,2020983.759000000100,2093924.845999999900,10450970.230249997000
FS( 15 ),2133204.717500000300,2169328.362999999400,2059204.424000000100,2020983.759000000100,2074809.806000000300,10457531.069499999000
FS( 16 ),2124244.542500000000,2176406.901250000100,2062549.555999999900,2023432.873500000200,2055694.765999999800,10442328.639249999000
FS( 17 ),2106025.520000000000,2166182.345999999400,2062549.555999999900,2023432.873500000200,2074809.806000000300,10433000.101499999000
FS( 18 ),2088105.169999999900,2254270.821999999700,2062549.555999999900,2029147.473999999900,2084367.325999999900,10518440.347999999000
FS( 19 ),2078846.322499999800,2309326.119500000000,2062549.555999999900,2026698.359500000300,2209092.962000000300,10686513.319499999000
FS( 20 ),2015527.752499999900,2261349.360249999400,2045823.895999999900,2010370.929499999900,2209092.962000000300,10542164.900249999000
FS( 21 ),2042706.949999999700,2274719.932500000100,2062549.555999999900,2010370.929499999900,2238004.460000000000,10628351.828000002000
FS( 22 ),2015527.752499999900,2360448.895749999700,2075930.083999999600,2031596.588499999800,2228446.939999999900,10711950.260749999000
FS( 23 ),2015527.752499999900,2373819.467999999400,2085965.480000000200,2026698.359500000300,2276234.540000000000,10778245.600000001000
FS( 24 ),2015527.752499999900,2373819.467999999400,2062549.555999999900,2034862.074500000100,2266677.020000000000,10753435.870999999000
FS( 25 ),2024487.927499999800,2339999.785249999700,2028620.359999999600,2026698.359500000300,2189977.921999999800,10609784.354249999000
