代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10638520.390500000000
真實報酬,638520.390499999750

夏普值報酬,0.055152039050
夏普值風險,0.026439700015
夏普值,2.085955552435

預期報酬,7961.206044381698
風險,167107.577349390310
起點值,0.047641203174
找到最佳解世代,4019
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
2412(24),
Stock#,2412(24),
張數,118,
分配資金,10000000.000000000000,
剩餘資金,50241.769999999997,
FS( 1 ),9985841.769999999600,9985841.769999999600
FS( 2 ),9921905.505500000000,9921905.505500000000
FS( 3 ),9891361.264499997700,9891361.264499997700
FS( 4 ),9809126.769499998500,9809126.769499998500
FS( 5 ),9830272.782499998800,9830272.782499998800
FS( 6 ),10002965.221999999000,10002965.221999999000
FS( 7 ),9932478.511999998200,9932478.511999998200
FS( 8 ),9932478.511999998200,9932478.511999998200
FS( 9 ),9982993.987500000700,9982993.987500000700
FS( 10 ),9932478.511999998200,9932478.511999998200
FS( 11 ),9891361.264499997700,9891361.264499997700
FS( 12 ),9830272.782499998800,9830272.782499998800
FS( 13 ),9799728.541499998400,9799728.541499998400
FS( 14 ),9819699.775999998700,9819699.775999998700
FS( 15 ),9901934.270999999700,9901934.270999999700
FS( 16 ),9932478.511999998200,9932478.511999998200
FS( 17 ),9952449.746500000400,9952449.746500000400
FS( 18 ),9982993.987500000700,9982993.987500000700
FS( 19 ),9982993.987500000700,9982993.987500000700
FS( 20 ),9982993.987500000700,9982993.987500000700
FS( 21 ),10074626.710500000000,10074626.710500000000
FS( 22 ),10033509.463000001000,10033509.463000001000
FS( 23 ),10044082.469499998000,10044082.469499998000
FS( 24 ),10064053.703999998000,10064053.703999998000
FS( 25 ),10064053.703999998000,10064053.703999998000
FS( 26 ),10105170.951500000000,10105170.951500000000
FS( 27 ),10033509.463000001000,10033509.463000001000
FS( 28 ),10002965.221999999000,10002965.221999999000
FS( 29 ),10054655.476000000000,10054655.476000000000
FS( 30 ),10054655.476000000000,10054655.476000000000
FS( 31 ),10054655.476000000000,10054655.476000000000
FS( 32 ),10221474.023000000000,10221474.023000000000
FS( 33 ),10242620.036000000000,10242620.036000000000
FS( 34 ),10232047.029500000000,10232047.029500000000
FS( 35 ),10242620.036000000000,10242620.036000000000
FS( 36 ),10263766.049000001000,10263766.049000001000
FS( 37 ),10274339.055500001000,10274339.055500001000
FS( 38 ),10284912.061999999000,10284912.061999999000
FS( 39 ),10338951.873000000000,10338951.873000000000
FS( 40 ),10284912.061999999000,10284912.061999999000
FS( 41 ),10338951.873000000000,10338951.873000000000
FS( 42 ),10392991.684000000000,10392991.684000000000
FS( 43 ),10552761.560000001000,10552761.560000001000
FS( 44 ),10531615.546999998000,10531615.546999998000
FS( 45 ),10650268.175500002000,10650268.175500002000
FS( 46 ),10692560.201500000000,10692560.201500000000
FS( 47 ),10617374.377499999000,10617374.377499999000
FS( 48 ),10552761.560000001000,10552761.560000001000
FS( 49 ),10575082.351500001000,10575082.351500001000
FS( 50 ),10627947.384000001000,10627947.384000001000
FS( 51 ),10660841.181999998000,10660841.181999998000
FS( 52 ),10596228.364499997000,10596228.364499997000
FS( 53 ),10499896.527499998000,10499896.527499998000
FS( 54 ),10489323.521000000000,10489323.521000000000
FS( 55 ),10596228.364499997000,10596228.364499997000
FS( 56 ),10596228.364499997000,10596228.364499997000
FS( 57 ),10542188.553499999000,10542188.553499999000
FS( 58 ),10499896.527499998000,10499896.527499998000
FS( 59 ),10242620.036000000000,10242620.036000000000
FS( 60 ),10263766.049000001000,10263766.049000001000
FS( 61 ),10242620.036000000000,10242620.036000000000
FS( 62 ),10349524.879500000000,10349524.879500000000
FS( 63 ),10349524.879500000000,10349524.879500000000
FS( 64 ),10638520.390500000000,10638520.390500000000
