代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10615246.484000001000
真實報酬,615246.484000001100

夏普值報酬,0.052824648400
夏普值風險,0.023730582677
夏普值,2.226015649088

預期報酬,12367.188256084193
風險,74968.211610538463
起點值,0.164965763360
找到最佳解世代,3645
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,12
1301(3),1402(6),2311(14),2325(17),2357(20),2408(23),2454(26),2882(32),2890(38),2912(41),3008(42),6505(48),
Stock#,1301(3),1402(6),2311(14),2325(17),2357(20),2408(23),2454(26),2882(32),2890(38),2912(41),3008(42),6505(48),
張數,8,34,22,17,3,12,3,16,92,3,0,7,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,82664.820000000007,11062.932500000117,31391.860000000001,21277.467499999882,71749.287500000006,59431.759999999886,16170.200000000001,49016.940000000002,5995.721999999883,70247.149999999994,833333.000000000000,86770.662500000006,
FS( 1 ),832264.819999999950,832162.932500000000,832191.859999999990,832177.467500000030,832249.287499999980,832231.760000000010,832170.199999999950,832216.939999999940,832155.721999999950,832247.150000000020,833333.000000000000,832270.662499999980,9987675.801999999200
FS( 2 ),835319.520000000020,831914.520000000140,830838.584999999960,820973.086249999930,822910.625000000000,824033.359999999870,825572.674999999930,823972.520000000020,833995.537999999830,824395.212500000020,833333.000000000000,835940.849999999980,9943203.491750000000
FS( 3 ),841691.199999999950,840376.907500000090,827553.187500000000,822665.563749999970,821417.262499999950,818059.909999999920,850959.837499999910,827158.359999999870,835827.395999999950,816928.400000000020,833333.000000000000,839425.362499999930,9975400.387250000600
FS( 4 ),842487.659999999920,835299.475000000330,833028.849999999980,821819.324999999720,806483.637499999950,812086.459999999850,827066.037499999980,818397.300000000050,835827.395999999950,816928.400000000020,833333.000000000000,828971.824999999950,9911733.365999998500
FS( 5 ),845673.500000000000,835299.475000000330,835219.115000000110,824358.041250000130,803496.912499999980,803723.629999999770,830052.762499999950,816007.920000000160,835827.395999999950,810954.950000000070,833333.000000000000,832456.337500000020,9906407.039750000500
FS( 6 ),855231.020000000020,836991.952499999900,841789.910000000030,826896.757499999950,809470.362499999930,830006.809999999940,836026.212499999910,823972.520000000020,834911.466999999830,815435.037499999980,833333.000000000000,832456.337500000020,9976525.386999998200
FS( 7 ),846469.959999999960,835299.475000000330,833028.849999999980,826896.757499999950,812457.087500000020,826422.740000000110,849466.474999999980,814415.000000000000,836743.324999999840,831862.025000000020,833333.000000000000,825487.312500000000,9971886.007500000300
FS( 8 ),845673.500000000000,836991.952499999900,833028.849999999980,828589.235000000100,833364.162499999980,871820.959999999850,839012.937500000000,820786.679999999930,836743.324999999840,827381.937500000000,833333.000000000000,832456.337500000020,10039186.877499999000
FS( 9 ),839301.820000000070,835299.475000000330,811126.199999999950,820973.086249999930,825897.349999999980,851511.229999999750,837519.574999999950,820786.679999999930,835827.395999999950,818421.762500000070,833333.000000000000,818518.287499999980,9948519.862249998400
FS( 10 ),836115.979999999980,835299.475000000330,814411.597500000030,826896.757499999950,830377.437500000000,880183.790000000040,873360.274999999910,816804.380000000120,835827.395999999950,815435.037499999980,833333.000000000000,825487.312500000000,10023536.438499998000
FS( 11 ),842487.659999999920,836991.952499999900,815506.729999999860,829435.473749999890,836350.887499999950,961422.709999999850,888293.899999999910,816007.920000000160,834911.466999999830,822901.849999999980,833333.000000000000,825487.312500000000,10143134.863249999000
FS( 12 ),847266.419999999930,860686.637500000300,836314.247499999940,827742.996249999850,830377.437500000000,1012794.379999999800,889787.262499999950,824768.979999999980,842238.898999999860,828875.300000000050,833333.000000000000,828971.824999999950,10263161.385250000000
FS( 13 ),837708.900000000140,860686.637500000300,837409.379999999770,826896.757499999950,828884.074999999950,978148.370000000000,891280.625000000000,815211.459999999960,843154.827999999980,818421.762500000070,833333.000000000000,818518.287499999980,10189658.082999999000
FS( 14 ),832133.679999999930,853916.727499999920,843980.175000000050,828589.235000000100,836350.887499999950,1021157.209999999800,882320.449999999950,817600.840000000080,840407.040999999740,819915.125000000000,833333.000000000000,822002.799999999930,10231711.171000000000
FS( 15 ),829744.300000000050,855609.205000000070,843980.175000000050,825204.279999999910,839337.612499999930,1082086.399999999700,892773.987499999930,832733.580000000070,837659.253999999840,818421.762500000070,833333.000000000000,818518.287499999980,10309405.843999999000
FS( 16 ),823372.620000000110,838684.430000000050,835219.115000000110,826050.518749999700,830377.437500000000,1062971.359999999900,870373.549999999930,818397.300000000050,840407.040999999740,821408.487500000050,833333.000000000000,815033.775000000020,10215632.634750001000
FS( 17 ),817797.400000000140,835299.475000000330,829743.452500000130,829435.473749999890,825897.349999999980,1062971.359999999900,868880.187500000000,817600.840000000080,840407.040999999740,815435.037499999980,833333.000000000000,822002.799999999930,10198807.417250000000
