代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11341503.045499999000
真實報酬,1341503.045499999100

夏普值報酬,0.125450304550
夏普值風險,0.035655934059
夏普值,3.518356982147

預期報酬,21297.297293121479
風險,112457.309021974320
起點值,0.189381174762
找到最佳解世代,3551
找到最佳解實驗#,1
找到最佳解次數,29

投資組合檔數,3
1303(4),1326(5),2886(35),
Stock#,1303(4),1326(5),2886(35),
張數,58,43,165,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,44693.357000000004,73163.869750000464,15411.689999999999,
FS( 1 ),3328653.356999999800,3328693.869750000100,3328611.689999999900,9985959.916749998900
FS( 2 ),3325093.070499999900,3375077.959000000300,3336948.562499999500,10037120.592000000000
FS( 3 ),3374174.917999999600,3399051.405000000700,3437153.186249999800,10210380.509250000000
FS( 4 ),3407088.627499999500,3443573.519000001300,3453580.173750000100,10304243.320250001000
FS( 5 ),3439424.903500000000,3515921.954250000400,3468364.462499999400,10423712.320250001000
FS( 6 ),3423256.765499999700,3520202.926750000100,3522573.521250000200,10466034.213500001000
FS( 7 ),3358006.779999999800,3471827.937500000500,3491362.244999999600,10321197.962500000000
FS( 8 ),3358006.779999999800,3439292.546500000200,3453580.173750000100,10250880.500250001000
FS( 9 ),3319896.168999999800,3358810.263500000400,3414155.403750000500,10092862.836250000000
FS( 10 ),3308924.932500000100,3370796.986500000600,3437153.186249999800,10116876.105250001000
FS( 11 ),3276011.222999999800,3318569.122000000400,3405941.910000000100,10000523.255000001000
FS( 12 ),3341261.208500000200,3447426.394250000400,3499575.738749999600,10288264.341499999000
FS( 13 ),3347035.543499999700,3431586.796000000600,3507789.232499999900,10286412.572000001000
FS( 14 ),3363203.681499999500,3479961.785250000700,3507789.232499999900,10350955.699250000000
FS( 15 ),3385146.154499999700,3508216.203750000300,3476577.956249999800,10369941.314500000000
FS( 16 ),3428453.666999999900,3512069.079000000800,3507789.232499999900,10448312.978500001000
FS( 17 ),3428453.666999999900,3487667.535750000700,3460150.968749999500,10376273.171500001000
FS( 18 ),3444621.804999999700,3515921.954250000400,3484791.450000000200,10445336.209249999000
FS( 19 ),3417482.430499999300,3471827.937500000500,3437153.186249999800,10326464.554250000000
FS( 20 ),3390343.055999999900,3508216.203750000300,3422368.897500000000,10320929.157250000000
FS( 21 ),3450396.139999999200,3508216.203750000300,3405941.910000000100,10364555.253750000000
FS( 22 ),3439424.903500000000,3500082.356000000100,3405941.910000000100,10345450.169500001000
FS( 23 ),3450396.139999999200,3500082.356000000100,3422368.897500000000,10372848.393500000000
FS( 24 ),3472338.612999999900,3524055.802000000600,3405941.910000000100,10402337.325000001000
FS( 25 ),3472338.612999999900,3524055.802000000600,3399371.115000000200,10395766.530000001000
FS( 26 ),3482732.415999999700,3572430.791250000200,3405941.910000000100,10461106.117249999000
FS( 27 ),3477535.514500000500,3608819.057500001000,3374730.633750000000,10461086.205750002000
FS( 28 ),3477535.514500000500,3608819.057500001000,3374730.633750000000,10461086.205750002000
FS( 29 ),3461367.376499999800,3608819.057500001000,3368159.838749999600,10438347.272750000000
FS( 30 ),3504674.889000000000,3661046.922000000300,3399371.115000000200,10565093.926000001000
FS( 31 ),3520843.027000000700,3782198.443750000600,3405941.910000000100,10708984.380750000000
FS( 32 ),3580896.111000000000,3822439.585250000900,3405941.910000000100,10809278.606250001000
FS( 33 ),3558953.637999999800,3802319.014500000500,3428939.692500000400,10790213.345000001000
FS( 34 ),3553756.736500000100,3802319.014500000500,3399371.115000000200,10755447.866000000000
FS( 35 ),3575699.209499999900,3842560.156000000400,3428939.692500000400,10847200.058000000000
FS( 36 ),3597064.249000000300,3882801.297500000300,3405941.910000000100,10885808.456500001000
FS( 37 ),3597064.249000000300,3830573.433000000200,3382944.127499999900,10810582.809500000000
FS( 38 ),3608035.485500000000,3878948.422250000800,3374730.633750000000,10861715.541500002000
FS( 39 ),3619006.721999999600,3858827.851500000800,3368159.838749999600,10845995.412249999000
FS( 40 ),3575699.209499999900,3862680.726749999900,3359946.344999999700,10798327.281250000000
FS( 41 ),3553756.736500000100,3846841.128500001000,3351732.851249999400,10752331.716250001000
FS( 42 ),3526617.361999999300,3842560.156000000400,3428939.692500000400,10798118.210500000000
FS( 43 ),3553756.736500000100,3862680.726749999900,3414155.403750000500,10830593.867000001000
FS( 44 ),3569924.874499999000,3895216.117750000200,3422368.897500000000,10887510.889750000000
FS( 45 ),3608035.485500000000,3947443.982250000400,3514360.027499999900,11069840.495250000000
FS( 46 ),3548559.835000000000,3838707.280750000400,3428939.692500000400,10816207.808250001000
FS( 47 ),3635174.859999999900,3951296.857500001300,3568569.086249999700,11155041.803750001000
FS( 48 ),3564727.972999999800,3907202.840750000400,3568569.086249999700,11040500.900000000000
FS( 49 ),3526617.361999999300,3902921.868250000300,3624420.843749999500,11053961.073999999000
FS( 50 ),3553756.736500000100,3878948.422250000800,3624420.843749999500,11057127.002500001000
FS( 51 ),3591867.347500000100,3943591.106999999800,3593209.567500000400,11128669.022000000000
FS( 52 ),3629977.958500000200,3947443.982250000400,3584996.073750000400,11162419.014500001000
