代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10797534.900500001000
真實報酬,797534.900500001390

夏普值報酬,0.071053490050
夏普值風險,0.028487548805
夏普值,2.494194587795

預期報酬,14871.507518724839
風險,74394.078817195594
起點值,0.199901763086
找到最佳解世代,3369
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,10
1216(2),1476(7),2303(12),2330(18),2408(23),2881(31),2884(34),2912(41),3008(42),5880(47),
Stock#,1216(2),1476(7),2303(12),2330(18),2408(23),2881(31),2884(34),2912(41),3008(42),5880(47),
張數,17,2,73,4,15,21,56,3,0,65,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,31491.839749999999,292993.950000000010,2130.058750000000,150791.600000000010,53653.375000000000,15799.510000000000,12434.722000000000,244424.837499999990,1000000.000000000000,2130.058750000000,
FS( 1 ),998621.839750000040,998993.949999999950,998580.058749999970,998791.599999999980,998653.375000000000,998599.510000000010,998594.721999999950,998924.837500000020,1000000.000000000000,998580.058749999970,9988339.951749999100
FS( 2 ),991126.582250000210,999852.199999999950,994170.767499999960,1010968.400000000000,982524.849999999980,1000522.742499999900,996461.051999999910,1012013.162500000000,1000000.000000000000,1000642.004999999900,9988281.761749997700
FS( 3 ),1004666.402250000000,1009807.950000000000,976001.523749999930,1001012.650000000000,979538.125000000000,1003658.803750000000,994230.963999999920,1003052.987500000000,1000000.000000000000,997406.386249999980,9969375.792500000400
FS( 4 ),1009743.834749999900,1036688.475000000100,1008706.162500000000,999021.500000000000,975058.037499999980,1005749.511250000000,1004266.360000000000,997079.537499999980,1000000.000000000000,1003230.500000000100,10039543.918499999000
FS( 5 ),1002973.924750000000,1052617.675000000000,1012340.011250000000,1010968.400000000000,979538.125000000000,1016203.048750000000,1009284.058000000000,994092.812500000000,1000000.000000000000,1012290.232500000000,10090308.287750000000
FS( 6 ),1006358.879750000100,1049630.950000000000,1019607.708750000000,1016941.850000000000,997458.474999999980,1023520.525000000000,1004266.360000000000,1001559.625000000000,1000000.000000000000,1012290.232500000000,10131634.606000001000
FS( 7 ),1002973.924750000000,1064564.575000000000,1012340.011250000000,1004994.950000000000,982524.849999999980,1021429.817500000000,1018761.932000000000,1001559.625000000000,1000000.000000000000,1006466.118749999900,10115615.804250000000
FS( 8 ),1009743.834749999900,1050626.524999999900,1019607.708750000000,1003003.799999999900,957137.687500000000,1002613.450000000100,1013186.711999999800,1000066.262500000100,1000000.000000000000,994170.767499999960,10050156.748000002000
FS( 9 ),1008051.357250000200,1046644.225000000100,1023241.557500000100,997030.349999999980,951164.237500000050,1004704.157500000000,1010399.101999999800,998572.900000000020,1000000.000000000000,997406.386249999980,10037214.273000002000
FS( 10 ),1004666.402250000000,1030715.024999999900,1023241.557500000100,991056.900000000020,978044.762499999950,998432.035000000030,1002036.272000000000,998572.900000000020,1000000.000000000000,988346.653749999940,10015112.507999999000
FS( 11 ),1031746.042250000100,1032706.175000000000,1026875.406250000000,1003003.799999999900,981031.487500000050,1007840.218750000000,1004823.882000000100,1001559.625000000000,1000000.000000000000,988346.653749999940,10077933.290500002000
FS( 12 ),1036823.474750000100,1027728.300000000000,1023241.557500000100,999021.500000000000,981031.487500000050,997386.681250000020,1004823.882000000100,998572.900000000020,1000000.000000000000,998700.633749999920,10067330.416749999000
FS( 13 ),1043593.384749999900,1044653.075000000000,1030509.255000000000,1003003.799999999900,991485.025000000020,1017248.402500000100,1015974.321999999900,997079.537499999980,1000000.000000000000,1014878.727499999900,10158425.529249998000
FS( 14 ),1046978.339750000000,1031710.600000000100,1026875.406250000000,997030.349999999980,979538.125000000000,1010976.279999999900,1015974.321999999900,992599.450000000070,1000000.000000000000,1008407.490000000000,10110090.363000000000
FS( 15 ),1041900.907250000200,1031710.600000000100,1030509.255000000000,993048.049999999930,992978.387499999950,1004704.157500000000,1013186.711999999800,991106.087500000020,1000000.000000000000,1014878.727499999900,10114022.884249998000
FS( 16 ),1053748.249750000000,1013790.250000000000,1041410.801250000100,1004994.950000000000,984018.212500000020,1005749.511250000000,1015974.321999999900,985132.637500000070,1000000.000000000000,1014878.727499999900,10119697.661750000000
FS( 17 ),1070673.024749999900,1021754.850000000100,1034143.103749999800,1008977.250000000000,987004.937500000000,1007840.218750000000,1024337.151999999900,991106.087500000020,1000000.000000000000,1018114.346249999900,10163950.970499998000
FS( 18 ),1097752.664750000000,1037684.050000000000,1088650.835000000000,1014950.700000000000,1009405.375000000000,1003658.803750000000,1032699.982000000000,989612.724999999980,1000000.000000000000,1024585.583750000000,10299000.719249999000
FS( 19 ),1116369.917249999700,1034697.325000000000,1085016.986250000100,1016941.850000000000,1006418.650000000000,1008885.572500000000,1038275.201999999900,997079.537499999980,1000000.000000000000,1024585.583750000000,10328270.624250000000
FS( 20 ),1104522.574750000100,1026732.725000000100,1085016.986250000100,1010968.400000000000,1016872.187500000000,1024565.878750000000,1043850.421999999900,1000066.262500000100,1000000.000000000000,1031056.821249999900,10343652.258000001000
FS( 21 ),1114677.439750000100,1019763.700000000000,1085016.986250000100,1010968.400000000000,1004925.287500000000,1022475.171250000000,1041062.811999999900,997079.537499999980,1000000.000000000000,1027821.202500000000,10323790.536750000000
FS( 22 ),1119754.872250000000,1030715.024999999900,1081383.137500000200,1016941.850000000000,1012392.100000000000,1024565.878750000000,1055000.862000000000,1000066.262500000100,1000000.000000000000,1027821.202500000000,10368641.190500000000
FS( 23 ),1118062.394750000000,1029719.450000000000,1095918.532500000200,1012959.549999999900,1019858.912500000000,1029792.647500000000,1049425.642000000000,998572.900000000020,1000000.000000000000,1031056.821249999900,10385366.850499999000
FS( 24 ),1111292.484750000100,1041666.350000000100,1168595.507500000100,1012959.549999999900,1015378.825000000100,1024565.878750000000,1049425.642000000000,1003052.987500000000,1000000.000000000000,1034292.439999999900,10461229.665500000000
FS( 25 ),1111292.484750000100,1029719.450000000000,1201300.146250000000,1016941.850000000000,1009405.375000000000,1018293.756250000000,1043850.421999999900,998572.900000000020,1000000.000000000000,1024585.583750000000,10453961.968000000000
FS( 26 ),1112984.962250000100,1026732.725000000100,1201300.146250000000,1018933.000000000000,1001938.562500000000,1021429.817500000000,1041062.811999999900,991106.087500000020,1000000.000000000000,1027821.202500000000,10443309.315500000000
FS( 27 ),1112984.962250000100,996865.475000000090,1168595.507500000100,1014950.700000000000,994471.750000000000,1010976.279999999900,1035487.592000000100,991106.087500000020,1000000.000000000000,1024585.583750000000,10350023.938000003000
FS( 28 ),1123139.827250000100,1001843.350000000100,1186764.751250000200,1014950.700000000000,984018.212500000020,1007840.218750000000,1029912.372000000000,985132.637500000070,1000000.000000000000,1021349.965000000000,10354952.034250002000
FS( 29 ),1134987.169750000100,1005825.649999999900,1183130.902500000100,1018933.000000000000,1016872.187500000000,1012021.633750000000,1035487.592000000100,989612.724999999980,1000000.000000000000,1027821.202500000000,10424692.063000001000
FS( 30 ),1133294.692249999600,977949.550000000050,1168595.507500000100,1014950.700000000000,1012392.100000000000,1005749.511250000000,1027124.761999999900,1006039.712500000000,1000000.000000000000,1024585.583750000000,10370682.119250000000
FS( 31 ),1124832.304749999700,984918.574999999950,1157693.961249999900,1022915.299999999900,1069139.875000000000,1008885.572500000000,1029912.372000000000,1001559.625000000000,1000000.000000000000,1027821.202500000000,10427678.787999999000
FS( 32 ),1131602.214750000000,970980.524999999910,1143158.566250000100,1018933.000000000000,1043752.712500000000,1000522.742499999900,1029912.372000000000,992599.450000000070,1000000.000000000000,1021349.965000000000,10352811.548000000000
FS( 33 ),1140064.602250000000,986909.725000000090,1157693.961249999900,1020924.150000000000,1079593.412500000100,1000522.742499999900,1027124.761999999900,989612.724999999980,1000000.000000000000,1031056.821249999900,10433502.901749998000
FS( 34 ),1141757.079749999800,986909.725000000090,1132257.020000000000,1020924.150000000000,1181142.062500000000,994250.620000000000,1032699.982000000000,997079.537499999980,1000000.000000000000,1031056.821249999900,10518076.998000000000
FS( 35 ),1153604.422250000100,1008812.375000000000,1157693.961249999900,1024906.450000000000,1245356.649999999900,1000522.742499999900,1035487.592000000100,1003052.987500000000,1000000.000000000000,1031056.821249999900,10660494.001750000000
FS( 36 ),1133294.692249999600,1008812.375000000000,1164961.658750000200,1032871.049999999900,1202049.137500000000,997386.681250000020,1032699.982000000000,992599.450000000070,1000000.000000000000,1021349.965000000000,10586024.991750000000
FS( 37 ),1131602.214750000000,1005825.649999999900,1139524.717500000000,1032871.049999999900,1255810.187500000000,990069.204999999960,1032699.982000000000,994092.812500000000,1000000.000000000000,1011643.108750000000,10594138.927999999000
FS( 38 ),1123139.827250000100,1042661.925000000000,1154060.112500000300,1030879.900000000000,1331971.675000000000,994250.620000000000,1029912.372000000000,992599.450000000070,1000000.000000000000,1014878.727499999900,10714354.609249998000
FS( 39 ),1109600.007250000000,1036688.475000000100,1128623.171250000100,1020924.150000000000,1308077.875000000000,993205.266249999990,1029912.372000000000,995586.175000000050,1000000.000000000000,1008407.490000000000,10631024.981750002000
FS( 40 ),1097752.664750000000,1040670.774999999900,1106820.078750000100,1014950.700000000000,1308077.875000000000,989023.851249999950,1021549.542000000000,989612.724999999980,1000000.000000000000,1008407.490000000000,10576865.701750001000
FS( 41 ),1094367.709749999900,1019763.700000000000,1110453.927500000000,1003003.799999999900,1255810.187500000000,996341.327500000010,1024337.151999999900,997079.537499999980,1000000.000000000000,1014878.727499999900,10516036.069249999000
FS( 42 ),1080827.889750000100,1020759.274999999900,1110453.927500000000,1006986.100000000000,1308077.875000000000,998432.035000000030,1024337.151999999900,1006039.712500000000,1000000.000000000000,1021349.965000000000,10577263.931750000000
FS( 43 ),1085905.322250000000,1026732.725000000100,1124989.322500000000,1003003.799999999900,1334958.399999999900,998432.035000000030,1024337.151999999900,992599.450000000070,1000000.000000000000,1011643.108750000000,10602601.315500000000
FS( 44 ),1106215.052249999900,1026732.725000000100,1103186.230000000000,1012959.549999999900,1334958.399999999900,1004704.157500000000,1021549.542000000000,1007533.075000000100,1000000.000000000000,1014878.727499999900,10632717.459249999000
FS( 45 ),1096060.187250000200,1042661.925000000000,1092284.683750000100,1012959.549999999900,1342425.212499999900,1002613.450000000100,1024337.151999999900,1004546.350000000000,1000000.000000000000,1014878.727499999900,10632767.237999998000
FS( 46 ),1090982.754749999800,1059586.700000000000,1103186.230000000000,1028888.750000000000,1408133.162500000100,1007840.218750000000,1024337.151999999900,1003052.987500000000,1000000.000000000000,1014878.727499999900,10740886.682999998000
FS( 47 ),1104522.574750000100,1049630.950000000000,1150426.263750000200,1036853.350000000000,1379759.274999999900,1002613.450000000100,1027124.761999999900,998572.900000000020,1000000.000000000000,1018114.346249999900,10767617.871749999000
FS( 48 ),1099445.142250000000,1027728.300000000000,1143158.566250000100,1044817.950000000000,1357358.837499999900,1000522.742499999900,1032699.982000000000,1000066.262500000100,1000000.000000000000,1024585.583750000000,10730383.366750000000
FS( 49 ),1107907.529750000000,1034697.325000000000,1132257.020000000000,1044817.950000000000,1320024.774999999900,1004704.157500000000,1035487.592000000100,1003052.987500000000,1000000.000000000000,1027821.202500000000,10710770.539249999000
FS( 50 ),1128217.259750000000,1003834.500000000000,1150426.263750000200,1078667.500000000000,1334958.399999999900,1006794.865000000100,1041062.811999999900,1023960.062500000000,1000000.000000000000,1034292.439999999900,10802214.102999998000
FS( 51 ),1140064.602250000000,1007816.800000000000,1157693.961249999900,1096587.850000000100,1336451.762500000000,1007840.218750000000,1035487.592000000100,1020973.337500000000,1000000.000000000000,1043999.296250000000,10846915.420500001000
FS( 52 ),1136679.647249999900,1001843.350000000100,1161327.810000000100,1096587.850000000100,1354372.112500000000,1012021.633750000000,1038275.201999999900,1020973.337500000000,1000000.000000000000,1050470.533750000200,10872551.476749999000
FS( 53 ),1129909.737250000500,1032706.175000000000,1161327.810000000100,1098579.000000000000,1381252.637500000000,1015157.694999999900,1043850.421999999900,1022466.700000000100,1000000.000000000000,1047234.914999999900,10932485.091750000000
FS( 54 ),1136679.647249999900,1025737.149999999900,1157693.961249999900,1088623.250000000000,1337945.125000000000,1015157.694999999900,1043850.421999999900,1022466.700000000100,1000000.000000000000,1053706.152500000100,10881860.103000000000
FS( 55 ),1116369.917249999700,1037684.050000000000,1161327.810000000100,1096587.850000000100,1340931.850000000100,1004704.157500000000,1038275.201999999900,1028440.150000000000,1000000.000000000000,1047234.914999999900,10871555.901749998000
FS( 56 ),1109600.007250000000,1040670.774999999900,1139524.717500000000,1102561.300000000000,1345411.937500000000,1002613.450000000100,1041062.811999999900,1032920.237500000000,1000000.000000000000,1053706.152500000100,10868071.389250001000
FS( 57 ),1107907.529750000000,1027728.300000000000,1132257.020000000000,1096587.850000000100,1358852.200000000000,1003658.803750000000,1038275.201999999900,1043373.775000000000,1000000.000000000000,1047234.914999999900,10855875.595500000000
