代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11116961.123500001000
真實報酬,1116961.123500000700

夏普值報酬,0.102996112350
夏普值風險,0.036326055907
夏普值,2.835323290111

預期報酬,18349.042927374147
風險,235722.744548408690
起點值,0.077841631118
找到最佳解世代,3310
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2412(24),2912(40),3045(41),
Stock#,2412(24),2912(40),3045(41),
張數,50,25,56,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,20619.099999999999,13609.125000000000,24064.002000000000,
FS( 1 ),3328619.100000000100,3328609.125000000000,3328624.001999999900,9985853.227000000000
FS( 2 ),3334888.274999999900,3354758.825000000200,3360833.172000000300,10050481.272000000000
FS( 3 ),3366248.887499999700,3344554.181250000400,3484045.534000000000,10194849.602750000000
FS( 4 ),3425485.600000000600,3262917.031250000500,3458399.521999999900,10146803.153250001000
FS( 5 ),3425485.600000000600,3283326.318750000100,3437213.685999999300,10146026.604750000000
FS( 6 ),3397609.500000000000,3221849.562500000000,3411567.673999999600,10031027.736499999000
FS( 7 ),3390640.475000000100,3140212.412500000100,3411567.673999999600,9942421.561499999800
FS( 8 ),3425485.600000000600,3191235.631250000100,3445576.515999999800,10062298.747250002000
FS( 9 ),3453361.699999999700,3262917.031250000500,3471222.527999999900,10187502.259250000000
FS( 10 ),3480740.012500000700,3150417.056249999900,3598337.543999999800,10229495.612750001000
FS( 11 ),3466801.962499999900,3170826.343750000000,3547603.042000000400,10185232.348250002000
FS( 12 ),3466801.962499999900,3181030.987499999800,3517496.853999999800,10165330.804000000000
FS( 13 ),3422001.087499999900,3181030.987499999800,3517496.853999999800,10120529.929000000000
FS( 14 ),3459832.937500000000,3211644.918750000200,3564328.702000000000,10235807.558250001000
FS( 15 ),3442908.162500000100,3170826.343750000000,3615063.203999999900,10228798.710250000000
FS( 16 ),3449877.187500000000,3313940.250000000000,3505231.370000000100,10269049.807500001000
FS( 17 ),3439423.650000000400,3334349.537499999600,3487948.188000000100,10261722.375500001000
FS( 18 ),3411547.550000000300,3283326.318750000100,3437213.685999999300,10132088.554749999000
FS( 19 ),3401094.012500000200,3273121.674999999800,3441673.861999999300,10115890.549500000000
FS( 20 ),3442908.162500000100,3293530.962499999900,3496311.018000000200,10232751.142999999000
FS( 21 ),3459832.937500000000,3405782.043750000200,3499098.628000000000,10364714.609250000000
FS( 22 ),3536492.212499999900,3518282.018749999800,3467877.396000000600,10522652.627250001000
FS( 23 ),3536492.212499999900,3508077.375000000000,3414355.284000000000,10458925.871500000000
FS( 24 ),3571337.337499999900,3630533.100000000100,3374213.699999999700,10576085.137499999000
FS( 25 ),3623605.024999999900,3650942.387499999700,3423275.635999999500,10697824.048500000000
FS( 26 ),3606182.462499999900,3610123.812500000000,3418815.460000000000,10635122.734999999000
FS( 27 ),3623605.024999999900,3630533.100000000100,3418815.460000000000,10672954.585000001000
FS( 28 ),3571337.337499999900,3630533.100000000100,3423275.635999999500,10625147.073500000000
FS( 29 ),3606182.462499999900,3599919.168750000200,3396514.580000000100,10602617.211250000000
FS( 30 ),3675872.712500000400,3671600.568750000100,3383134.051999999700,10730608.333249999000
FS( 31 ),3658450.149999999900,3640737.743749999400,3400974.756000000100,10700163.649749998000
FS( 32 ),3693295.274999999900,3692009.856250000200,3418815.460000000000,10804121.591249999000
FS( 33 ),3780408.087499999900,3722623.787500000600,3485718.099999999600,10988750.975000000000
FS( 34 ),3832675.774999999900,3804260.937500000500,3454496.868000000200,11091434.580500001000
FS( 35 ),3850098.337500000400,3957579.487499999800,3463417.219999999700,11271096.045000000000
