代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12903330.283500001000
真實報酬,2903330.283500000800

夏普值報酬,0.281633028350
夏普值風險,0.085492787043
夏普值,3.294231456140

預期報酬,44542.990517091945
風險,380549.371925716000
起點值,0.117049176278
找到最佳解世代,3376
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,2
1101(0),3673(44),
Stock#,1101(0),3673(44),
張數,233,10,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,18361.266250000001,395948.562500000000,
FS( 1 ),4992911.266250000300,4993448.562500000000,9986359.828749999400
FS( 2 ),4963939.813250000600,4973104.625000000000,9937044.438250001500
FS( 3 ),4922185.397749999500,4966633.387500000200,9888818.785250000700
FS( 4 ),4898988.500250000500,4966633.387500000200,9865621.887749999800
FS( 5 ),4915226.328500000800,5090881.147500000000,10006107.476000000000
FS( 6 ),4980177.641499999900,5136578.040000000000,10116755.681499999000
FS( 7 ),4980177.641499999900,5130106.802500000200,10110284.444000000000
FS( 8 ),4954661.054250001900,5064697.525000000400,10019358.579250002000
FS( 9 ),4987136.710750001500,5221600.144999999600,10208736.855750002000
FS( 10 ),5045128.954500000900,5332805.872499999600,10377934.827000000000
FS( 11 ),4947701.985000000300,5234741.734999998500,10182443.719999999000
FS( 12 ),4873471.912999999700,5149719.629999999900,10023191.543000000000
FS( 13 ),4840996.256500000100,5476666.460000000000,10317662.716499999000
FS( 14 ),4847955.325750000800,5744774.807500000100,10592730.133250002000
FS( 15 ),4857234.084750000400,5842838.945000000300,10700073.029750001000
FS( 16 ),4889709.741250000000,5862451.772500000000,10752161.513750000000
FS( 17 ),5112399.957250000000,5868923.009999999800,10981322.967250001000
FS( 18 ),5168072.511249999500,5823226.117499999700,10991298.628750000000
FS( 19 ),5144875.613749999600,5744774.807500000100,10889650.421250001000
FS( 20 ),5184310.339499999800,5626998.284999998300,10811308.624499999000
FS( 21 ),5209826.926750000600,5594343.424999999800,10804170.351750001000
FS( 22 ),5177351.270250001000,5620527.047499998500,10797878.317749999000
FS( 23 ),5103121.198250001300,5613956.252500000400,10717077.450750001000
FS( 24 ),5235343.514000000400,5522363.352500000000,10757706.866500001000
FS( 25 ),5093842.439249999800,5169332.457499999600,10263174.896749999000
FS( 26 ),5128637.785500001200,5267396.594999999700,10396034.380500000000
FS( 27 ),5184310.339499999800,5097352.384999999800,10281662.724500000000
FS( 28 ),5291016.068000000900,5319664.282499999700,10610680.350500001000
FS( 29 ),5309573.586000000100,5201987.317499999900,10511560.903500000000
FS( 30 ),5349008.311750000300,5437440.804999999700,10786449.116750000000
FS( 31 ),5513706.284000000900,5496279.287499999600,11009985.571500000000
FS( 32 ),5497468.455750000700,5417827.977500000000,10915296.433250001000
FS( 33 ),5522985.043000000500,5430870.009999999800,10953855.052999999000
FS( 34 ),5604174.184249999900,5483137.697499999800,11087311.881749999000
FS( 35 ),5850061.297749999900,5528934.147500000000,11378995.445250001000
FS( 36 ),5933570.128750000100,5626998.284999998300,11560568.413749998000
FS( 37 ),5850061.297749999900,5685836.767500001000,11535898.065250002000
FS( 38 ),5982283.613500000000,5757816.840000001700,11740100.453500003000
FS( 39 ),6007800.200750000800,5803613.290000000000,11811413.490750000000
FS( 40 ),5998521.441750001200,5862451.772500000000,11860973.214250002000
FS( 41 ),6153940.654999999300,5731633.217500001200,11885573.872500001000
FS( 42 ),6195695.070500000400,5823226.117499999700,12018921.188000001000
FS( 43 ),6040275.857250000400,5607385.457500000500,11647661.314750001000
FS( 44 ),6079710.583000000600,5705549.152500001700,11785259.735500002000
FS( 45 ),6211932.898749999700,5823226.117499999700,12035159.016249999000
FS( 46 ),6137702.826750000000,6058580.047499998500,12196282.874249998000
FS( 47 ),6146981.585750001500,6019354.392500001000,12166335.978250002000
FS( 48 ),6186416.311499999800,5953945.115000000200,12140361.426500000000
FS( 49 ),6615558.915250000500,6084763.669999999000,12700322.585250000000
FS( 50 ),6648034.571749999200,6222053.462500000400,12870088.034249999000
FS( 51 ),6532050.084249999400,6294033.534999998300,12826083.619249998000
FS( 52 ),6590042.327999999700,6248237.085000000000,12838279.412999999000
FS( 53 ),6648034.571749999200,6065150.842500001200,12713185.414250001000
FS( 54 ),7016865.242000001500,6110947.292499999500,13127812.534500001000
FS( 55 ),6845208.200500000300,6143602.152500001700,12988810.353000002000
FS( 56 ),6910159.513500000400,5993170.770000000500,12903330.283500001000
