代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11572308.050500000000
真實報酬,1572308.050499999900

夏普值報酬,0.148530805050
夏普值風險,0.037267413180
夏普值,3.985541049845

預期報酬,16755.648772389315
風險,232841.212862007840
起點值,0.071961696842
找到最佳解世代,4046
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,1
2354(20),
Stock#,2354(20),
張數,162,
分配資金,10000000.000000000000,
剩餘資金,26047.341999999997,
FS( 1 ),9985807.342000000200,9985807.342000000200
FS( 2 ),9954638.056000001700,9954638.056000001700
FS( 3 ),9727228.814500000300,9727228.814500000300
FS( 4 ),9674005.375000000000,9674005.375000000000
FS( 5 ),9727228.814500000300,9727228.814500000300
FS( 6 ),9674005.375000000000,9674005.375000000000
FS( 7 ),9646587.239499999200,9646587.239499999200
FS( 8 ),9727228.814500000300,9727228.814500000300
FS( 9 ),10090115.902000001000,10090115.902000001000
FS( 10 ),10156241.993500002000,10156241.993500002000
FS( 11 ),10223980.916500000000,10223980.916500000000
FS( 12 ),10383651.234999999000,10383651.234999999000
FS( 13 ),10330427.795500001000,10330427.795500001000
FS( 14 ),10303009.660000000000,10303009.660000000000
FS( 15 ),10277204.356000002000,10277204.356000002000
FS( 16 ),10357845.931000002000,10357845.931000002000
FS( 17 ),10357845.931000002000,10357845.931000002000
FS( 18 ),10317525.143500002000,10317525.143500002000
FS( 19 ),10343330.447500000000,10343330.447500000000
FS( 20 ),10688476.388499999000,10688476.388499999000
FS( 21 ),10717507.355500003000,10717507.355500003000
FS( 22 ),10773956.458000001000,10773956.458000001000
FS( 23 ),10702991.872000001000,10702991.872000001000
FS( 24 ),10717507.355500003000,10717507.355500003000
FS( 25 ),10646542.769499999000,10646542.769499999000
FS( 26 ),10602996.319000000000,10602996.319000000000
FS( 27 ),10732022.839000000000,10732022.839000000000
FS( 28 ),10602996.319000000000,10602996.319000000000
FS( 29 ),10532031.733000001000,10532031.733000001000
FS( 30 ),10446551.663500000000,10446551.663500000000
FS( 31 ),10475582.630500002000,10475582.630500002000
FS( 32 ),10332040.627000000000,10332040.627000000000
FS( 33 ),10432036.180000000000,10432036.180000000000
FS( 34 ),10661058.252999999000,10661058.252999999000
FS( 35 ),10661058.252999999000,10661058.252999999000
FS( 36 ),10617511.802500000000,10617511.802500000000
FS( 37 ),10661058.252999999000,10661058.252999999000
FS( 38 ),10859436.527500002000,10859436.527500002000
FS( 39 ),10688476.388499999000,10688476.388499999000
FS( 40 ),10688476.388499999000,10688476.388499999000
FS( 41 ),10746538.322500000000,10746538.322500000000
FS( 42 ),10746538.322500000000,10746538.322500000000
FS( 43 ),10832018.392000001000,10832018.392000001000
FS( 44 ),10832018.392000001000,10832018.392000001000
FS( 45 ),10902982.977999998000,10902982.977999998000
FS( 46 ),11002978.531000001000,11002978.531000001000
FS( 47 ),10988463.047499999000,10988463.047499999000
FS( 48 ),10944916.597000001000,10944916.597000001000
FS( 49 ),10932013.945000000000,10932013.945000000000
FS( 50 ),10588480.835500000000,10588480.835500000000
FS( 51 ),10844921.044000000000,10844921.044000000000
FS( 52 ),10646542.769499999000,10646542.769499999000
FS( 53 ),10646542.769499999000,10646542.769499999000
FS( 54 ),10304622.491500001000,10304622.491500001000
FS( 55 ),10661058.252999999000,10661058.252999999000
FS( 56 ),10646542.769499999000,10646542.769499999000
FS( 57 ),10717507.355500003000,10717507.355500003000
FS( 58 ),10773956.458000001000,10773956.458000001000
FS( 59 ),10688476.388499999000,10688476.388499999000
FS( 60 ),10688476.388499999000,10688476.388499999000
FS( 61 ),11002978.531000001000,11002978.531000001000
FS( 62 ),11002978.531000001000,11002978.531000001000
FS( 63 ),11386832.427999999000,11386832.427999999000
FS( 64 ),11572308.050500000000,11572308.050500000000
