代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11841587.148249999000
真實報酬,1841587.148249998700

夏普值報酬,0.175458714825
夏普值風險,0.050248007153
夏普值,3.491854200133

預期報酬,30561.033589309005
風險,110007.540719803740
起點值,0.277808533755
找到最佳解世代,3300
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
1326(5),2105(9),2311(13),2912(39),
Stock#,1326(5),2105(9),2311(13),2912(39),
張數,53,104,189,42,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,20311.472000000002,12940.984000000000,3537.603250000000,24357.228999999999,
FS( 1 ),2496471.472000000100,2496460.984000000200,2496447.603250000200,2496477.228999999800,9985857.288250001100
FS( 2 ),2467574.202500000600,2411958.150000000400,2451547.015000000100,2512299.153999999600,9843378.521500000700
FS( 3 ),2463880.619250000500,2497896.184000000400,2619012.685750000200,2512299.153999999600,10093088.643000001000
FS( 4 ),2518229.058499999800,2489613.000000000500,2684869.972000000100,2502263.757999999900,10194975.788500000000
FS( 5 ),2485514.464000000200,2440949.293999999800,2622775.959249999800,2432434.127499999900,9981673.844749998300
FS( 6 ),2489208.047250000300,2420241.334000000300,2735674.164249999900,2449159.787499999600,10094283.333000001000
FS( 7 ),2452799.869500000000,2473046.632000000200,2699923.066000000100,2429088.995500000200,10054858.563000001000
FS( 8 ),2474433.714249999700,2502037.776000000100,2694278.155750000400,2429088.995500000200,10099838.641500000000
FS( 9 ),2485514.464000000200,2509285.562000000400,2750727.258250000000,2429088.995500000200,10174616.279750001000
FS( 10 ),2550943.652999999900,2534135.114000000100,2846690.732499999900,2535296.936499999800,10467066.436000001000
FS( 11 ),2630619.520250000100,2595223.596000000400,2827874.365000000200,2515644.285999999800,10569361.767250001000
FS( 12 ),2586824.176000000400,2557949.267999999700,2756372.168500000100,2538642.068500000100,10439787.681000002000
FS( 13 ),2615845.187249999500,2521710.338000000500,2679225.061749999900,2531951.804499999600,10348732.391500000000
FS( 14 ),2648559.781750000500,2529993.521999999900,2598314.681499999900,2525261.540499999700,10302129.525750000000
FS( 15 ),2655946.948250000800,2606612.974000000400,2735674.164249999900,2545332.332499999600,10543566.419000000000
FS( 16 ),2644866.198500000400,2603506.779999999800,2714976.160000000600,2548677.464499999800,10512026.603000000000
FS( 17 ),2655946.948250000800,2652170.486000000500,2669816.878000000000,2548677.464499999800,10526611.776750002000
FS( 18 ),2681274.376249999700,2648028.893999999900,2649118.873750000300,2552022.596499999500,10530444.740499999000
FS( 19 ),2702908.220999999900,2652170.486000000500,2669816.878000000000,2552022.596499999500,10576918.181500001000
FS( 20 ),2731929.232250000400,2643887.302000000100,2777070.172749999900,2552022.596499999500,10704909.303500000000
FS( 21 ),2731929.232250000400,2610754.566000000100,2777070.172749999900,2548677.464499999800,10668431.435500000000
FS( 22 ),2713988.970749999400,2627320.934000000400,2801531.450500000300,2508954.021999999900,10651795.377250001000
FS( 23 ),2710295.387500000200,2692551.007999999900,2780833.446250000000,2548677.464499999800,10732357.306250000000
FS( 24 ),2706601.804250000000,2667701.455999999800,2771425.262500000200,2552022.596499999500,10697751.119250000000
FS( 25 ),2673887.209750000400,2631462.526000000100,2709331.249750000400,2518989.417999999600,10533670.403500002000
FS( 26 ),2673887.209750000400,2627320.934000000400,2709331.249750000400,2548677.464499999800,10559216.858000001000
FS( 27 ),2721376.137249999700,2708081.978000000100,2792123.266750000400,2555367.728500000200,10776949.110500000000
FS( 28 ),2754090.731750000300,2696692.600000000600,2852335.642750000100,2548677.464499999800,10851796.438999999000
FS( 29 ),2746703.565250000500,2757781.081999999900,2878678.557250000500,2552022.596499999500,10935185.801000001000
FS( 30 ),2699214.637749999800,2745356.305999999900,2837282.548750000100,2565403.124499999900,10847256.616999999000
FS( 31 ),2688661.542750000000,2745356.305999999900,2846690.732499999900,2562057.992499999700,10842766.573750000000
FS( 32 ),2710295.387500000200,2765028.867999999800,2897494.924750000200,2588400.907000000100,10961220.087250000000
FS( 33 ),2696048.709249999800,2745356.305999999900,2914429.655499999900,2581710.642999999700,10937545.313749999000
FS( 34 ),2706601.804250000000,2720506.754000000200,2903139.835000000400,2601781.434999999600,10932029.828250002000
FS( 35 ),2717682.553999999500,2753639.490000000200,2857980.552999999800,2634814.613499999500,10964117.210499998000
FS( 36 ),2739316.398750000200,2749497.898000000000,2923837.839249999700,2651540.273499999700,11064192.409499999000
FS( 37 ),2713988.970749999400,2757781.081999999900,2953944.027250000300,2651540.273499999700,11077254.353499997000
FS( 38 ),2735622.815500000000,2760887.276000000100,3016038.040000000500,2658230.537499999600,11170778.669000000000
FS( 39 ),2728235.649000000200,2757781.081999999900,3061197.322000000200,2644850.009499999700,11192064.062500000000
FS( 40 ),2750397.148500000600,2777453.643999999900,3096948.420250000400,2651540.273499999700,11276339.486250000000
FS( 41 ),2775724.576500000000,2777453.643999999900,3055552.411750000000,2664920.801499999600,11273651.433750000000
