代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10727754.838000001000
真實報酬,727754.838000001390

夏普值報酬,0.064075483800
夏普值風險,0.044442225825
夏普值,1.441770357147

預期報酬,20945.960657905824
風險,257107.926388956720
起點值,0.081467580374
找到最佳解世代,4244
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2308(15),4904(46),
Stock#,2308(15),4904(46),
張數,78,111,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,2448.623000000000,19002.178250000001,
FS( 1 ),4992888.622999999700,4992912.178249999900,9985800.801249999600
FS( 2 ),4964593.537999999700,5012895.980000000400,9977489.517999999200
FS( 3 ),4995655.477999999200,4913438.037499999600,9909093.515499997900
FS( 4 ),4970805.925999999000,4889126.095999999900,9859932.021999999900
FS( 5 ),4938967.437500000000,4847132.742500000600,9786100.179999999700
FS( 6 ),5039918.742500000600,4855973.448499999900,9895892.190999999600
FS( 7 ),5058555.906499999600,4954326.302749998900,10012882.209249999000
FS( 8 ),5296956.296000000100,4930014.361250000100,10226970.657250000000
FS( 9 ),5296956.296000000100,4863709.066250001100,10160665.362250000000
FS( 10 ),5341219.560499999700,4847132.742500000600,10188352.302999999000
FS( 11 ),5454595.641499999000,4930014.361250000100,10384610.002749998000
FS( 12 ),5435181.928999999500,4889126.095999999900,10324308.024999999000
FS( 13 ),5473232.805499999800,4830556.418749999300,10303789.224250000000
FS( 14 ),5548558.009999999800,4813980.094999999700,10362538.105000000000
FS( 15 ),5498082.357499999000,4748779.888249998900,10246862.245749999000
FS( 16 ),5731046.907499998800,4905702.419750000400,10636749.327250000000
FS( 17 ),5692996.031000000400,5020631.597749999700,10713627.628750000000
FS( 18 ),5655721.702999999700,4889126.095999999900,10544847.798999999000
FS( 19 ),5467020.417500000400,4937749.978999999400,10404770.396499999000
FS( 20 ),5623883.214499999800,4889126.095999999900,10513009.310500000000
FS( 21 ),5592821.274499998400,4930014.361250000100,10522835.635749999000
FS( 22 ),5467020.417500000400,4847132.742500000600,10314153.160000000000
FS( 23 ),5435181.928999999500,5012895.980000000400,10448077.909000000000
FS( 24 ),5303945.232499999000,5020631.597749999700,10324576.830249999000
FS( 25 ),5278319.131999999300,5020631.597749999700,10298950.729750000000
FS( 26 ),5435181.928999999500,4954326.302749998900,10389508.231749998000
FS( 27 ),5316370.008500000500,4872549.772249999500,10188919.780749999000
FS( 28 ),5234832.415999999300,4847132.742500000600,10081965.158500001000
FS( 29 ),5272106.743999999000,4970902.626499999300,10243009.370499998000
FS( 30 ),5259681.967999999400,5177554.129249999300,10437236.097250000000
FS( 31 ),5296956.296000000100,5136665.863999999100,10433622.160000000000
FS( 32 ),5592821.274499998400,5144401.481750000300,10737222.756249998000
FS( 33 ),5599033.662499998700,5169818.511500000000,10768852.173999999000
FS( 34 ),5428969.540999999300,5384205.631999998400,10813175.172999997000
FS( 35 ),5467020.417500000400,5375364.926000000000,10842385.343499999000
FS( 36 ),5655721.702999999700,5301324.013249998900,10957045.716249999000
FS( 37 ),5674358.867000000600,5251595.042000000400,10925953.909000002000
FS( 38 ),5623883.214499999800,5293588.395499999600,10917471.609999999000
FS( 39 ),5717845.582999998700,5458246.544750000400,11176092.127749998000
FS( 40 ),5780746.011499999100,5358788.602250000500,11139534.613750000000
FS( 41 ),5592821.274499998400,5268171.365749999900,10860992.640249997000
FS( 42 ),5347431.948499999900,5268171.365749999900,10615603.314250000000
FS( 43 ),5454595.641499999000,5260435.747999999700,10715031.389500000000
FS( 44 ),5831221.663999999900,5351052.984500000300,11182274.648499999000
FS( 45 ),6032347.725500000600,5367629.308249999800,11399977.033750001000
FS( 46 ),6000509.236999998800,5375364.926000000000,11375874.162999999000
FS( 47 ),5881697.316499998800,5260435.747999999700,11142133.064499998000
FS( 48 ),5937608.808500000300,5358788.602250000500,11296397.410750002000
FS( 49 ),5875484.928499998500,5342212.278499999100,11217697.206999999000
FS( 50 ),5843646.439999999500,5351052.984500000300,11194699.424500000000
FS( 51 ),5900334.480499999600,5367629.308249999800,11267963.788750000000
FS( 52 ),5963234.909000000900,5548863.781250000000,11512098.690250002000
FS( 53 ),5981872.072999999900,5656057.341500000100,11637929.414500000000
FS( 54 ),5692996.031000000400,5672633.665249998700,11365629.696249999000
FS( 55 ),5655721.702999999700,5730098.254249999300,11385819.957249999000
FS( 56 ),5542345.622000000400,5639481.017749999600,11181826.639750000000
FS( 57 ),5661934.090999999100,5606328.370249999700,11268262.461250000000
FS( 58 ),5717845.582999998700,5606328.370249999700,11324173.953249998000
FS( 59 ),5529920.846000000800,5615169.076249999900,11145089.922250001000
FS( 60 ),5234832.415999999300,5722362.636500000000,10957195.052499998000
FS( 61 ),5196781.539500000000,5722362.636500000000,10919144.175999999000
FS( 62 ),5184356.763500000400,5755515.283999999100,10939872.047499999000
FS( 63 ),5373058.048999999600,5622904.694000000100,10995962.743000001000
FS( 64 ),5253469.580000000100,5408517.573499999900,10661987.153500000000
FS( 65 ),5228620.027999999900,5499134.810000001500,10727754.838000001000
