代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10957364.821999999000
真實報酬,957364.821999998760

夏普值報酬,0.087036482200
夏普值風險,0.052634087750
夏普值,1.653614338567

預期報酬,28897.630965142427
風險,473119.320597035400
起點值,0.061078949236
找到最佳解世代,3705
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2354(20),2603(28),
Stock#,2354(20),2603(28),
張數,74,369,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,12703.215000000000,315.587750000000,
FS( 1 ),4992903.214999999900,4992885.587749999900,9985788.802749998900
FS( 2 ),4970865.830000000100,5047940.572250000200,10018806.402249999000
FS( 3 ),4970865.830000000100,5003856.511250000400,9974722.341250000500
FS( 4 ),4992967.594999999700,4989161.824250000500,9982129.419250000300
FS( 5 ),5082848.105999998700,5187540.098749999900,10270388.204749998000
FS( 6 ),5104949.871000000300,5125087.678999999500,10230037.550000001000
FS( 7 ),5060009.615500001200,5125087.678999999500,10185097.294500001000
FS( 8 ),5283974.167500000400,5047940.572250000200,10331914.739750002000
FS( 9 ),5306075.932500000100,5125087.678999999500,10431163.611499999000
FS( 10 ),5261135.676999998300,5139782.366000000400,10400918.042999998000
FS( 11 ),5239033.911999999500,5110392.991999999600,10349426.903999999000
FS( 12 ),5216932.146999999900,5110392.991999999600,10327325.138999999000
FS( 13 ),5239033.911999999500,5047940.572250000200,10286974.484250000000
FS( 14 ),5171991.891499999900,5062635.259250000100,10234627.150750000000
FS( 15 ),5216932.146999999900,5110392.991999999600,10327325.138999999000
FS( 16 ),5194093.656500000500,5154477.053000000300,10348570.709500000000
FS( 17 ),5373117.953000000700,5154477.053000000300,10527595.006000001000
FS( 18 ),5373117.953000000700,5154477.053000000300,10527595.006000001000
FS( 19 ),5351016.188000000100,5172845.411750000000,10523861.599750001000
FS( 20 ),5417321.483000000000,5216929.472749999700,10634250.955750000000
FS( 21 ),5395219.718000000300,5294076.579500000000,10689296.297499999000
FS( 22 ),5417321.483000000000,5371223.686250000300,10788545.169250000000
FS( 23 ),5551405.524000001100,5463065.480000000400,11014471.004000001000
FS( 24 ),5462261.738500000000,5554907.273749999700,11017169.012249999000
FS( 25 ),5462261.738500000000,5753285.548250000000,11215547.286750000000
FS( 26 ),5462261.738500000000,5661443.754499999800,11123705.493000001000
FS( 27 ),5373117.953000000700,5690833.128500000600,11063951.081500001000
FS( 28 ),5373117.953000000700,5995747.883750000000,11368865.836750001000
FS( 29 ),5351016.188000000100,6135347.410249999700,11486363.598250000000
FS( 30 ),5484363.503499999600,6087589.677499999300,11571953.180999998000
FS( 31 ),5373117.953000000700,5845127.342000000200,11218245.295000002000
FS( 32 ),5440159.973499999400,5995747.883750000000,11435907.857249999000
FS( 33 ),5797471.840999999100,6043505.616499999500,11840977.457500000000
FS( 34 ),6199723.964000000600,5903906.089999999900,12103630.054000001000
FS( 35 ),6109843.453000000700,5812064.296249999700,11921907.749250000000
FS( 36 ),6221825.728999999400,6028810.929499999600,12250636.658499999000
FS( 37 ),5998597.902499999900,6043505.616499999500,12042103.518999999000
FS( 38 ),5596345.779500000200,5830432.655000000300,11426778.434500001000
FS( 39 ),5953657.646999999900,5661443.754499999800,11615101.401500000000
FS( 40 ),5708328.055500000700,5400613.060249999200,11108941.115750000000
FS( 41 ),5864513.861500000600,5477760.166999999400,11342274.028500000000
FS( 42 ),5819573.605999998700,5507149.541000000200,11326723.147000000000
FS( 43 ),5663387.799999999800,5661443.754499999800,11324831.554499999000
FS( 44 ),5484363.503499999600,5584296.647749999500,11068660.151249999000
FS( 45 ),5551405.524000001100,5584296.647749999500,11135702.171750002000
FS( 46 ),5708328.055500000700,5569601.960749999600,11277930.016249999000
FS( 47 ),5596345.779500000200,5430002.434249999900,11026348.213750001000
FS( 48 ),5283974.167500000400,5081003.618000000700,10364977.785500001000
FS( 49 ),5417321.483000000000,5081003.618000000700,10498325.101000000000
FS( 50 ),5417321.483000000000,5279381.892500000100,10696703.375500001000
FS( 51 ),5462261.738500000000,5308771.266499999900,10771033.004999999000
FS( 52 ),5551405.524000001100,5294076.579500000000,10845482.103500001000
FS( 53 ),5663387.799999999800,5415307.747250000000,11078695.547249999000
FS( 54 ),5596345.779500000200,5782674.922249999800,11379020.701749999000
FS( 55 ),5484363.503499999600,5720222.502499999500,11204586.005999999000
FS( 56 ),5351016.188000000100,5845127.342000000200,11196143.530000001000
FS( 57 ),5082848.105999998700,5874516.716000000000,10957364.821999999000
