代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11286776.317500001000
真實報酬,1286776.317500000800

夏普值報酬,0.119977631750
夏普值風險,0.034573966537
夏普值,3.470172611538

預期報酬,21892.424832391695
風險,93780.641278415729
起點值,0.233442899664
找到最佳解世代,3024
找到最佳解實驗#,1
找到最佳解次數,34

投資組合檔數,7
2227(11),2303(13),2324(17),2325(18),3008(41),4904(45),9904(49),
Stock#,2227(11),2303(13),2324(17),2325(18),3008(41),4904(45),9904(49),
張數,5,118,86,38,0,24,42,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,223105.656250000000,4644.792500000000,15299.954500000000,17523.117999999999,1428571.000000000000,38673.214000000000,33025.177000000003,
FS( 1 ),1426855.656250000000,1426544.792500000000,1426559.954500000000,1426563.118000000000,1428571.000000000000,1426593.213999999900,1426585.176999999900,9988275.912249999100
FS( 2 ),1402414.022500000200,1409679.878500000100,1427164.684999999800,1410870.153500000000,1428571.000000000000,1469672.896000000200,1458051.408999999800,10006427.044500001000
FS( 3 ),1448359.808749999600,1446098.011999999900,1441719.991500000000,1456268.373500000000,1428571.000000000000,1467761.391999999800,1455960.701500000000,10144742.279250000000
FS( 4 ),1455975.957500000000,1497788.266000000100,1466549.632000000000,1459673.240000000000,1428571.000000000000,1455336.615999999900,1463487.248500000000,10227384.960000001000
FS( 5 ),1459808.921249999900,1482516.145499999900,1463124.854000000100,1464213.062000000200,1428571.000000000000,1428575.559999999800,1444670.880999999600,10171483.423749998000
FS( 6 ),1507696.078750000100,1482516.145499999900,1431445.657499999700,1481615.713000000200,1428571.000000000000,1432637.506000000100,1467250.521999999900,10231735.622749999000
FS( 7 ),1534477.046249999900,1482516.145499999900,1431445.657499999700,1487668.808999999900,1428571.000000000000,1438849.893999999900,1484394.323499999900,10287925.875750000000
FS( 8 ),1536418.417499999700,1440224.119500000000,1438295.213500000300,1476697.572500000000,1428571.000000000000,1449124.228000000100,1435471.767999999900,10204805.318999998000
FS( 9 ),1501921.743749999900,1440224.119500000000,1455419.103500000000,1476697.572500000000,1428571.000000000000,1438849.893999999900,1448434.154499999700,10190120.587749999000
