代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11261886.078499999000
真實報酬,1261886.078499998900

夏普值報酬,0.117488607850
夏普值風險,0.048778675291
夏普值,2.408605956397

預期報酬,22865.429081786653
風險,243691.504607094250
起點值,0.093829405825
找到最佳解世代,2851
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2325(16),4904(45),
Stock#,2325(16),4904(45),
張數,256,143,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,16268.288000000000,26532.894250000933,
FS( 1 ),4992908.287999999700,4992922.894249999900,9985831.182250000500
FS( 2 ),4988727.360000000300,4918270.745250000600,9906998.105250001000
FS( 3 ),4914815.871999999500,4875560.577750000200,9790376.449749998700
FS( 4 ),4840904.383999999600,4811495.326500000400,9652399.710500000000
FS( 5 ),5100868.928000000300,5077722.037250000100,10178590.965250000000
FS( 6 ),5080479.551999999200,5035011.869750001500,10115491.421750002000
FS( 7 ),5034603.456000000200,5056366.953500000800,10090970.409500001000
FS( 8 ),4970886.655999999500,4864171.199749999700,9835057.855749998200
FS( 9 ),4868939.775999999600,4939625.828999999900,9808565.605000000400
FS( 10 ),5090674.240000000200,5060637.970250000200,10151312.210250001000
FS( 11 ),5442390.975999999800,5060637.970250000200,10503028.946249999000
FS( 12 ),5322603.392000000000,4912576.056250000400,10235179.448249999000
FS( 13 ),5322603.392000000000,4901186.678250001700,10223790.070250001000
FS( 14 ),5360833.472000000100,4901186.678250001700,10262020.150250003000
FS( 15 ),5266532.608000000000,4842816.116000000400,10109348.723999999000
FS( 16 ),5016762.751999999400,4801529.620750000700,9818292.372749999200
FS( 17 ),5026957.439999999500,5013656.786000000300,10040614.226000000000
FS( 18 ),5360833.472000000100,5013656.786000000300,10374490.258000001000
FS( 19 ),5340444.095999999900,5019351.475000000600,10359795.571000000000
FS( 20 ),5490815.743999999900,4933931.140000000600,10424746.884000000000
FS( 21 ),5674320.128000000500,4864171.199749999700,10538491.327750001000
FS( 22 ),5536691.839999999900,4970946.618499999900,10507638.458500000000
FS( 23 ),5572373.247999999700,5081993.053999999500,10654366.301999999000
FS( 24 ),5470426.367999999800,5035011.869750001500,10505438.237750001000
FS( 25 ),5498461.759999999800,4949591.534750000600,10448053.294750001000
FS( 26 ),5490815.743999999900,4980912.324250000500,10471728.068250000000
FS( 27 ),5396514.879999999000,4949591.534750000600,10346106.414749999000
FS( 28 ),5442390.975999999800,4918270.745250000600,10360661.721250001000
FS( 29 ),5684514.815999999600,4869865.888750001800,10554380.704750001000
FS( 30 ),5684514.815999999600,4922541.762000001000,10607056.578000002000
FS( 31 ),5898603.263999999500,4949591.534750000600,10848194.798750000000
FS( 32 ),5758426.303999999500,4997996.391250001300,10756422.695250001000
FS( 33 ),5740585.599999999600,5077722.037250000100,10818307.637249999000
FS( 34 ),5600408.639999999700,5019351.475000000600,10619760.115000000000
FS( 35 ),5712550.207999999600,5141787.288500000700,10854337.496500000000
FS( 36 ),5934284.671999999300,5173108.078000001600,11107392.750000000000
FS( 37 ),5888408.576000000400,5183073.783750001300,11071482.359750003000
FS( 38 ),5990355.456000000200,5231478.640250000200,11221834.096250001000
FS( 39 ),5684514.815999999600,5231478.640250000200,10915993.456250001000
FS( 40 ),5666674.111999999700,5200157.850750001100,10866831.962750001000
FS( 41 ),5750780.287999999700,5284154.513500001300,11034934.801500000000
FS( 42 ),5814497.087999999500,5427945.410750000700,11242442.498750001000
FS( 43 ),5768620.991999999600,5556075.913250001100,11324696.905250002000
FS( 44 ),5564727.231999998900,5746847.994750001500,11311575.226750001000
FS( 45 ),5768620.991999999600,5736882.289000000800,11505503.280999999000
FS( 46 ),5592762.623999999800,5884944.203000001600,11477706.827000001000
FS( 47 ),5610603.327999999700,6065750.578750001300,11676353.906750001000
FS( 48 ),5490815.743999999900,5896333.581000000200,11387149.324999999000
FS( 49 ),5312408.703999999900,5853623.413500000700,11166032.117500000000
FS( 50 ),5286921.983999999200,5715527.205250000600,11002449.189250000000
FS( 51 ),5452585.663999998900,5800947.540250000500,11253533.204250000000
FS( 52 ),5360833.472000000100,5906299.286750000900,11267132.758750001000
FS( 53 ),5276727.296000000100,6023040.411250000800,11299767.707250001000
FS( 54 ),5322603.392000000000,6267912.038250001100,11590515.430250000000
FS( 55 ),5156939.712000000300,6077139.956750000800,11234079.668750001000
FS( 56 ),5062638.847999999300,5874978.497250000900,10937617.345249999000
FS( 57 ),5026957.439999999500,5981753.916000000200,11008711.355999999000
FS( 58 ),4858745.087999999500,5981753.916000000200,10840499.004000001000
FS( 59 ),4858745.087999999500,6172525.997500001500,11031271.085500002000
FS( 60 ),4868939.775999999600,6151170.913750001200,11020110.689750001000
FS( 61 ),4950497.279999999300,6300656.500000000900,11251153.780000001000
FS( 62 ),5044798.144000000300,6215236.165000001000,11260034.309000000000
FS( 63 ),5174780.415999999300,6087105.662500000600,11261886.078499999000
