代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11351780.482000001000
真實報酬,1351780.482000000800

夏普值報酬,0.126478048200
夏普值風險,0.039344120255
夏普值,3.214661997242

預期報酬,20563.073958754834
風險,151546.361910368810
起點值,0.135688337876
找到最佳解世代,4100
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1303(4),2105(9),3673(44),
Stock#,1303(4),2105(9),3673(44),
張數,61,101,7,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,12647.757000000000,6709.306750000000,243966.917749999990,
FS( 1 ),3328607.757000000200,3328599.306750000000,3328936.917750000000,9986144.981499999800
FS( 2 ),3304825.122750000100,3349093.519750000400,3310686.369000000400,9964606.011500001000
FS( 3 ),3264135.972500000600,3298816.982250000400,3251170.895499999600,9814124.850250002000
FS( 4 ),3282354.995000000600,3303844.635999999900,3269499.431249999900,9855700.062250001400
FS( 5 ),3255026.461250000200,3298816.982250000400,3411388.780249999800,9965233.223750000800
FS( 6 ),3264135.972500000600,3288761.674750000200,3379331.265249999700,9932229.912499999600
FS( 7 ),3309683.528750000500,3308872.289750000000,3534949.593500000000,10153506.412000000000
FS( 8 ),3313934.634000000500,3313899.943500000100,3521220.614249999600,10149056.191750001000
FS( 9 ),3313934.634000000500,3313899.943500000100,3475503.810249999600,10103339.387750000000
FS( 10 ),3327295.250500000100,3349093.519750000400,3393060.244500000000,10069450.014750000000
FS( 11 ),3345514.273000000500,3334010.558499999800,3484633.232999999500,10164159.064500000000
FS( 12 ),3414139.257749999900,3323955.251000000200,3406789.223749999400,10144884.732500000000
FS( 13 ),3559284.137000000100,3313899.943500000100,3393060.244500000000,10266245.324999999000
FS( 14 ),3559284.137000000100,3293789.328499999800,3301556.946250000500,10154631.411750000000
FS( 15 ),3531955.603250000600,3253568.098499999800,3315285.925499999900,10100810.627250001000
FS( 16 ),3559284.137000000100,3263623.406000000000,3209983.957750000500,10032892.500750000000
FS( 17 ),3591471.076750000500,3263623.406000000000,3232912.050000000300,10088007.532750001000
FS( 18 ),3600580.588000000000,3263623.406000000000,3397659.801000000000,10261864.795000000000
FS( 19 ),3604831.693250000000,3263623.406000000000,3402259.357499999900,10270715.456750000000
FS( 20 ),3673456.677999999800,3253568.098499999800,3493762.655749999900,10420788.432250001000
FS( 21 ),3927915.692250000300,3278706.367249999700,3447976.161499999900,10654599.220999999000
FS( 22 ),3864149.113500000400,3268651.059749999500,3447976.161499999900,10580777.334750000000
FS( 23 ),3714145.828250000700,3187203.068999999700,3443446.295250000400,10344796.192500001000
FS( 24 ),3637018.633000000400,3081622.340249999900,3443446.295250000400,10162088.268500000000
FS( 25 ),3705036.316999999800,3086649.993999999900,3530419.727250000000,10322107.038249999000
FS( 26 ),3818601.557250000500,3071567.032750000200,3562407.552000000100,10452577.142000001000
FS( 27 ),3855039.602250000500,3111788.262749999800,3557877.685750000200,10524706.550750000000
FS( 28 ),3913947.775000000400,3131898.877750000000,3512091.191499999700,10557938.844250001000
FS( 29 ),3977714.353750000700,3126871.223999999900,3621923.025500000000,10726509.603250001000
FS( 30 ),3977714.353750000700,3136926.531500000000,3699767.034750000100,10814408.920000000000
FS( 31 ),3977714.353750000700,3061511.725249999700,3631122.138500000400,10670349.217500001000
FS( 32 ),3864149.113500000400,3086649.993999999900,3571606.665000000500,10522406.772500001000
FS( 33 ),3891477.647249999900,3041401.110249999900,3800469.446000000000,10733349.203500001000
FS( 34 ),3909696.669750000400,3021290.495250000200,3988145.289249999400,10919133.454250000000
FS( 35 ),3864149.113500000400,3026318.149000000200,4056790.185500000100,10947258.448000001000
FS( 36 ),3673456.677999999800,3031345.802749999800,4070519.164750000500,10775322.645500001000
FS( 37 ),3841678.985750000000,3096705.301500000100,4075049.031000000000,11013434.318250000000
FS( 38 ),3891477.647249999900,3116815.916499999800,4043061.206250000300,11051355.770000000000
FS( 39 ),3814350.452000000500,3071567.032750000200,3988145.289249999400,10874063.774000000000
FS( 40 ),3818601.557250000500,3106760.608999999700,3905701.723499999800,10831064.889750000000
FS( 41 ),3796131.429499999600,3288761.674750000200,3882843.321499999600,10967737.425749999000
FS( 42 ),3695926.805749999800,3323955.251000000200,3901171.857250000400,10921054.914000001000
FS( 43 ),3695926.805749999800,3334010.558499999800,3896572.300749999900,10926510.664999999000
FS( 44 ),3763944.489750000600,3308872.289750000000,3832457.270749999700,10905275.050249999000
FS( 45 ),3705036.316999999800,3218374.522250000400,3585335.644249999900,10508747.483500000000
FS( 46 ),3827711.068500000100,3374231.788500000300,3653980.540500000100,10855924.397500001000
FS( 47 ),3855039.602250000500,3439591.287250000100,3534949.593500000000,10829581.483000001000
FS( 48 ),3873258.624750000000,3439591.287250000100,3690567.921750000200,11003418.833750000000
FS( 49 ),3891477.647249999900,3409425.364750000200,3608194.046250000600,10909098.058250001000
FS( 50 ),3869007.519500000400,3424508.326000000400,3773011.487500000300,11066528.333000001000
FS( 51 ),3877509.730000000000,3455679.779249999700,3814198.425249999900,11147388.934500000000
FS( 52 ),3832569.474500000000,3424508.326000000400,3759282.508250000400,11016361.308750000000
FS( 53 ),3814350.452000000500,3434563.633500000000,3768411.930999999900,11017327.016500000000
FS( 54 ),3855039.602250000500,3409425.364750000200,3804999.312250000000,11069465.279250000000
FS( 55 ),3891477.647249999900,3414453.018500000200,3837056.827250000100,11142988.493000001000
FS( 56 ),3918806.180999999900,3414453.018500000200,3905701.723499999800,11238961.923000000000
FS( 57 ),3955244.226000000300,3449646.594750000200,3946888.661249999900,11351780.482000001000
