代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11102798.452250000000
真實報酬,1102798.452250000100

夏普值報酬,0.101579845225
夏普值風險,0.040020057403
夏普值,2.538223376413

預期報酬,20720.507710180449
風險,117836.005562336070
起點值,0.175841905123
找到最佳解世代,3718
找到最佳解實驗#,2
找到最佳解次數,24

投資組合檔數,3
2317(16),2474(28),2882(33),
Stock#,2317(16),2474(28),2882(33),
張數,66,21,94,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,44493.072000000000,84419.886750000005,8521.885999999999,
FS( 1 ),3328653.072000000200,3328709.886750000100,3328601.885999999900,9985965.844750000200
FS( 2 ),3296379.517500000100,3474083.956500000300,3295193.721999999600,10065658.196000000000
FS( 3 ),3278638.371000000300,3436451.221500000500,3238107.451499999500,9953198.043999999800
FS( 4 ),3314120.664000000300,3455267.588999999700,3286771.157500000200,10056160.410500001000
FS( 5 ),3318720.220499999800,3483283.069499999800,3271797.709499999400,10073801.999499999000
FS( 6 ),3291779.961000000600,3408226.670250000000,3249337.537500000100,9949345.168750001100
FS( 7 ),3335804.287500000600,3464675.772750000000,3260567.623499999800,10061048.683750000000
FS( 8 ),3318720.220499999800,3483283.069499999800,3271797.709499999400,10073801.999499999000
FS( 9 ),3314120.664000000300,3445859.405249999800,3249337.537500000100,10009318.606750000000
FS( 10 ),3358144.990499999800,3427043.037750000100,3253080.899499999800,10038269.927749999000
FS( 11 ),3353545.433999999900,3417634.854000000300,3290514.519499999900,10061695.807500001000
FS( 12 ),3366687.024000000200,3455267.588999999700,3377547.685999999800,10199503.298999999000
FS( 13 ),3375886.137000000600,3464675.772750000000,3388777.771999999400,10229340.681750000000
FS( 14 ),3375886.137000000600,3436451.221500000500,3388777.771999999400,10201116.130500000000
FS( 15 ),3340403.844000000000,3342578.454750000000,3366317.600000000100,10049300.898750000000
FS( 16 ),3322662.697500000200,3333170.270999999700,3429954.754000000700,10085788.722500000000
FS( 17 ),3345003.400500000000,3361394.822249999700,3505757.834499999400,10212157.057249999000
FS( 18 ),3362744.547000000300,3361394.822249999700,3487041.024499999800,10211181.393749999000
FS( 19 ),3358144.990499999800,3351986.638499999400,3505757.834499999400,10215890.463499999000
FS( 20 ),3379828.614000000100,3398818.486500000100,3520731.282500000200,10299379.383000001000
FS( 21 ),3472476.823500000400,3464675.772750000000,3513244.558499999800,10450398.154750001000
FS( 22 ),3481018.856999999800,3474083.956500000300,3502014.472499999700,10457118.286000000000
FS( 23 ),3476419.300499999900,3474083.956500000300,3475810.938499999700,10426315.195499999000
