代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11853205.307999998000
真實報酬,1853205.307999998300

夏普值報酬,0.176620530800
夏普值風險,0.065485697492
夏普值,2.697085586085

預期報酬,31027.851985749723
風險,288714.396364808720
起點值,0.107469015665
找到最佳解世代,3999
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,5
1101(0),2409(26),2454(28),3008(42),3673(47),
Stock#,1101(0),2409(26),2454(28),3008(42),3673(47),
張數,71,216,7,3,5,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,4190.017750000000,7805.161999999767,196333.432499999760,344614.432250000010,281905.198749999980,
FS( 1 ),1997160.017750000100,1997165.162000000000,1997433.432500000100,1997644.432250000100,1997555.198750000000,9986958.243250001200
FS( 2 ),1977031.393500000000,2035671.967999999600,2043961.340499999900,2037520.029499999700,2054924.716250000100,10149109.447750000000
FS( 3 ),1968549.094500000100,2027070.200000000000,2041104.040249999600,2043075.337999999800,2071202.367499999900,10151001.040250000000
FS( 4 ),2001771.432250000300,1988362.243999999900,2023890.548499999600,2037520.029499999700,2064233.342500000000,10115777.596749999000
FS( 5 ),2007426.298250000200,2044273.736000000000,2061174.832249999500,2079154.976000000000,2092059.663749999600,10284089.506250000000
FS( 6 ),2007426.298250000200,1996964.011999999900,2072673.723499999800,2043075.337999999800,2045665.868749999900,10165805.240499999000
FS( 7 ),2029338.903999999900,1949654.287999999700,2055460.231749999800,2015328.662749999900,2045665.868749999900,10095447.955250001000
FS( 8 ),1988341.125500000300,1960406.497999999700,2064032.132499999800,2040297.683750000100,2027098.394999999600,10080175.834749999000
FS( 9 ),1957946.220750000100,1977610.033999999800,2032462.449250000100,2043075.337999999800,2022468.971250000400,10033563.013250001000
FS( 10 ),2001771.432250000300,2035671.967999999600,2003819.756499999700,2045852.992250000400,2013160.345000000000,10100276.493999999000
FS( 11 ),2026511.471000000100,2168999.371999999500,2018106.257749999900,2056933.741999999900,2082800.816249999700,10353351.658999998000
FS( 12 ),2040648.636000000200,2274371.029999999800,2015248.957499999600,2031964.721000000400,2101368.290000000000,10463601.634500001000
FS( 13 ),2034993.770000000000,2235663.073999999100,2032462.449250000100,2040297.683750000100,2087430.240000000000,10430847.216999998000
FS( 14 ),2079525.839750000300,2224910.863999999600,2052602.931499999500,2023631.758250000200,2071202.367499999900,10451873.760999998000
FS( 15 ),2090128.713500000300,2224910.863999999600,2066889.432749999700,1998662.737249999800,2054924.716250000100,10435516.463749999000
FS( 16 ),2079525.839750000300,2244264.841999999200,2046818.640749999800,1990329.774500000100,2064233.342500000000,10425172.439500000000
FS( 17 ),2082353.272750000200,2207707.327999999700,2069816.423250000000,1987552.120250000400,2087430.240000000000,10434859.384250000000
FS( 18 ),2098611.012500000200,2121689.647999999600,2038246.739999999800,1995885.083000000300,2045665.868749999900,10300098.352250000000
FS( 19 ),2015908.597250000100,1977610.033999999800,2023890.548499999600,2054156.087749999900,2008530.921250000400,10080096.188749999000
FS( 20 ),2043476.069000000100,2027070.200000000000,2087029.915000000000,2037520.029499999700,1892496.655000000000,10087592.868500000000
FS( 21 ),2068216.107749999700,2141043.625999999200,2061174.832249999500,2065266.704750000500,1897126.078750000100,10232827.349499999000
FS( 22 ),2071043.540749999900,2121689.647999999600,2058317.531999999700,2070822.013250000100,1985334.023749999900,10307206.757749999000
FS( 23 ),2024390.896249999800,2244264.841999999200,2069816.423250000000,2101346.342749999800,2041036.444999999600,10480854.949249998000
FS( 24 ),2065388.674750000200,2291574.565999999200,2061174.832249999500,2095791.034250000300,2057264.317499999900,10571193.424750000000
FS( 25 ),2107093.311500000300,2255017.051999999700,2021033.248249999700,2051408.300750000200,2080461.215000000100,10515013.127499999000
FS( 26 ),2120523.618250000300,2244264.841999999200,1975107.373499999800,2134648.326500000400,2133873.813749999700,10608417.973999999000
FS( 27 ),2129005.917249999900,2263618.819999999400,2003819.756499999700,2259553.165999999700,2168669.159999999700,10824666.819749998000
FS( 28 ),2101438.445500000400,2282972.797999999500,2015248.957499999600,2337237.883250000000,2210433.531250000000,10947331.615499999000
