代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11247639.683249999000
真實報酬,1247639.683249998800

夏普值報酬,0.116063968325
夏普值風險,0.034561843593
夏普值,3.358153277072

預期報酬,18648.838385581897
風險,72542.478833744623
起點值,0.257074733114
找到最佳解世代,6108
找到最佳解實驗#,1
找到最佳解次數,46

投資組合檔數,12
1216(2),1476(7),2324(16),2408(23),2454(26),2474(27),2823(29),2883(33),2884(34),3008(42),3045(43),5880(47),
Stock#,1216(2),1476(7),2324(16),2408(23),2454(26),2474(27),2823(29),2883(33),2884(34),3008(42),3045(43),5880(47),
張數,14,2,43,16,3,2,31,107,49,0,7,57,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,27606.473500000116,235041.647999999990,1819.779750000117,31231.632000000001,172903.226750000000,211548.217500000000,13456.338250000001,2901.318750000000,5034.354000000000,833333.000000000000,80461.684999999881,5655.237500000000,
FS( 1 ),832186.473499999960,832481.648000000040,832149.779749999990,832191.631999999980,832393.226750000030,832448.217500000030,832166.338250000030,832151.318749999980,832154.354000000050,833333.000000000000,832261.685000000060,832155.237500000050,9988076.911000000300
FS( 2 ),834062.046500000050,853552.572500000010,830616.055750000170,861142.951999999930,846738.254000000070,833563.566000000110,834098.854999999980,830612.417999999950,830933.506749999940,833333.000000000000,828934.969999999970,828497.975000000090,10046090.171500001000
FS( 3 ),830020.012000000100,847857.883500000000,826335.083250000140,858116.403999999980,851069.005250000160,845152.059000000010,834098.854999999980,833808.213749999880,830933.506749999940,833333.000000000000,828934.969999999970,828497.975000000090,10048160.967500001000
FS( 4 ),827371.782500000090,851660.979999999980,828475.569499999980,875160.647999999930,872663.027000000000,866397.629500000040,828543.546500000050,833808.213749999880,832884.833750000110,833333.000000000000,832280.101999999960,833605.274749999980,10116188.607250001000
FS( 5 ),827371.782500000090,849769.387499999950,828475.569499999980,867355.339999999970,878427.406250000000,895368.862000000080,828543.546500000050,831677.683250000000,828494.348000000110,833333.000000000000,828934.969999999970,836442.663500000140,10134198.559000000000
FS( 6 ),839358.505500000090,852616.732000000080,828475.569499999980,844098.707999999980,898587.800000000050,879917.538000000060,825765.892250000030,831677.683250000000,828494.348000000110,833333.000000000000,828934.969999999970,833605.274749999980,10124870.021250000000
FS( 7 ),823329.748000000020,851660.979999999980,818201.235500000070,848877.467999999990,904322.312000000030,895368.862000000080,828543.546500000050,832742.948500000060,828494.348000000110,833333.000000000000,828934.969999999970,836442.663500000140,10130256.082000000000
FS( 8 ),817893.908500000140,842183.105999999910,824194.597000000300,836452.691999999920,894257.048750000070,903094.524000000090,821445.096750000030,830612.417999999950,826543.021000000070,833333.000000000000,828934.969999999970,833605.274749999980,10092553.656750001000
FS( 9 ),813851.874000000070,840271.601999999960,824194.597000000300,841072.160000000030,888492.669499999960,899231.693000000090,822988.238000000010,830612.417999999950,826543.021000000070,833333.000000000000,825589.837999999990,836442.663500000140,10082627.774000000000
FS( 10 ),824584.172499999990,857355.668999999990,824194.597000000300,836452.691999999920,884191.785500000000,890550.278999999980,824222.751000000050,833808.213749999880,826543.021000000070,833333.000000000000,828934.969999999970,833605.274749999980,10097780.425500002000
FS( 11 ),827371.782500000090,861138.854000000050,830616.055750000170,831833.224000000050,892823.420750000050,908888.770500000100,822988.238000000010,833808.213749999880,819713.376500000010,833333.000000000000,828934.969999999970,831335.363750000020,10122789.269500000000
FS( 12 ),816500.103500000080,861138.854000000050,830616.055750000170,833266.851999999960,895690.676749999980,899231.693000000090,821445.096750000030,833808.213749999880,826543.021000000070,833333.000000000000,825589.837999999990,831335.363750000020,10108502.768250000000
FS( 13 ),815245.679000000000,857355.668999999990,828475.569499999980,831833.224000000050,901455.055999999980,910820.185999999990,822988.238000000010,831677.683250000000,824103.862249999890,833333.000000000000,828934.969999999970,831335.363750000020,10117562.500750000000
FS( 14 ),813851.874000000070,851660.979999999980,832328.444750000020,862735.871999999970,908653.063250000010,903094.524000000090,831321.200750000080,840199.805249999980,824103.862249999890,833333.000000000000,832280.101999999960,831335.363750000020,10164902.092000000000
FS( 15 ),815245.679000000000,863050.358000000010,828475.569499999980,859550.032000000010,914417.442500000120,922408.679000000000,831321.200750000080,842330.335749999970,824103.862249999890,833333.000000000000,835555.543749999720,828497.975000000090,10198293.677499998000
