代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11280486.207999999000
真實報酬,1280486.207999998700

夏普值報酬,0.119348620800
夏普值風險,0.034114998366
夏普值,3.498420827061

預期報酬,20269.243228557356
風險,116334.003117498740
起點值,0.174233179340
找到最佳解世代,4065
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,6
2308(15),2311(16),2330(20),2357(24),2382(25),4904(46),
Stock#,2308(15),2311(16),2330(20),2357(24),2382(25),4904(46),
張數,26,79,26,10,36,39,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,55493.345999999998,19542.188500000000,6543.692000000000,56474.742500000233,22366.206999999999,15786.844749999767,
FS( 1 ),1664373.345999999900,1664322.188499999900,1664303.692000000000,1664374.742499999900,1664326.206999999900,1664316.844749999900,9986021.020749999200
FS( 2 ),1751475.269999999800,1543000.920750000000,1652567.662500000300,1742281.890000000600,1765299.447999999900,1654304.179750000100,10108933.370999999000
FS( 3 ),1726366.868500000100,1521765.305999999900,1639884.037000000200,1721872.602500000300,1755264.052000000100,1668670.326999999800,10033827.193000000000
FS( 4 ),1709541.650999999600,1559517.510000000000,1646096.425000000300,1708233.225000000100,1778202.100000000100,1660128.293499999700,10061723.204499997000
FS( 5 ),1730508.460499999800,1565023.039750000000,1665510.137500000200,1694693.405000000300,1731967.596999999800,1703615.009499999700,10091321.649250001000
FS( 6 ),1721966.426999999700,1594910.201250000200,1665510.137500000200,1711618.180000000200,1762790.598999999900,1674494.440749999600,10131293.985499999000
FS( 7 ),1776583.671499999700,1591764.184249999700,1667580.933500000000,1755821.710000000200,1868879.071000000000,1680318.554499999400,10340952.124749998000
FS( 8 ),1814116.848999999900,1594910.201250000200,1678452.612500000300,1745666.844999999700,1855976.418999999800,1677600.634749999300,10366727.561500000000
FS( 9 ),1728437.664499999700,1559517.510000000000,1654897.308000000000,1725257.557500000100,1855976.418999999800,1662846.213249999800,10186936.672249999000
FS( 10 ),1707470.855000000000,1570528.569499999800,1648426.070499999900,1742281.890000000600,1878914.466999999900,1648480.065999999400,10196105.918000000000
FS( 11 ),1700999.617499999900,1565023.039750000000,1663439.341500000300,1745666.844999999700,1830171.115000000000,1634113.918749999700,10139417.877499999000
FS( 12 ),1690645.637500000000,1597269.713999999900,1689065.442000000000,1742281.890000000600,1840206.510999999900,1700508.815499999800,10259982.010000000000
FS( 13 ),1686504.045499999800,1586258.654499999900,1689065.442000000000,1681054.027500000500,1819777.311999999700,1749819.645249999600,10212483.126750000000
FS( 14 ),1711612.446999999900,1583899.141750000000,1721162.779999999800,1681054.027500000500,1809383.509000000100,1691966.781999999900,10199082.687250001000
FS( 15 ),1705400.058999999900,1608280.773500000100,1721162.779999999800,1735412.422499999900,1816910.055999999900,1683424.748500000000,10270594.839500001000
FS( 16 ),1703329.262999999800,1578393.611999999700,1721162.779999999800,1745666.844999999700,1788595.902999999900,1680318.554499999400,10217470.957499998000
