代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11583993.696000000000
真實報酬,1583993.696000000500

夏普值報酬,0.149699369600
夏普值風險,0.040722750868
夏普值,3.676062309366

預期報酬,21610.217519401573
風險,86621.356314409495
起點值,0.249479094289
找到最佳解世代,3972
找到最佳解實驗#,35
找到最佳解次數,2

投資組合檔數,4
2330(17),2412(24),2498(27),2882(31),
Stock#,2330(17),2412(24),2498(27),2882(31),
張數,49,40,4,78,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,26880.820000000000,47710.459999999999,114565.592999999990,13722.095499999999,
FS( 1 ),2496480.819999999800,2496510.460000000000,2496605.592999999900,2496462.095499999800,9986058.968499999500
FS( 2 ),2478235.363750000000,2482090.450000000200,2482839.402999999900,2503336.586500000200,9946501.803249999900
FS( 3 ),2501163.455999999300,2505984.250000000000,2505299.574999999700,2493241.455999999800,10005688.737000000000
FS( 4 ),2501163.455999999300,2512754.160000000100,2540622.575999999900,2498677.295500000000,10053217.487500001000
FS( 5 ),2512871.417999999600,2543019.639999999200,2553445.581999999900,2537504.720499999800,10146841.360499999000
FS( 6 ),2478235.363750000000,2580453.259999999800,2598365.926000000000,2545270.205499999700,10202324.755249999000
FS( 7 ),2505066.109999999900,2644568.289999999100,2608003.091999999700,2521973.750499999200,10279611.242499998000
FS( 8 ),2512871.417999999600,2631028.470000000200,2617640.257999999900,2518867.556499999500,10280407.702499999000
FS( 9 ),2493358.148000000000,2593993.080000000100,2566268.588000000000,2537504.720499999800,10191124.536499999000
FS( 10 ),2466527.401749999700,2560143.530000000700,2566268.588000000000,2480040.131500000100,10072979.651250001000
FS( 11 ),2501163.455999999300,2566913.439999999900,2614414.595000000200,2454414.030999999500,10136905.522000000000
FS( 12 ),2524579.379999999900,2573683.350000000100,2672157.944999999800,2469945.000999999700,10240365.676000001000
FS( 13 ),2497260.801999999700,2566913.439999999900,2649697.772999999600,2441212.706499999900,10155084.721499998000
FS( 14 ),2478235.363750000000,2553373.620000000100,2691432.276999999800,2441212.706499999900,10164253.967250001000
FS( 15 ),2493358.148000000000,2593993.080000000100,2768449.958999999800,2423352.091000000000,10279153.278000001000
FS( 16 ),2497260.801999999700,2587223.169999999900,2925671.163000000200,2435776.867000000100,10445932.002000000000
FS( 17 ),2482138.017750000100,2583639.100000000100,2883976.481999999800,2420245.896999999900,10369999.496750001000
FS( 18 ),2474332.709749999500,2566913.439999999900,2768449.958999999800,2402385.281500000000,10212081.390249999000
