代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11275084.874000000000
真實報酬,1275084.873999999800

夏普值報酬,0.118808487400
夏普值風險,0.039541760512
夏普值,3.004633224760

預期報酬,22083.742612450777
風險,55540.406689554715
起點值,0.397615788734
找到最佳解世代,3682
找到最佳解實驗#,46
找到最佳解次數,1

投資組合檔數,11
1326(5),2207(10),2880(29),2882(31),2885(34),2887(36),3008(41),3045(42),3481(44),4904(45),4938(46),
Stock#,1326(5),2207(10),2880(29),2882(31),2885(34),2887(36),3008(41),3045(42),3481(44),4904(45),4938(46),
張數,14,2,74,26,73,90,0,11,93,16,24,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,39993.299500000001,270441.220500000000,7967.728000000000,15758.814499999884,2600.090000000000,1498.522499999883,909090.000000000000,44139.199000000117,7567.157999999999,53152.023999999998,9249.552000000000,
FS( 1 ),907853.299499999960,908181.220500000050,907807.728000000000,907818.814499999980,907800.089999999970,907798.522499999960,909090.000000000000,907859.199000000020,907807.158000000050,907872.023999999980,907809.552000000030,9987707.607999999100
FS( 2 ),900389.125999999810,895682.231999999840,901615.759500000040,897659.060999999870,900887.501000000050,907372.214999999850,909090.000000000000,898671.088750000110,937155.446999999930,905364.223999999930,902877.671999999900,9956774.326249999900
FS( 3 ),895650.189000000010,890405.684499999970,903825.935999999990,940369.228499999850,909608.738000000130,919916.459999999850,909090.000000000000,894290.558750000080,928822.484249999860,907912.895999999950,942780.318000000090,10042682.492999999000
FS( 4 ),889656.827500000010,895682.231999999840,901615.759500000040,928979.850499999940,909608.738000000130,919916.459999999850,909090.000000000000,887172.197500000240,945488.409749999990,905364.223999999930,960222.791999999900,10052807.490749998000
FS( 5 ),901504.169999999930,891281.790499999890,906772.837999999990,953829.402499999850,915422.895999999950,923500.529999999680,909090.000000000000,905789.450000000190,953821.372500000060,900107.587999999990,924382.091999999950,10085512.129499998000
FS( 6 ),888402.402999999930,894806.125999999930,906772.837999999990,946581.616499999890,906701.658999999990,917228.407499999970,909090.000000000000,898671.088750000110,945488.409749999990,897558.915999999970,969780.312000000150,10081091.776500000000
FS( 7 ),884778.510000000010,888653.472499999920,906772.837999999990,941404.626499999780,903794.579999999960,919916.459999999850,909090.000000000000,888048.303500000270,945488.409749999990,896284.579999999960,979576.770000000020,10063818.550249999000
FS( 8 ),889656.827500000010,893034.002499999940,901615.759500000040,943475.422499999990,909608.738000000130,927084.599999999860,909090.000000000000,890676.621500000120,953821.372500000060,889753.608000000010,997019.244000000180,10104846.196000000000
FS( 9 ),899134.701499999970,899206.567499999890,908983.014499999930,952794.004499999920,912515.816999999810,923500.529999999680,909090.000000000000,891662.240750000110,957524.911500000050,887204.935999999990,1006815.702000000000,10148442.425249999000
FS( 10 ),893141.339999999970,900082.673500000030,911929.916500000050,949687.810499999790,912515.816999999810,939628.844999999970,909090.000000000000,903161.131999999980,957524.911500000050,884496.971999999950,1020435.168000000100,10181704.585999999000
FS( 11 ),888402.402999999930,893034.002499999940,908983.014499999930,959006.392499999840,915422.895999999950,943212.914999999920,909090.000000000000,903161.131999999980,962154.335250000120,888479.272000000000,1018523.664000000000,10189480.026750002000
FS( 12 ),900389.125999999810,899206.567499999890,906772.837999999990,957970.994499999910,912515.816999999810,943212.914999999920,909090.000000000000,904037.238000000010,983449.684499999860,895010.243999999950,1059143.124000000100,10270808.548500000000
FS( 13 ),892026.295999999970,889529.578500000060,911929.916500000050,951758.606499999760,903794.579999999960,936044.774999999790,909090.000000000000,911046.086000000130,978820.260750000130,902656.260000000010,1043612.154000000000,10230318.513249999000
FS( 14 ),895650.189000000010,893930.020000000020,903825.935999999990,951758.606499999760,897980.422000000020,933356.722499999800,909090.000000000000,919916.659250000140,987153.223500000080,923523.511999999990,1018523.664000000000,10234718.954750001000
FS( 15 ),905128.062999999970,900958.779499999950,917086.995000000000,953829.402499999850,903794.579999999960,936044.774999999790,909090.000000000000,929663.338500000190,995486.186250000030,955859.787999999940,1055320.115999999900,10362272.023750000000
FS( 16 ),912375.848999999930,897434.444000000130,920033.897000000000,956935.596499999870,912515.816999999810,943212.914999999920,909090.000000000000,928787.232500000160,1003819.149000000000,942957.135999999940,1057231.619999999600,10384403.655999998000
FS( 17 ),912375.848999999930,893930.020000000020,917086.995000000000,957970.994499999910,918329.974999999980,943212.914999999920,909090.000000000000,919040.553250000110,991782.647250000040,937700.500000000000,1051497.107999999800,10352027.557000000000
FS( 18 ),912375.848999999930,889529.578500000060,922244.073499999940,960041.790499999770,921963.823749999980,945900.967499999680,909090.000000000000,922654.490500000070,978820.260750000130,928620.856000000030,1057231.619999999600,10348483.309999999000
FS( 19 ),920738.679000000000,890405.684499999970,935505.132500000070,972725.415999999850,930685.060749999830,955757.159999999800,909090.000000000000,921778.384500000160,995486.186250000030,942957.135999999940,1090205.063999999800,10465343.903499998000
FS( 20 ),918229.829999999960,890405.684499999970,940662.211000000010,974796.211999999820,936499.218750000000,959341.229999999630,909090.000000000000,919040.553250000110,983449.684499999860,941682.800000000050,1136797.973999999900,10510005.398000000000
