代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11496025.293249998000
真實報酬,1496025.293249998200

夏普值報酬,0.140902529325
夏普值風險,0.044413515124
夏普值,3.172514693576

預期報酬,25295.255620912045
風險,105893.382358523420
起點值,0.238874753620
找到最佳解世代,4001
找到最佳解實驗#,6
找到最佳解次數,7

投資組合檔數,5
2301(12),2308(14),2881(32),2912(40),3231(43),
Stock#,2301(12),2308(14),2881(32),2912(40),3231(43),
張數,67,22,69,14,101,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,554.844999999767,9026.900500000000,24478.888250000000,103941.961999999770,15556.191499999766,
FS( 1 ),1997154.845000000000,1997166.900500000000,1997188.888250000100,1997301.962000000100,1997176.191500000000,9985988.787250001000
FS( 2 ),1998325.418749999500,1969971.155000000000,2000137.741250000000,2007043.308999999900,1982374.338499999800,9957851.962500000400
FS( 3 ),1978314.361249999800,1951572.928999999800,1982964.072500000000,2019169.412499999900,1972319.030999999700,9904339.806249998500
FS( 4 ),1948297.774999999400,1933174.702999999700,2002885.528250000000,1994917.205499999700,1998462.830499999700,9877738.042249998100
FS( 5 ),1973645.114499999700,1923975.590000000100,1988459.646500000300,1988923.844000000000,1965280.315749999800,9840284.510749999400
FS( 6 ),1973645.114499999700,1923975.590000000100,2039293.706000000000,2025302.154499999700,1949191.823749999700,9911408.388749999900
FS( 7 ),1923617.470749999600,1923975.590000000100,2105927.540750000200,2055547.723000000000,2018573.445499999700,10027641.770000000000
FS( 8 ),1948297.774999999400,1914776.477000000200,2078449.670750000000,2055547.723000000000,2021590.037749999400,10018661.683499999000
FS( 9 ),1973645.114499999700,1887179.138000000000,2083945.244750000100,2055547.723000000000,2070861.044499999600,10071178.264750000000
FS( 10 ),1988319.889999999900,1942373.815999999600,2027615.611250000100,2055547.723000000000,2066838.921499999200,10080695.961749999000
FS( 11 ),1973645.114499999700,1960772.041999999900,2011128.889250000200,2061680.464999999900,2107060.151499999700,10114286.662249999000
