代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11293264.613000000000
真實報酬,1293264.612999999900

夏普值報酬,0.120626461300
夏普值風險,0.035783082550
夏普值,3.371047229694

預期報酬,22831.560207235849
風險,121071.176686185940
起點值,0.188579650683
找到最佳解世代,3979
找到最佳解實驗#,2
找到最佳解次數,29

投資組合檔數,6
2347(20),2353(21),2357(23),2454(27),2474(28),3008(41),
Stock#,2347(20),2353(21),2357(23),2454(27),2474(28),3008(41),
張數,48,111,8,4,10,1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,31859.716000000000,4851.283750000233,46120.008000000002,211915.931000000010,43055.647499999999,669266.728499999970,
FS( 1 ),1664339.716000000000,1664301.283749999900,1664360.007999999900,1664595.931000000100,1664355.647500000000,1665246.728500000000,9987203.314749999000
FS( 2 ),1635133.695999999800,1733209.306750000000,1728801.050000000000,1673300.562000000200,1657181.395000000000,1674936.858999999900,10102566.868749999000
FS( 3 ),1671930.148000000300,1697846.482750000200,1688340.881999999800,1674973.128000000300,1661561.924999999600,1679635.973000000000,10074292.538749998000
FS( 4 ),1649947.852000000000,1676849.806000000100,1691447.075999999900,1659840.388000000000,1666042.012500000000,1684335.086999999800,10028466.221500000000
FS( 5 ),1677186.783999999800,1676849.806000000100,1700765.657999999800,1658167.822000000200,1768884.909999999900,1731326.227000000000,10213185.207000000000
FS( 6 ),1649947.852000000000,1697846.482750000200,1703871.851999999700,1651437.735000000100,1764404.822500000000,1707830.657000000100,10175343.401250001000
FS( 7 ),1671930.148000000300,1697846.482750000200,1697659.463999999900,1656495.256000000100,1804725.609999999900,1740724.455000000100,10269385.415750001000
FS( 8 ),1657115.992000000100,1666904.011749999800,1672809.912000000000,1658167.822000000200,1804725.609999999900,1768929.094750000200,10228656.442500001000
FS( 9 ),1638478.827999999700,1676849.806000000100,1672809.912000000000,1627902.341999999900,1759924.734999999900,1745433.524749999900,10121403.147750000000
FS( 10 ),1633222.192000000000,1712212.629999999900,1682128.493999999700,1614442.168000000100,1733143.767499999800,1726627.113000000100,10101780.364499999000
FS( 11 ),1616496.531999999700,1686795.600250000100,1694553.269999999800,1614442.168000000100,1715223.417500000200,1712529.771000000200,10040044.758749999000
FS( 12 ),1613151.400000000400,1707792.277000000200,1772287.765999999800,1636304.995000000100,1733143.767499999800,1750132.638749999900,10212816.844249999000
FS( 13 ),1638478.827999999700,1743155.101000000000,1731907.243999999700,1617827.123000000100,1786805.260000000000,1764229.980749999900,10282407.536750000000
FS( 14 ),1638478.827999999700,1748680.542250000200,1731907.243999999700,1654822.690000000200,1773364.997500000100,1745433.524749999900,10292691.826500000000
FS( 15 ),1633222.192000000000,1748680.542250000200,1750544.407999999800,1666570.475000000100,1706362.799999999600,1787725.550749999900,10293109.967999998000
FS( 16 ),1644213.339999999900,1737629.659750000300,1706978.045999999900,1663225.343000000100,1755544.204999999800,1806522.006749999900,10314116.600500001000
FS( 17 ),1649947.852000000000,1844823.220000000000,1703871.851999999700,1649765.169000000200,1755544.204999999800,1801822.892749999900,10405779.190750001000
FS( 18 ),1649947.852000000000,1824931.631499999900,1694553.269999999800,1658167.822000000200,1706362.799999999600,1792424.664750000000,10326392.040250000000
FS( 19 ),1657115.992000000100,1901182.720750000100,1706978.045999999900,1653150.124000000100,1719703.504999999900,1797123.778749999800,10435258.166500000000
FS( 20 ),1679098.288000000200,1895657.279500000200,1713190.433999999900,1678358.083000000100,1746584.030000000300,1797123.778749999800,10510015.893250002000
FS( 21 ),1684832.800000000300,1870240.249750000000,1735013.437999999800,1706950.997000000000,1791285.347499999900,1825318.462749999900,10613645.295000002000
FS( 22 ),1770850.480000000200,1870240.249750000000,1713190.433999999900,1703566.041999999900,1773364.997500000100,1811221.120749999800,10642437.324000001000
FS( 23 ),1802390.295999999900,1844823.220000000000,1725615.210000000000,1695163.389000000000,1804725.609999999900,1801822.892749999900,10674544.617750000000
FS( 24 ),1787576.139999999900,1819406.190250000200,1725615.210000000000,1676685.517000000000,1786805.260000000000,1811221.120749999800,10607313.438000001000
FS( 25 ),1815292.948000000100,1840402.867000000300,1716296.627999999800,1663225.343000000100,1746584.030000000300,1773628.208750000000,10555434.024750000000
FS( 26 ),1822461.088000000000,1895657.279500000200,1725615.210000000000,1619499.689000000000,1782325.172499999900,1778327.322750000100,10623889.761750001000
FS( 27 ),1841098.251999999900,1891236.926500000100,1787818.735999999800,1580831.556000000100,1782325.172499999900,1736025.341000000000,10619339.983999999000
FS( 28 ),1813381.443999999900,1895657.279500000200,1781606.347999999800,1597636.862000000200,1827026.490000000000,1731326.227000000000,10646638.650500000000
FS( 29 ),1782319.504000000200,1901182.720750000100,1766075.377999999800,1614442.168000000100,1858387.102500000000,1750132.638749999900,10672543.512000000000
FS( 30 ),1809558.436000000200,1885711.485250000400,1843809.873999999800,1609424.470000000200,1867247.720000000000,1750132.638749999900,10765888.624000002000
FS( 31 ),1932850.443999999900,1881291.132250000000,1850022.261999999900,1609424.470000000200,1827026.490000000000,1717228.884999999800,10817847.683250001000
FS( 32 ),1936673.451999999800,1952016.780250000500,1834491.291999999900,1621172.255000000100,1871727.807500000300,1787725.550749999900,11003811.137500001000
FS( 33 ),1947664.600000000300,1957542.221500000200,1831385.097999999800,1617827.123000000100,1858387.102500000000,1773628.208750000000,10986438.353750000000
FS( 34 ),1984461.051999999900,1942070.986000000500,1825172.710000000000,1607712.081000000000,1858387.102500000000,1806522.006749999900,11024329.938250002000
FS( 35 ),2006443.348000000200,1865819.896750000300,1837597.485999999800,1590906.774999999900,1898608.332500000000,1825318.462749999900,11024698.300999999000
FS( 36 ),2028425.643999999900,1865819.896750000300,1831385.097999999800,1516915.641000000300,1894128.245000000300,1844114.918750000000,10980793.443500001000
FS( 37 ),2039416.792000000100,1870240.249750000000,1862526.683999999900,1553911.208000000100,1925389.299999999600,1839415.804749999900,11090904.038499998000
FS( 38 ),1980638.044000000000,1844823.220000000000,1862526.683999999900,1563986.427000000100,1889648.157500000000,1783026.436750000100,10924652.969250001000
FS( 39 ),2013611.488000000100,1850348.661249999900,1843809.873999999800,1582504.122000000000,1876207.895000000000,1759530.866749999800,10926016.907000000000
FS( 40 ),1921859.295999999900,1834877.425749999900,1800323.157999999800,1558968.729000000100,1849426.927500000000,1764229.980749999900,10729689.516999999000
FS( 41 ),1892230.983999999900,1768572.130750000500,1784712.541999999900,1560641.295000000200,1840466.752499999700,1745433.524749999900,10592061.229000000000
FS( 42 ),1888885.852000000000,1830457.072750000300,1769181.571999999900,1582504.122000000000,1903088.420000000400,1750132.638749999900,10724253.677500000000
FS( 43 ),1965823.888000000000,1824931.631499999900,1787818.735999999800,1589234.209000000000,2010311.847499999900,1750132.638749999900,10928256.950749999000
FS( 44 ),1947664.600000000300,1870240.249750000000,1822066.515999999800,1590906.774999999900,1970090.617499999900,1764229.980749999900,10965202.739000000000
FS( 45 ),1907045.139999999900,1850348.661249999900,1812747.933999999900,1621172.255000000100,1996971.142499999800,1792424.664750000000,10980713.797499999000
FS( 46 ),1936673.451999999800,1870240.249750000000,1850022.261999999900,1671627.996000000000,2086373.777500000100,1811221.120749999800,11226162.857999999000
FS( 47 ),1907045.139999999900,1850348.661249999900,1837597.485999999800,1654822.690000000200,2010311.847499999900,1787725.550749999900,11047855.375499999000
FS( 48 ),1925682.304000000200,1840402.867000000300,1837597.485999999800,1663225.343000000100,1952269.825000000000,1783026.436750000100,11002208.261750001000
FS( 49 ),1965823.888000000000,1830457.072750000300,1825172.710000000000,1654822.690000000200,1992491.054999999900,1773628.208750000000,11042399.624500001000
FS( 50 ),1943841.592000000200,1855874.102500000300,1868739.071999999900,1669955.429999999900,2001451.230000000200,1764229.980749999900,11104095.407250000000
FS( 51 ),1914691.155999999700,1844823.220000000000,1921624.015999999800,1674973.128000000300,1988010.967500000300,1768929.094750000200,11113055.582250001000
FS( 52 ),1899877.000000000200,1860294.455499999900,1878057.653999999900,1674973.128000000300,1970090.617499999900,1764229.980749999900,11047526.835750001000
FS( 53 ),1921859.295999999900,1881291.132250000000,1887376.235999999800,1678358.083000000100,1974570.704999999800,1839415.804749999900,11182875.256999999000
FS( 54 ),1903222.131999999800,1855874.102500000300,1878057.653999999900,1678358.083000000100,2001451.230000000200,1839415.804749999900,11156383.006250000000
FS( 55 ),1907045.139999999900,1844823.220000000000,1865632.877999999800,1710296.129000000000,2010311.847499999900,1830017.576750000000,11168130.791249998000
FS( 56 ),1874071.695999999800,1844823.220000000000,1862526.683999999900,1710296.129000000000,2046152.547499999900,1909912.470500000100,11247786.747000000000
FS( 57 ),1936673.451999999800,1844823.220000000000,1859420.489999999800,1708623.563000000100,2010311.847499999900,1933408.040499999900,11293264.613000000000
