代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11844643.843000000000
真實報酬,1844643.843000000300

夏普值報酬,0.175764384300
夏普值風險,0.075496620528
夏普值,2.328109299080

預期報酬,35835.493860233284
風險,368977.859570504750
起點值,0.097120986885
找到最佳解世代,3720
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
2325(16),
Stock#,2325(16),
張數,259,
分配資金,10000000.000000000000,
剩餘資金,16884.303249999997,
FS( 1 ),9985794.303249999900,9985794.303249999900
FS( 2 ),9988095.583000000600,9988095.583000000600
FS( 3 ),10276891.979000000000,10276891.979000000000
FS( 4 ),10230478.272499999000,10230478.272499999000
FS( 5 ),10184064.566000000000,10184064.566000000000
FS( 6 ),10253685.125750002000,10253685.125750002000
FS( 7 ),10068030.299749998000,10068030.299749998000
FS( 8 ),9931367.719500001500,9931367.719500001500
FS( 9 ),10160857.712750003000,10160857.712750003000
FS( 10 ),10068030.299749998000,10068030.299749998000
FS( 11 ),9975202.886749999600,9975202.886749999600
FS( 12 ),10217585.576250000000,10217585.576250000000
FS( 13 ),10287206.136000000000,10287206.136000000000
FS( 14 ),10356826.695750000000,10356826.695750000000
FS( 15 ),10240792.429499999000,10240792.429499999000
FS( 16 ),10300098.832250001000,10300098.832250001000
FS( 17 ),10380033.548999999000,10380033.548999999000
FS( 18 ),10390347.705999998000,10390347.705999998000
FS( 19 ),10563109.835749999000,10563109.835749999000
FS( 20 ),10287206.136000000000,10287206.136000000000
FS( 21 ),9931367.719500001500,9931367.719500001500
FS( 22 ),10390347.705999998000,10390347.705999998000
FS( 23 ),10390347.705999998000,10390347.705999998000
FS( 24 ),10390347.705999998000,10390347.705999998000
FS( 25 ),10390347.705999998000,10390347.705999998000
FS( 26 ),10529588.825500000000,10529588.825500000000
FS( 27 ),10506381.972250000000,10506381.972250000000
FS( 28 ),10300098.832250001000,10300098.832250001000
FS( 29 ),10552795.678749999000,10552795.678749999000
FS( 30 ),10506381.972250000000,10506381.972250000000
FS( 31 ),10516696.129250001000,10516696.129250001000
FS( 32 ),11566161.604000000000,11566161.604000000000
FS( 33 ),11313464.757500000000,11313464.757500000000
FS( 34 ),11509433.740499999000,11509433.740499999000
FS( 35 ),11475912.730249999000,11475912.730249999000
FS( 36 ),11775023.283250000000,11775023.283250000000
FS( 37 ),11566161.604000000000,11566161.604000000000
FS( 38 ),12074133.836250000000,12074133.836250000000
FS( 39 ),12074133.836250000000,12074133.836250000000
FS( 40 ),12097340.689500000000,12097340.689500000000
FS( 41 ),12027720.129750000000,12027720.129750000000
FS( 42 ),11958099.570000000000,11958099.570000000000
FS( 43 ),11958099.570000000000,11958099.570000000000
FS( 44 ),12074133.836250000000,12074133.836250000000
FS( 45 ),11911685.863500001000,11911685.863500001000
FS( 46 ),11958099.570000000000,11958099.570000000000
FS( 47 ),12004513.276500000000,12004513.276500000000
FS( 48 ),12050926.983000001000,12050926.983000001000
FS( 49 ),11867850.696249999000,11867850.696249999000
FS( 50 ),11867850.696249999000,11867850.696249999000
FS( 51 ),12074133.836250000000,12074133.836250000000
FS( 52 ),12120547.542749999000,12120547.542749999000
FS( 53 ),12097340.689500000000,12097340.689500000000
FS( 54 ),12166961.249250000000,12166961.249250000000
FS( 55 ),12050926.983000001000,12050926.983000001000
FS( 56 ),12050926.983000001000,12050926.983000001000
FS( 57 ),12097340.689500000000,12097340.689500000000
FS( 58 ),12004513.276500000000,12004513.276500000000
FS( 59 ),11888479.010250000000,11888479.010250000000
FS( 60 ),11844643.843000000000,11844643.843000000000
FS( 61 ),12004513.276500000000,12004513.276500000000
FS( 62 ),11981306.423249999000,11981306.423249999000
FS( 63 ),11775023.283250000000,11775023.283250000000
FS( 64 ),11867850.696249999000,11867850.696249999000
FS( 65 ),11844643.843000000000,11844643.843000000000
