代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10865105.395750001000
真實報酬,865105.395750001070

夏普值報酬,0.077810539575
夏普值風險,0.027634672711
夏普值,2.815685222296

預期報酬,15306.395417517333
風險,45942.907797630120
起點值,0.333161224469
找到最佳解世代,3284
找到最佳解實驗#,2
找到最佳解次數,6

投資組合檔數,7
2330(18),2382(21),2412(25),2823(29),2887(37),3045(43),5880(47),
Stock#,2330(18),2382(21),2412(25),2823(29),2887(37),3045(43),5880(47),
張數,7,23,14,54,122,13,99,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,95554.153999999995,47525.811000000002,49708.917500000236,14999.527000000000,8910.863000000234,48997.905749999998,9862.216750000000,
FS( 1 ),1426674.154000000100,1426605.811000000000,1426608.917500000000,1426559.527000000000,1426550.862999999900,1426607.905749999900,1426552.216749999900,9986162.394999999600
FS( 2 ),1430889.034250000000,1435616.210500000000,1427206.399000000200,1446656.288500000000,1426350.813500000200,1439019.720749999900,1425211.459749999700,10030952.926250001000
FS( 3 ),1430889.034250000000,1424854.044749999900,1433896.663000000400,1432140.804999999900,1426350.813500000200,1457527.459999999700,1434082.033000000100,10039743.853499999000
FS( 4 ),1427543.902249999800,1426914.885000000000,1427206.399000000200,1422463.816000000100,1420277.805999999900,1432807.332750000100,1430139.555999999900,9987356.697000000600
FS( 5 ),1461273.983250000000,1429204.707500000300,1440447.546500000200,1425151.868500000100,1420277.805999999900,1451315.071999999900,1434082.033000000100,10061756.016750000000
FS( 6 ),1468033.937500000000,1420503.382000000000,1447137.810500000400,1405797.890500000000,1414204.798500000000,1432807.332750000100,1439010.129250000000,10027498.280999999000
FS( 7 ),1481484.155750000400,1440195.855499999800,1440447.546500000200,1425151.868500000100,1426350.813500000200,1432807.332750000100,1434082.033000000100,10080522.605500001000
FS( 8 ),1495004.064250000100,1426914.885000000000,1440447.546500000200,1422463.816000000100,1437282.227000000200,1451315.071999999900,1434082.033000000100,10107512.643750001000
FS( 9 ),1484829.287749999900,1426914.885000000000,1453828.074500000100,1441817.793999999800,1443355.234500000500,1457527.459999999700,1434082.033000000100,10142357.768749999000
FS( 10 ),1484829.287749999900,1464238.991750000000,1460518.338500000300,1436979.299500000200,1465218.061500000100,1451315.071999999900,1439010.129250000000,10202112.180250000000
FS( 11 ),1474724.201500000200,1461949.169250000000,1460518.338500000300,1463322.213999999900,1471291.068999999900,1451315.071999999900,1439010.129250000000,10222133.193499999000
FS( 12 ),1471379.069499999800,1448897.181000000100,1460518.338500000300,1485364.244500000000,1504085.309500000400,1445232.108749999900,1443938.225499999700,10259417.477250002000
FS( 13 ),1468033.937500000000,1437906.033000000100,1460518.338500000300,1456333.277500000100,1471291.068999999900,1451315.071999999900,1439010.129250000000,10184410.856750000000
FS( 14 ),1464619.115249999800,1435616.210500000000,1453828.074500000100,1463322.213999999900,1471291.068999999900,1445232.108749999900,1439010.129250000000,10172921.921249999000
