代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11227353.017499998000
真實報酬,1227353.017499998200

夏普值報酬,0.114035301750
夏普值風險,0.035431987002
夏普值,3.218428075846

預期報酬,20706.995579736282
風險,94656.423429562419
起點值,0.218759539284
找到最佳解世代,3575
找到最佳解實驗#,1
找到最佳解次數,1

投資組合檔數,4
2002(9),2881(33),2912(41),3045(43),
Stock#,2002(9),2881(33),2912(41),3045(43),
張數,118,101,20,31,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,1925.309000000000,19950.958999999999,26480.250000000000,71724.631500000003,
FS( 1 ),2496445.308999999900,2496470.958999999800,2496480.250000000000,2496544.631500000100,9985941.149499999400
FS( 2 ),2525349.526999999800,2546849.733749999700,2546081.460000000000,2497542.676500000500,10115823.397250000000
FS( 3 ),2514776.520499999600,2534783.364750000200,2580727.470000000200,2521307.051750000600,10151594.407000002000
FS( 4 ),2514776.520499999600,2592098.617499999700,2615373.480000000000,2497542.676500000500,10219791.294499999000
FS( 5 ),2525349.526999999800,2637347.501249999700,2650019.489999999800,2509579.178250000300,10322295.696500000000
FS( 6 ),2500679.178499999900,2600142.863500000000,2632696.484999999400,2497542.676500000500,10231061.203499999000
FS( 7 ),2514776.520499999600,2629303.255249999900,2632696.484999999400,2462050.427750000700,10238826.688500000000
FS( 8 ),2490106.171999999800,2629303.255249999900,2624134.540000000500,2426249.550750000400,10169793.518000001000
FS( 9 ),2471309.716000000000,2550871.856749999800,2580727.470000000200,2473778.301250000000,10076687.344000001000
FS( 10 ),2485407.057999999700,2576010.125500000100,2580727.470000000200,2533343.553499999900,10175488.207000000000
FS( 11 ),2476008.829999999600,2526739.118749999900,2572165.524999999900,2557107.928750000000,10132021.402500000000
FS( 12 ),2456037.595499999800,2526739.118749999900,2606811.535000000100,2568835.802250000200,10158424.051500000000
FS( 13 ),2471309.716000000000,2554893.979749999900,2606811.535000000100,2592908.805750000300,10225924.036499999000
FS( 14 ),2471309.716000000000,2571988.002499999500,2650019.489999999800,2580872.303999999500,10274189.512499999000
FS( 15 ),2460736.709499999900,2530761.241749999600,2641457.545000000900,2568835.802250000200,10201791.298500001000
FS( 16 ),2471309.716000000000,2546849.733749999700,2589488.529999999800,2557107.928750000000,10164755.908500001000
FS( 17 ),2530048.640999999800,2633325.378249999600,2606811.535000000100,2592908.805750000300,10363094.359999999000
FS( 18 ),2550019.875500000100,2669524.485250000400,2606811.535000000100,2568835.802250000200,10395191.698000001000
FS( 19 ),2559418.103499999700,2665502.362249999800,2641457.545000000900,2568835.802250000200,10435213.813000001000
FS( 20 ),2565291.996000000300,2665502.362249999800,2624134.540000000500,2521307.051750000600,10376235.950000001000
FS( 21 ),2599360.572499999800,2669524.485250000400,2658780.549999999800,2557107.928750000000,10484773.536499999000
FS( 22 ),2634603.927499999800,2722817.614999999800,2606811.535000000100,2557107.928750000000,10521341.006250000000
FS( 23 ),2599360.572499999800,2726839.737999999900,2641457.545000000900,2545071.427000000100,10512729.282500001000
FS( 24 ),2594661.458500000200,2735889.514750000100,2667342.495000000100,2545071.427000000100,10542964.895250000000
FS( 25 ),2614632.692999999500,2747955.883749999600,2684665.500000000000,2616673.180999999900,10663927.257749999000
FS( 26 ),2604059.686499999800,2756000.129749999800,2684665.500000000000,2616673.180999999900,10661398.497250000000
FS( 27 ),2604059.686499999800,2756000.129749999800,2693227.445000000800,2592908.805750000300,10646196.067000002000
FS( 28 ),2584088.452000000000,2730861.861000000000,2736634.515000000600,2628401.054500000100,10679985.882500000000
FS( 29 ),2594661.458500000200,2730861.861000000000,2745196.459999999500,2616673.180999999900,10687392.960500000000
FS( 30 ),2604059.686499999800,2780132.867749999700,2753957.520000000000,2592908.805750000300,10731058.879999999000
FS( 31 ),2619331.806999999600,2801249.013499999900,2753957.520000000000,2592908.805750000300,10767447.146249998000
FS( 32 ),2624030.921000000100,2784154.990749999400,2762519.464999999900,2557107.928750000000,10727813.305500001000
FS( 33 ),2624030.921000000100,2780132.867749999700,2762519.464999999900,2580872.303999999500,10747555.557750000000
FS( 34 ),2609933.578999999900,2788177.113750000000,2779842.470000000200,2616673.180999999900,10794626.343750000000
FS( 35 ),2619331.806999999600,2846497.897249999900,2797165.475000000100,2592908.805750000300,10855903.984999999000
FS( 36 ),2619331.806999999600,2793204.767499999600,2727873.454999999100,2545071.427000000100,10685481.456499998000
FS( 37 ),2619331.806999999600,2768066.498749999800,2753957.520000000000,2509579.178250000300,10650935.003999999000
FS( 38 ),2599360.572499999800,2776110.744749999600,2736634.515000000600,2533343.553499999900,10645449.385749999000
FS( 39 ),2599360.572499999800,2780132.867749999700,2753957.520000000000,2521307.051750000600,10654758.012000000000
FS( 40 ),2619331.806999999600,2813315.382499999800,2771280.524999999900,2545071.427000000100,10748999.141500000000
FS( 41 ),2713314.086999999800,2817337.505500000000,2753957.520000000000,2545071.427000000100,10829680.539499998000
FS( 42 ),2703915.858999999700,2825381.751499999300,2753957.520000000000,2580872.303999999500,10864127.434499998000
FS( 43 ),2708614.972999999800,2894763.373249999700,2719311.510000000200,2616673.180999999900,10939363.037249999000
FS( 44 ),2733285.321500000100,2894763.373249999700,2719311.510000000200,2568835.802250000200,10916196.006999999000
FS( 45 ),2782626.018500000200,2911857.396000000200,2745196.459999999500,2533343.553499999900,10973023.427999999000
FS( 46 ),2772053.011999999600,2886719.127249999900,2762519.464999999900,2533343.553499999900,10954635.157749999000
FS( 47 ),2772053.011999999600,2915879.518999999900,2727873.454999999100,2580872.303999999500,10996678.289999997000
FS( 48 ),2757955.669999999900,2894763.373249999700,2719311.510000000200,2604636.679250000000,10976667.232500000000
FS( 49 ),2762654.784000000000,2969172.648749999700,2771280.524999999900,2592908.805750000300,11096016.763500001000
FS( 50 ),2792024.246499999900,3066709.131499999700,2814488.480000000000,2604636.679250000000,11277858.537249999000
FS( 51 ),2782626.018500000200,3026487.901499999200,2814488.480000000000,2568835.802250000200,11192438.202250000000
FS( 52 ),2797898.138999999500,3034532.147500000000,2814488.480000000000,2580872.303999999500,11227791.070499999000
FS( 53 ),2777926.904499999200,2952078.625999999700,2814488.480000000000,2568835.802250000200,11113329.812749999000
FS( 54 ),2753256.556000000300,2927945.887999999800,2823249.540000000500,2568835.802250000200,11073287.786250001000
FS( 55 ),2722712.314999999900,2903813.149999999900,2823249.540000000500,2568835.802250000200,11018610.807250001000
FS( 56 ),2772053.011999999600,2993305.386750000100,2814488.480000000000,2604636.679250000000,11184483.558000000000
FS( 57 ),2708614.972999999800,3001349.632749998900,2831811.484999999400,2628401.054500000100,11170177.145249998000
FS( 58 ),2673371.617999999300,3046598.516500000400,2840572.545000000900,2640437.556249999900,11200980.235750001000
FS( 59 ),2693342.852499999600,3034532.147500000000,2857895.549999999800,2640437.556249999900,11226208.106250001000
FS( 60 ),2693342.852499999600,3009393.878749999700,2857895.549999999800,2640437.556249999900,11201069.837500000000
FS( 61 ),2713314.086999999800,3001349.632749998900,2788603.529999999800,2616673.180999999900,11119940.430749997000
FS( 62 ),2703915.858999999700,3034532.147500000000,2831811.484999999400,2568835.802250000200,11139095.293749999000
FS( 63 ),2722712.314999999900,3038554.270499999600,2814488.480000000000,2628401.054500000100,11204156.120000001000
FS( 64 ),2733285.321500000100,3066709.131499999700,2831811.484999999400,2604636.679250000000,11236442.617249999000
FS( 65 ),2757955.669999999900,3111958.015249999700,2788603.529999999800,2568835.802250000200,11227353.017499998000
