代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10596497.607999999000
真實報酬,596497.607999999080

夏普值報酬,0.050949760800
夏普值風險,0.033145230583
夏普值,1.537167185250

預期報酬,8600.978816190933
風險,222004.250999493670
起點值,0.038742405956
找到最佳解世代,3448
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,1
3045(42),
Stock#,3045(42),
張數,126,
分配資金,10000000.000000000000,
剩餘資金,17935.799500000001,
FS( 1 ),9985795.799499999700,9985795.799499999700
FS( 2 ),9758542.042000003200,9758542.042000003200
FS( 3 ),9812482.295499999100,9812482.295499999100
FS( 4 ),9866422.549000000600,9866422.549000000600
FS( 5 ),9822517.691499998800,9822517.691499998800
FS( 6 ),9801192.474999999600,9801192.474999999600
FS( 7 ),9801192.474999999600,9801192.474999999600
FS( 8 ),9737216.825500002100,9737216.825500002100
FS( 9 ),9801192.474999999600,9801192.474999999600
FS( 10 ),9758542.042000003200,9758542.042000003200
FS( 11 ),9694566.392500000100,9694566.392500000100
FS( 12 ),9758542.042000003200,9758542.042000003200
FS( 13 ),9747252.221500000000,9747252.221500000000
FS( 14 ),9779867.258499998600,9779867.258499998600
FS( 15 ),9650661.535000000100,9650661.535000000100
FS( 16 ),9608011.102000000000,9608011.102000000000
FS( 17 ),9801192.474999999600,9801192.474999999600
FS( 18 ),9650661.535000000100,9650661.535000000100
FS( 19 ),9909072.981999997000,9909072.981999997000
FS( 20 ),9855132.728499999300,9855132.728499999300
FS( 21 ),9941688.018999999400,9941688.018999999400
FS( 22 ),9909072.981999997000,9909072.981999997000
FS( 23 ),9941688.018999999400,9941688.018999999400
FS( 24 ),10038278.705499999000,10038278.705499999000
FS( 25 ),9909072.981999997000,9909072.981999997000
FS( 26 ),10026988.885000000000,10026988.885000000000
FS( 27 ),10005663.668500001000,10005663.668500001000
FS( 28 ),10080929.138499999000,10080929.138499999000
FS( 29 ),10167484.429000000000,10167484.429000000000
FS( 30 ),10252785.295000000000,10252785.295000000000
FS( 31 ),10318015.368999999000,10318015.368999999000
FS( 32 ),10339340.585500000000,10339340.585500000000
FS( 33 ),10445966.668000000000,10445966.668000000000
FS( 34 ),10424641.451499999000,10424641.451499999000
FS( 35 ),10339340.585500000000,10339340.585500000000
FS( 36 ),10274110.511500001000,10274110.511500001000
FS( 37 ),10306725.548499998000,10306725.548499998000
FS( 38 ),10360665.801999999000,10360665.801999999000
FS( 39 ),10295435.728000000000,10295435.728000000000
FS( 40 ),10274110.511500001000,10274110.511500001000
FS( 41 ),10393280.839000000000,10393280.839000000000
FS( 42 ),10629112.645000000000,10629112.645000000000
FS( 43 ),10629112.645000000000,10629112.645000000000
FS( 44 ),10586462.211999999000,10586462.211999999000
FS( 45 ),10596497.607999999000,10596497.607999999000
FS( 46 ),10543811.778999999000,10543811.778999999000
FS( 47 ),10629112.645000000000,10629112.645000000000
FS( 48 ),10468546.309000000000,10468546.309000000000
FS( 49 ),10575172.391500000000,10575172.391500000000
FS( 50 ),10553847.174999999000,10553847.174999999000
FS( 51 ),10457256.488499999000,10457256.488499999000
FS( 52 ),10596497.607999999000,10596497.607999999000
FS( 53 ),10553847.174999999000,10553847.174999999000
FS( 54 ),10457256.488499999000,10457256.488499999000
FS( 55 ),10532521.958500000000,10532521.958500000000
FS( 56 ),10607787.428500000000,10607787.428500000000
FS( 57 ),10553847.174999999000,10553847.174999999000
FS( 58 ),10553847.174999999000,10553847.174999999000
FS( 59 ),10565136.995500000000,10565136.995500000000
FS( 60 ),10499906.921499999000,10499906.921499999000
FS( 61 ),10478581.705000000000,10478581.705000000000
FS( 62 ),10553847.174999999000,10553847.174999999000
FS( 63 ),10596497.607999999000,10596497.607999999000
