代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11656556.520000001000
真實報酬,1656556.520000001400

夏普值報酬,0.156955652000
夏普值風險,0.043594139050
夏普值,3.600384258556

預期報酬,26818.606611344559
風險,165586.518353001740
起點值,0.161961292973
找到最佳解世代,3088
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2301(10),4904(45),9904(48),
Stock#,2301(10),4904(45),9904(48),
張數,162,87,181,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,17334.425999999999,27849.388500000467,1812.338500000466,
FS( 1 ),3328614.426000000000,3328629.388499999900,3328592.338500000100,9985837.153000000900
FS( 2 ),3296220.865499999800,3391976.959500000800,3321079.300000000700,10009278.125000002000
FS( 3 ),3239771.763000000300,3508041.093000000300,3299455.411000000800,10047269.267000001000
FS( 4 ),3262351.404000000100,3501978.041250000200,3348109.161250000800,10112439.606500002000
FS( 5 ),3313962.012000000100,3592057.667249999900,3306663.374000000300,10212684.053250000000
FS( 6 ),3313962.012000000100,3702058.749000000300,3292247.448000000800,10308269.209000001000
FS( 7 ),3291382.371000000300,3598986.869250000000,3328287.263000000700,10218657.503250001000
FS( 8 ),3291382.371000000300,3573002.361750000200,3248999.670000000900,10113385.402750000000
FS( 9 ),3296220.865499999800,3488985.787500000100,3234583.744000000900,10019791.397000000000
FS( 10 ),3352669.967999999900,3540954.802500000700,3299455.411000000800,10193081.181500001000
FS( 11 ),3409119.070499999900,3605049.921000000600,3348109.161250000800,10362279.152750000000
FS( 12 ),3505888.960499999600,3676074.241500000000,3313871.337000000300,10495835.539000001000
FS( 13 ),3533307.096000000400,3825052.084500000800,3335495.226000000700,10693855.406500001000
FS( 14 ),3634915.480500000100,3708987.951000000400,3241791.707000000400,10585696.138500001000
FS( 15 ),3584917.704000000400,3585994.615500000300,3200345.919750000400,10371259.239250001000
FS( 16 ),3618787.165499999700,3650955.884250000600,3178722.030750000400,10448466.080500001000
FS( 17 ),3370411.114500000100,3650955.884250000600,3128266.289750001400,10149634.288500004000
FS( 18 ),3483309.319499999300,3767020.017750000100,3157098.141750000900,10407428.479000000000
FS( 19 ),3483309.319499999300,3754027.764000000400,3121058.326750000000,10358396.410250001000
FS( 20 ),3488147.813999999800,3844973.540250000500,3171514.067750000400,10504636.422000002000
FS( 21 ),3562338.063000000100,3793004.525250000400,3200345.919750000400,10555689.508000001000
FS( 22 ),3663946.447499999800,3715051.002750000500,3200345.919750000400,10579344.370000001000
FS( 23 ),3754265.011500000500,3793004.525250000400,3355317.124250000300,10902587.661000002000
FS( 24 ),3686526.088500000100,3857965.794000000200,3384148.976250000800,10928641.858750001000
FS( 25 ),3675236.268000000200,3857965.794000000200,3355317.124250000300,10888520.186250001000
FS( 26 ),3663946.447499999800,3780012.271500000300,3362525.087249999900,10806484.806250000000
FS( 27 ),3770393.326500000000,3838044.338250000000,3398564.902250001200,11007003.567000002000
FS( 28 ),3781683.146999999900,3877021.099500000000,3412980.828250000300,11071686.074750001000
FS( 29 ),3736523.864999999800,3877021.099500000000,3420188.791250000200,11033734.755750000000
FS( 30 ),3668784.942000000300,3831981.286500000400,3441812.680250000200,10942579.908750001000
FS( 31 ),3630076.985999999600,3844973.540250000500,3420188.791250000200,10895240.317500001000
FS( 32 ),3652656.626999999900,3831981.286500000400,3420188.791250000200,10904827.704750000000
FS( 33 ),3510727.455000000100,3818989.032750000700,3342703.189000000200,10672420.676750001000
FS( 34 ),3596207.524500000300,3786075.323250000400,3391356.939249999800,10773640.787000000000
FS( 35 ),3641366.806499999900,3573002.361750000200,3306663.374000000300,10521033.542250000000
FS( 36 ),3646205.301000000000,3540954.802500000700,3270623.559000000400,10457784.662500001000
FS( 37 ),3822003.934500000000,3644026.682250000500,3427396.754250000700,10893428.371000001000
FS( 38 ),3849422.070000000800,3741035.510250000300,3434604.717250000700,11025063.297500001000
FS( 39 ),3939740.634000000100,3715051.002750000500,3476050.504500000700,11130843.141250001000
FS( 40 ),3826842.429000000000,3683003.443500000100,3483258.467500000700,10993105.340000002000
FS( 41 ),3844583.575500000300,3695995.697250000700,3512090.319500000200,11052670.592250001000
FS( 42 ),3844583.575500000300,3715051.002750000500,3533714.208500001100,11093349.786750002000
FS( 43 ),3844583.575500000300,3728043.256500000600,3548130.134500000200,11120757.966500001000
FS( 44 ),3867163.216500000100,3708987.951000000400,3533714.208500001100,11109866.376000002000
FS( 45 ),3844583.575500000300,3702058.749000000300,3468842.541500000300,11015485.866000000000
FS( 46 ),3912322.498499999800,3702058.749000000300,3555338.097500000100,11169720.345000001000
FS( 47 ),3973610.095499999800,3715051.002750000500,3576961.986500000600,11265624.084750000000
FS( 48 ),4081669.805999999900,3708987.951000000400,3596783.884750000700,11387442.641750000000
FS( 49 ),4092959.626499999800,3676074.241500000000,3618407.773750000600,11387442.641750000000
FS( 50 ),4126829.088000000000,3676074.241500000000,3618407.773750000600,11421312.103250001000
FS( 51 ),4239727.292999999600,3663081.987750000300,3683279.440750000500,11586089.721500000000
FS( 52 ),4239727.292999999600,3553947.056250000400,3676071.477750000500,11469746.827000000000
FS( 53 ),4244565.787500000600,3521033.346750000500,3661655.551750000100,11427255.686000001000
FS( 54 ),4244565.787500000600,3566073.159750000600,3668863.514750001000,11479503.462000001000
FS( 55 ),4120377.762000000600,3663081.987750000300,3640031.662750001100,11423492.412500001000
FS( 56 ),4109087.941500000700,3579065.413500000300,3625615.736750000600,11313770.091750002000
FS( 57 ),4126829.088000000000,3605049.921000000600,3697695.366750001000,11429575.375750002000
FS( 58 ),4138118.908500000800,3695995.697250000700,3746349.117000001000,11580464.722750003000
FS( 59 ),4251017.113500000000,3715051.002750000500,3690487.403750000100,11656556.520000001000
