代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10384361.286499999000
真實報酬,384361.286499999460

夏普值報酬,0.029736128650
夏普值風險,0.027694440383
夏普值,1.073721954253

預期報酬,10859.028889670655
風險,250947.457169914440
起點值,0.043272121631
找到最佳解世代,3719
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2357(21),2412(24),
Stock#,2357(21),2412(24),
張數,32,70,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,102150.496000000000,48854.657500000932,
FS( 1 ),4993030.496000000300,4992954.657499999700,9985985.153500000000
FS( 2 ),5056450.280000000300,4971077.014999999700,10027527.295000000000
FS( 3 ),5150113.975999999800,5019860.189999999500,10169974.165999999000
FS( 4 ),5090538.768000000200,5093034.952499999700,10183573.720500000000
FS( 5 ),4937299.864000000100,5068643.365000001200,10005943.229000002000
FS( 6 ),4920414.912000000500,5093034.952499999700,10013449.864500001000
FS( 7 ),4818149.448000000800,5019860.189999999500,9838009.638000000300
FS( 8 ),4767176.008000000400,5068643.365000001200,9835819.373000001500
FS( 9 ),4724485.752000000300,5166209.715000000800,9890695.467000000200
FS( 10 ),4648025.592000000200,5141818.127499999500,9789843.719499999700
FS( 11 ),4869122.888000000300,5190601.302500001200,10059724.190500002000
FS( 12 ),4860839.704000000800,5312559.240000001200,10173398.944000002000
FS( 13 ),4971388.352000000900,5385734.002499999500,10357122.354499999000
FS( 14 ),5124627.256000000100,5410125.590000000800,10534752.846000001000
FS( 15 ),5090538.768000000200,5385734.002499999500,10476272.770500001000
FS( 16 ),5141512.207999999600,5159937.592500000300,10301449.800500000000
FS( 17 ),5090538.768000000200,5082581.415000001000,10173120.183000002000
FS( 18 ),5226892.720000000700,5169694.227500001000,10396586.947500002000
FS( 19 ),5192804.232000000800,5149484.055000000600,10342288.287000000000
FS( 20 ),5388414.808000000200,5180147.764999999700,10568562.572999999000
FS( 21 ),5148521.055999999900,5180147.764999999700,10328668.820999999000
FS( 22 ),5496733.368000000700,5180147.764999999700,10676881.133000001000
FS( 23 ),5844627.095999999900,5169694.227500001000,11014321.323500000000
FS( 24 ),5659848.376000000200,5164815.910000001100,10824664.286000002000
FS( 25 ),5453087.360000000300,5180147.764999999700,10633235.125000000000
FS( 26 ),5181335.207999999600,5082581.415000001000,10263916.623000000000
FS( 27 ),5192167.064000000200,4908355.790000001000,10100522.854000002000
FS( 28 ),5279140.496000000300,4908355.790000001000,10187496.286000002000
FS( 29 ),5148521.055999999900,4964804.892500000100,10113325.948500000000
FS( 30 ),5116025.487999999900,4964804.892500000100,10080830.380500000000
FS( 31 ),4930928.184000000400,4969683.210000000900,9900611.394000001300
FS( 32 ),5213830.776000000500,5103488.490000001200,10317319.266000003000
FS( 33 ),5257476.784000000900,5077703.097500001100,10335179.881500002000
FS( 34 ),5387777.639999999700,5077703.097500001100,10465480.737500001000
FS( 35 ),5355282.071999999700,5082581.415000001000,10437863.487000000000
FS( 36 ),5018220.200000000200,5077703.097500001100,10095923.297500001000
FS( 37 ),5213830.776000000500,5134152.200000000200,10347982.976000000000
FS( 38 ),5355282.071999999700,5257503.942499999000,10612786.014500000000
FS( 39 ),5376945.784000000900,5257503.942499999000,10634449.726500001000
FS( 40 ),5496733.368000000700,5257503.942499999000,10754237.310500000000
FS( 41 ),5409759.936000000700,5231718.550000001700,10641478.486000001000
FS( 42 ),5583706.800000000700,5231718.550000001700,10815425.350000001000
FS( 43 ),5518397.080000000100,5180147.764999999700,10698544.844999999000
FS( 44 ),5431423.648000000000,5175269.447500000700,10606693.095500000000
FS( 45 ),5561724.504000000700,5180147.764999999700,10741872.269000001000
FS( 46 ),5529228.936000000700,5154362.372500002400,10683591.308500003000
FS( 47 ),5409759.936000000700,5118820.345000000700,10528580.281000001000
FS( 48 ),5224662.632000000200,5088156.635000000700,10312819.267000001000
FS( 49 ),5398609.496000000300,5205933.157500000700,10604542.653500002000
FS( 50 ),5463919.216000000000,5159937.592500000300,10623856.808499999000
FS( 51 ),5496733.368000000700,5180147.764999999700,10676881.133000001000
FS( 52 ),5279140.496000000300,5159937.592500000300,10439078.088500001000
FS( 53 ),5268308.639999999700,5169694.227500001000,10438002.867500000000
FS( 54 ),5463919.216000000000,5205933.157500000700,10669852.373500001000
FS( 55 ),5572874.944000000100,5205933.157500000700,10778808.101500001000
FS( 56 ),5627034.224000000400,5180147.764999999700,10807181.989000000000
FS( 57 ),5583706.800000000700,5169694.227500001000,10753401.027500002000
FS( 58 ),5583706.800000000700,5129273.882500000300,10712980.682500001000
FS( 59 ),5376945.784000000900,5103488.490000001200,10480434.274000002000
FS( 60 ),5126857.344000000500,5062371.242500000600,10189228.586500000000
FS( 61 ),4996237.904000001000,5103488.490000001200,10099726.394000001000
FS( 62 ),5213830.776000000500,5169694.227500001000,10383525.003500002000
FS( 63 ),5213830.776000000500,5205933.157500000700,10419763.933500001000
FS( 64 ),5213830.776000000500,5231718.550000001700,10445549.326000001000
FS( 65 ),5126857.344000000500,5257503.942499999000,10384361.286499999000
