代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11096295.850999998000
真實報酬,1096295.850999997900

夏普值報酬,0.100929585100
夏普值風險,0.033025009259
夏普值,3.056156148510

預期報酬,21645.553935636919
風險,79378.513809614436
起點值,0.272687820631
找到最佳解世代,3457
找到最佳解實驗#,1
找到最佳解次數,33

投資組合檔數,7
1216(2),1303(4),1326(5),2881(33),2912(41),3231(44),3673(47),
Stock#,1216(2),1303(4),1326(5),2881(33),2912(41),3231(44),3673(47),
張數,37,33,25,52,10,69,3,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,16121.123000000232,15810.681250000000,21318.518749999999,26736.227999999766,113399.547499999770,3072.555250000000,131595.439750000220,
FS( 1 ),1426561.122999999900,1426560.681249999900,1426568.518750000000,1426576.227999999900,1426699.547500000100,1426542.555250000000,1426725.439749999900,9986237.093499999500
FS( 2 ),1422898.465250000100,1404219.664750000000,1409896.750000000000,1425041.226999999500,1433830.669999999900,1420243.700500000000,1492018.810000000300,10008152.287500000000
FS( 3 ),1442053.328250000000,1404219.664750000000,1428563.781250000000,1431253.614999999500,1442492.172499999900,1409252.552499999800,1514299.778500000000,10072137.892749999000
FS( 4 ),1463786.730500000100,1415061.476500000100,1428563.781250000000,1435395.206999999700,1442492.172499999900,1395513.617499999900,1514299.778500000000,10095115.763750000000
FS( 5 ),1463786.730500000100,1428531.606250000000,1434537.231250000000,1435395.206999999700,1446773.145000000300,1411313.392749999900,1501755.533500000100,10122095.846250001000
FS( 6 ),1458629.652000000000,1436745.099999999900,1448973.068750000100,1422452.731999999600,1468476.680000000200,1407191.712250000100,1508714.602750000100,10151186.547750000000
FS( 7 ),1472259.073750000200,1439373.417999999800,1440759.575000000000,1422452.731999999600,1472757.652499999600,1384522.469499999900,1529621.677750000300,10161749.598500000000
FS( 8 ),1502096.456500000300,1477484.028999999900,1451213.112500000000,1447819.982999999500,1477138.182499999900,1386583.309750000000,1529621.677750000300,10271959.751000000000
FS( 9 ),1491413.936750000100,1548448.614999999800,1469631.250000000000,1458691.661999999800,1477138.182499999900,1411313.392749999900,1524036.502000000100,10380676.540999999000
FS( 10 ),1485888.495500000200,1523808.133749999800,1469631.250000000000,1449890.778999999600,1481419.154999999800,1389331.096750000000,1492018.810000000300,10291990.720000001000
FS( 11 ),1493992.475999999800,1537606.803249999900,1475853.593750000000,1447819.982999999500,1481419.154999999800,1355670.706000000200,1441871.697250000200,10234237.414249998000
FS( 12 ),1510568.799750000000,1540235.121249999900,1471622.400000000100,1451961.574999999700,1490080.657500000000,1328879.782749999800,1515673.672000000300,10309025.008250000000
FS( 13 ),1513147.339000000200,1540235.121249999900,1475853.593750000000,1481988.116999999900,1498742.159999999900,1343992.611249999800,1529621.677750000300,10383583.619999999000
