代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11057125.613750000000
真實報酬,1057125.613749999600

夏普值報酬,0.097012561375
夏普值風險,0.031721029959
夏普值,3.058304270102

預期報酬,18361.378224416676
風險,69874.160670100420
起點值,0.262777800096
找到最佳解世代,3330
找到最佳解實驗#,3
找到最佳解次數,36

投資組合檔數,9
2317(15),2324(16),2330(18),2382(21),2408(23),2887(37),2912(41),3481(44),5880(47),
Stock#,2317(15),2324(16),2330(18),2382(21),2408(23),2887(37),2912(41),3481(44),5880(47),
張數,12,61,6,18,25,100,5,91,81,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,82206.898000000001,15211.565499999768,29572.000000000000,35520.464500000002,14800.981250000001,2533.525000000000,26517.653749999768,6619.339000000233,10374.682750000000,
FS( 1 ),1109646.898000000000,1109551.565500000000,1109572.000000000000,1109580.464500000000,1109550.981250000000,1109533.524999999900,1109567.653750000100,1109539.338999999900,1109544.682749999900,9986088.109750000800
FS( 2 ),1112029.678000000100,1119284.328999999900,1104793.000000000000,1132245.884500000200,1111924.631249999900,1113595.224999999900,1111993.076249999900,1118248.516750000200,1112745.012999999800,10036860.353750000000
FS( 3 ),1102830.565000000200,1133252.246249999900,1093204.507000000200,1130453.849500000000,1130093.875000000000,1108617.349999999900,1107164.537499999600,1109188.784250000300,1112745.012999999800,10027551.727500001000
FS( 4 ),1115494.278999999900,1133252.246249999900,1090337.251000000200,1130453.849500000000,1141045.200000000000,1113595.224999999900,1107164.537499999600,1109188.784250000300,1112745.012999999800,10053277.385499999000
FS( 5 ),1122304.011999999900,1130823.043250000100,1101925.744000000200,1145865.350499999900,1142289.668750000000,1113595.224999999900,1111993.076249999900,1127308.249249999900,1115970.676000000000,10112076.044999998000
FS( 6 ),1124693.392000000200,1127786.539499999700,1110587.246500000100,1128841.017999999900,1142289.668750000000,1113595.224999999900,1111993.076249999900,1127308.249249999900,1112745.012999999800,10099840.428250000000
FS( 7 ),1108565.077000000000,1099243.404249999900,1096131.497500000300,1127048.982999999800,1141045.200000000000,1108617.349999999900,1107164.537499999600,1109188.784250000300,1112745.012999999800,10009750.846500000000
FS( 8 ),1115494.278999999900,1110782.118499999600,1090337.251000000200,1135650.750999999900,1089026.406250000000,1113595.224999999900,1102385.777499999900,1095599.185500000100,1108712.934249999900,9961584.927999999400
FS( 9 ),1116569.500000000000,1124750.035749999800,1107660.255999999800,1145865.350499999900,1094999.856250000000,1118573.099999999900,1143353.688750000200,1082009.586750000000,1115970.676000000000,10049753.050000001000
FS( 10 ),1116569.500000000000,1136288.749999999800,1104793.000000000000,1164681.717999999900,1107195.649999999900,1122555.399999999900,1169885.762499999700,1100129.051750000300,1115970.676000000000,10138070.508250002000
FS( 11 ),1117764.190000000200,1130823.043250000100,1107660.255999999800,1164681.717999999900,1091515.343750000000,1122555.399999999900,1172324.921249999900,1100129.051750000300,1120002.754750000100,10127457.678750001000
FS( 12 ),1126963.303000000100,1144790.960500000000,1127910.251500000000,1168086.584500000100,1115658.037499999900,1122555.399999999900,1201246.374999999800,1113718.650500000000,1123228.417750000000,10244158.980250001000
FS( 13 ),1132697.815000000200,1167868.388999999700,1136571.754000000000,1168086.584500000100,1137311.793750000000,1131515.575000000000,1194028.456249999800,1113718.650500000000,1123228.417750000000,10305028.435750000000
FS( 14 ),1131503.125000000200,1161795.381499999400,1136571.754000000000,1159664.019999999800,1156725.506249999900,1136493.450000000000,1208514.072499999800,1113718.650500000000,1120002.754750000100,10324989.714499999000
FS( 15 ),1133892.505000000100,1153293.170999999600,1156821.749499999900,1174896.317499999900,1160458.912499999900,1141471.325000000000,1230217.607499999900,1118248.516750000200,1123228.417750000000,10392529.522500001000
FS( 16 ),1133892.505000000100,1164831.885249999800,1148160.247000000000,1145865.350499999900,1155481.037499999900,1136493.450000000000,1210903.452499999900,1104658.917999999800,1123228.417750000000,10323516.263500001000
FS( 17 ),1131503.125000000200,1153293.170999999600,1148160.247000000000,1154467.118500000100,1163943.425000000000,1136493.450000000000,1208514.072499999800,1104658.917999999800,1123228.417750000000,10324262.944750000000
FS( 18 ),1123498.702000000000,1153293.170999999600,1142366.000500000100,1154467.118500000100,1197792.974999999900,1136493.450000000000,1218171.149999999400,1086539.453000000200,1123228.417750000000,10335851.437750001000
FS( 19 ),1122304.011999999900,1164831.885249999800,1145233.256500000100,1164681.717999999900,1163943.425000000000,1131515.575000000000,1213342.611249999800,1086539.453000000200,1123228.417750000000,10315621.353749998000
FS( 20 ),1130427.903999999600,1164831.885249999800,1153954.493499999900,1164681.717999999900,1168921.300000000000,1131515.575000000000,1222949.909999999900,1095599.185500000100,1134518.238249999700,10367401.209500000000
FS( 21 ),1133892.505000000100,1159366.178499999900,1136571.754000000000,1104827.749000000100,1166432.362500000000,1141471.325000000000,1225389.068749999600,1168077.045500000200,1145808.058750000100,10381837.047000000000
FS( 22 ),1132697.815000000200,1139325.253749999900,1136571.754000000000,1094613.149500000100,1193063.993749999900,1159391.674999999800,1227778.448749999700,1131838.115500000300,1142582.395749999900,10357863.600999998000
FS( 23 ),1128038.524000000200,1147827.464249999500,1122116.005000000100,1091208.282999999800,1185846.075000000000,1164369.549999999800,1232606.987499999800,1136367.981750000000,1138550.316999999800,10346932.187499998000
FS( 24 ),1208560.630000000100,1164831.885249999800,1145233.256500000100,1113429.517000000000,1173650.281250000000,1154413.799999999800,1278453.216249999800,1145427.714250000200,1149840.137499999700,10533841.437999999000
FS( 25 ),1200556.207000000200,1164831.885249999800,1136571.754000000000,1104827.749000000100,1189330.587499999900,1154413.799999999800,1263967.599999999600,1140897.848000000200,1153065.800499999900,10508464.231249999000
FS( 26 ),1186697.803000000100,1150863.967999999600,1133704.497999999900,1104827.749000000100,1176139.218750000000,1154413.799999999800,1271235.297499999900,1180760.671000000300,1157097.879250000200,10515741.884500001000
FS( 27 ),1191357.094000000000,1184872.810000000100,1127910.251500000000,1123644.116500000000,1167676.831250000000,1150431.500000000000,1263967.599999999600,1253238.531000000200,1157097.879250000200,10620197.613499999000
FS( 28 ),1195896.916000000000,1193375.020499999600,1133704.497999999900,1115042.348500000100,1160458.912499999900,1141471.325000000000,1280842.596249999700,1212469.734750000300,1164355.621000000000,10597617.972499998000
FS( 29 ),1200556.207000000200,1170904.892750000100,1133704.497999999900,1115042.348500000100,1143534.137500000000,1145453.625000000000,1271235.297499999900,1289477.461000000100,1157097.879250000200,10627007.346500002000
FS( 30 ),1214295.142000000200,1179407.103249999900,1136571.754000000000,1121852.081499999900,1174894.750000000000,1154413.799999999800,1259139.061249999800,1284947.594750000200,1164355.621000000000,10689877.907749999000
FS( 31 ),1193627.005000000100,1161795.381499999400,1122116.005000000100,1116834.383500000200,1165187.893750000000,1145453.625000000000,1256749.681249999400,1284947.594750000200,1145808.058750000100,10592520.628500000000
