代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11324790.047500001000
真實報酬,1324790.047500001300

夏普值報酬,0.123779004750
夏普值風險,0.040721467231
夏普值,3.039649923399

預期報酬,22934.139435228884
風險,114084.651241075250
起點值,0.201027387872
找到最佳解世代,5501
找到最佳解實驗#,6
找到最佳解次數,15

投資組合檔數,7
1326(5),2207(10),2317(16),2354(19),2881(30),2882(31),4938(45),
Stock#,1326(5),2207(10),2317(16),2354(19),2881(30),2882(31),4938(45),
張數,18,4,19,20,37,41,20,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,12836.449000000001,165774.075000000010,18664.742500000233,138.380000000233,7598.996250000000,5485.989500000000,13557.475000000000,
FS( 1 ),1426556.449000000000,1426774.075000000000,1426564.742499999900,1426538.379999999900,1426548.996250000100,1426545.989499999900,1426557.475000000100,9986089.107249999400
FS( 2 ),1428723.302500000000,1423105.653999999900,1415605.803750000000,1418434.525000000400,1413271.250249999800,1412502.269749999700,1432251.850000000100,9943897.655249999800
FS( 3 ),1428723.302500000000,1411556.983999999900,1399716.426750000100,1425602.665000000500,1407745.808999999900,1408420.412249999600,1415327.075000000200,9897095.674499999700
FS( 4 ),1430515.337500000100,1409605.656999999900,1407661.115250000300,1429385.850000000100,1411429.436500000100,1420257.798999999900,1405769.555000000200,9914627.750250000500
FS( 5 ),1423705.604500000100,1426968.485000000100,1414092.529750000000,1425602.665000000500,1436109.740750000300,1435768.857499999700,1381278.410000000100,9943529.292500000400
FS( 6 ),1430515.337500000100,1436605.651000000100,1439250.710000000000,1440337.175000000000,1478471.457000000200,1465158.231499999800,1405769.555000000200,10096111.116999999000
FS( 7 ),1437145.867000000100,1436605.651000000100,1437737.436000000000,1447704.430000000200,1478471.457000000200,1486792.076249999700,1415327.075000000200,10139786.992249999000
FS( 8 ),1435533.035500000000,1446242.817000000000,1439250.710000000000,1453080.535000000100,1490995.790500000100,1494547.605499999600,1405769.555000000200,10165423.048500000000
FS( 9 ),1447360.466499999900,1453968.479000000100,1431306.021500000300,1445713.280000000000,1474787.829500000200,1479036.547000000000,1369928.855000000200,10102104.478500001000
FS( 10 ),1452378.164500000000,1459742.814000000000,1379287.227750000100,1460447.790000000500,1480313.270750000100,1492914.862499999800,1475858.035000000100,10200945.164500002000
FS( 11 ),1452378.164500000000,1488694.135000000000,1394987.445500000100,1540890.250000000000,1473314.378500000100,1488833.004999999900,1498557.145000000000,10337657.523499999000
FS( 12 ),1447360.466499999900,1506056.963000000000,1379287.227750000100,1526155.740000000200,1476629.643250000400,1486792.076249999700,1504132.365000000000,10326417.481750000000
FS( 13 ),1435533.035500000000,1506056.963000000000,1360371.302750000300,1526155.740000000200,1480313.270750000100,1500670.391750000200,1526831.475000000100,10335935.178749999000
FS( 14 ),1433741.000500000100,1509879.970999999900,1371342.539250000100,1540890.250000000000,1485470.349249999700,1496588.534250000000,1523048.290000000000,10360963.934250001000
