代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10675268.047750000000
真實報酬,675268.047749999910

夏普值報酬,0.058826804775
夏普值風險,0.021231837324
夏普值,2.770688371280

預期報酬,12533.860911903581
風險,54731.297840878484
起點值,0.229007193441
找到最佳解世代,4514
找到最佳解實驗#,3
找到最佳解次數,9

投資組合檔數,9
2303(12),2317(15),2324(16),2357(20),2454(26),3045(43),3481(44),4904(45),5880(47),
Stock#,2303(12),2317(15),2324(16),2357(20),2454(26),3045(43),3481(44),4904(45),5880(47),
張數,101,13,63,4,5,11,78,16,84,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,8642.217500000001,57782.142249999997,5778.142000000000,98870.610000000001,123856.163750000120,43141.308749999997,8962.673500000001,16273.076000000001,4095.748000000000,
FS( 1 ),1109542.217500000000,1109612.142250000000,1109538.142000000000,1109670.610000000100,1109706.163750000100,1109591.308750000100,1109542.673500000000,1109553.075999999900,1109535.747999999900,9986293.081749999900
FS( 2 ),1114726.042500000000,1099910.229249999900,1104654.004000000000,1093967.733999999900,1117340.456250000300,1110019.390250000200,1085258.894499999900,1107741.859999999900,1107989.308000000000,9941608.918749999300
FS( 3 ),1119753.696250000300,1116088.323000000100,1110298.914249999900,1084609.329000000100,1141333.813750000200,1136083.543750000200,1081376.152000000000,1113794.956000000200,1123878.684999999800,10027218.413000001000
FS( 4 ),1124781.350000000100,1126054.028750000100,1113434.975499999900,1095839.415000000000,1170105.931250000100,1130826.907750000000,1054196.954500000000,1110768.407999999800,1135586.646999999900,10061595.617750000000
FS( 5 ),1119753.696250000300,1147279.687750000300,1110298.914249999900,1080865.967000000200,1148551.732500000200,1125679.785000000100,1015369.529500000200,1113794.956000000200,1138931.779000000100,10000527.047250003000
FS( 6 ),1124781.350000000100,1164622.604250000100,1104654.004000000000,1090224.372000000000,1155719.872500000100,1136083.543750000200,1038665.984500000000,1115387.876000000200,1138931.779000000100,10069072.386000000000
FS( 7 ),1133831.126750000100,1167211.099250000000,1113434.975499999900,1095839.415000000000,1158109.252500000200,1136083.543750000200,1012263.335500000000,1109334.779999999800,1143113.193999999900,10069221.722250000000
FS( 8 ),1143886.434249999900,1177176.804999999900,1125352.008250000400,1114556.225000000100,1165327.171249999900,1136083.543750000200,961787.682999999960,1106308.232000000300,1143113.193999999900,10073592.296500001000
FS( 9 ),1143886.434249999900,1178341.627750000000,1125352.008250000400,1129489.850000000100,1165327.171249999900,1151634.425250000100,957904.940500000140,1115387.876000000200,1147294.608999999700,10114619.942250000000
FS( 10 ),1148914.088000000000,1189601.581000000200,1137269.041000000000,1146334.979000000100,1162937.791250000200,1146487.302500000000,973435.910500000000,1109334.779999999800,1158166.287999999700,10172482.761250000000
FS( 11 ),1153941.741750000000,1190766.403750000100,1149186.073750000000,1123874.807000000000,1165327.171249999900,1151634.425250000100,977318.653000000170,1115387.876000000200,1158166.287999999700,10185604.439750001000
FS( 12 ),1148914.088000000000,1178341.627750000000,1139777.889999999900,1127618.169000000000,1203706.587500000100,1151634.425250000100,965670.425500000010,1122874.600000000100,1154821.156000000000,10193359.969000001000
FS( 13 ),1148914.088000000000,1177176.804999999900,1130996.918500000100,1129489.850000000100,1201317.207500000000,1162038.184000000100,961787.682999999960,1131954.243999999900,1158166.287999999700,10201842.267999999000
FS( 14 ),1148914.088000000000,1179635.875250000300,1130996.918500000100,1125746.488000000100,1201317.207500000000,1156891.061250000000,950139.455499999920,1136573.711999999800,1150639.740999999900,10180855.547000000000
FS( 15 ),1148914.088000000000,1184554.015750000000,1142913.951249999700,1123874.807000000000,1206145.746250000100,1167294.820000000100,965670.425500000010,1128927.696000000000,1150639.740999999900,10218936.290750001000
FS( 16 ),1129809.003750000100,1184554.015750000000,1146050.012500000000,1125746.488000000100,1206145.746250000100,1156891.061250000000,973435.910500000000,1130520.615999999900,1154821.156000000000,10207975.010000000000
FS( 17 ),1148914.088000000000,1182094.945500000100,1139777.889999999900,1142591.617000000100,1201317.207500000000,1167294.820000000100,961787.682999999960,1138007.340000000300,1143113.193999999900,10224899.785000000000
FS( 18 ),1245445.040000000300,1172129.239750000200,1142913.951249999700,1136976.574000000000,1198927.827500000100,1167294.820000000100,973435.910500000000,1138007.340000000300,1138931.779000000100,10314063.482000001000
FS( 19 ),1212262.525250000200,1165916.851750000100,1130996.918500000100,1125746.488000000100,1203706.587500000100,1167294.820000000100,950139.455499999920,1139600.260000000200,1138931.779000000100,10234596.685500003000
FS( 20 ),1202207.217749999800,1173423.487250000200,1146050.012500000000,1140719.936000000000,1196538.447500000000,1167294.820000000100,961787.682999999960,1138007.340000000300,1147294.608999999700,10273324.552999999000
FS( 21 ),1188129.787250000100,1163457.781500000300,1160475.894249999900,1142591.617000000100,1177323.850000000100,1172441.942750000400,954022.197999999970,1138007.340000000300,1147294.608999999700,10243746.019749999000
FS( 22 ),1183102.133500000000,1177176.804999999900,1160475.894249999900,1135104.892999999900,1170105.931250000100,1167294.820000000100,954022.197999999970,1153299.372000000000,1147294.608999999700,10247877.655999999000
FS( 23 ),1216284.648250000100,1184554.015750000000,1157967.045250000200,1138848.254999999900,1170105.931250000100,1177698.578750000100,969553.167999999950,1154733.000000000000,1150639.740999999900,10320385.383250002000
FS( 24 ),1197179.564000000000,1187142.510750000100,1154830.983999999900,1133233.212000000100,1189320.528750000100,1172441.942750000400,969553.167999999950,1153299.372000000000,1147294.608999999700,10304296.891249999000
FS( 25 ),1183102.133500000000,1169670.169500000100,1125352.008250000400,1138848.254999999900,1170105.931250000100,1172441.942750000400,954022.197999999970,1141033.887999999800,1147294.608999999700,10201872.135250000000
FS( 26 ),1183102.133500000000,1177176.804999999900,1137269.041000000000,1142591.617000000100,1189320.528750000100,1177698.578750000100,942373.970499999940,1145653.356000000100,1143113.193999999900,10238300.224500000000
FS( 27 ),1192151.910250000000,1178341.627750000000,1151694.922749999900,1146334.979000000100,1191709.908750000200,1182845.701500000000,930725.743000000020,1145653.356000000100,1150639.740999999900,10270098.890000001000
FS( 28 ),1192151.910250000000,1178341.627750000000,1163611.955500000200,1174410.194000000100,1194149.067500000100,1182845.701500000000,946256.712999999990,1151706.452000000000,1150639.740999999900,10334114.362499999000
FS( 29 ),1197179.564000000000,1179635.875250000300,1157967.045250000200,1170666.832000000200,1186931.148750000200,1188102.337500000100,946256.712999999990,1139600.260000000200,1154821.156000000000,10321161.931750000000
FS( 30 ),1212262.525250000200,1189601.581000000200,1172392.927000000400,1176281.875000000000,1201317.207500000000,1182845.701500000000,957904.940500000140,1151706.452000000000,1158166.287999999700,10402480.497749999000
FS( 31 ),1212262.525250000200,1195813.969000000300,1196226.992499999900,1172538.513000000000,1206145.746250000100,1188102.337500000100,957904.940500000140,1153299.372000000000,1158166.287999999700,10440461.684000000000
FS( 32 ),1202207.217749999800,1194519.721500000000,1189954.869999999600,1161308.427000000100,1208535.126250000000,1203653.219000000000,957904.940500000140,1148679.904000000100,1154821.156000000000,10421585.581999999000
FS( 33 ),1202207.217749999800,1197108.216500000100,1181173.898499999900,1179985.414000000100,1227699.945000000100,1208909.855000000000,961787.682999999960,1160786.095999999900,1158166.287999999700,10477825.613750000000
FS( 34 ),1192151.910250000000,1197108.216500000100,1193090.931249999900,1185600.457000000200,1215703.266249999900,1203653.219000000000,950139.455499999920,1153299.372000000000,1158166.287999999700,10448914.115750000000
FS( 35 ),1212262.525250000200,1194519.721500000000,1181173.898499999900,1187472.138000000000,1198927.827500000100,1203653.219000000000,950139.455499999920,1156325.919999999900,1158166.287999999700,10442641.993250001000
FS( 36 ),1197179.564000000000,1185848.263250000100,1181173.898499999900,1189343.819000000100,1194149.067500000100,1208909.855000000000,934608.485499999950,1156325.919999999900,1158166.287999999700,10405706.160750002000
FS( 37 ),1197179.564000000000,1184554.015750000000,1193090.931249999900,1208060.629000000000,1198927.827500000100,1224570.249749999700,934608.485499999950,1156325.919999999900,1158166.287999999700,10455484.910749998000
FS( 38 ),1183102.133500000000,1193354.898749999900,1193090.931249999900,1209932.310000000100,1194149.067500000100,1203653.219000000000,942373.970499999940,1163812.643999999900,1169874.250000000000,10453344.424500000000
FS( 39 ),1183102.133500000000,1197108.216500000100,1187446.020999999900,1209932.310000000100,1174934.470000000000,1203653.219000000000,1004497.850500000100,1153299.372000000000,1181582.212000000100,10495556.804499999000
FS( 40 ),1192151.910250000000,1195813.969000000300,1166748.016750000200,1211803.991000000200,1172545.090000000100,1203653.219000000000,973435.910500000000,1154733.000000000000,1178237.079999999800,10449123.186500000000
FS( 41 ),1192151.910250000000,1190766.403750000100,1175528.988249999700,1221162.395999999900,1155719.872500000100,1203653.219000000000,977318.653000000170,1145653.356000000100,1174055.665000000000,10436011.463750001000
FS( 42 ),1197179.564000000000,1277998.685250000100,1193090.931249999900,1245454.426000000000,1179713.230000000400,1219313.613750000000,985084.138000000040,1156325.919999999900,1185763.626999999900,10639925.135250000000
FS( 43 ),1192151.910250000000,1269327.227000000000,1193090.931249999900,1217419.034000000000,1165327.171249999900,1224570.249749999700,981201.395499999980,1159352.467999999900,1189108.758999999800,10591550.145999998000
FS( 44 ),1188129.787250000100,1254313.956000000200,1178665.049500000000,1217419.034000000000,1162937.791250000200,1229717.372500000100,1015369.529500000200,1163812.643999999900,1193290.173999999900,10603656.338000001000
FS( 45 ),1188129.787250000100,1259361.521250000000,1213788.935500000100,1204317.267000000000,1165327.171249999900,1219313.613750000000,1077493.409499999800,1163812.643999999900,1193290.173999999900,10684835.523500001000
FS( 46 ),1188129.787250000100,1264279.661750000000,1222569.906999999700,1178153.556000000100,1141333.813750000200,1229717.372500000100,1042548.727000000100,1169865.740000000200,1200816.720999999900,10637416.286249999000
FS( 47 ),1173046.826000000100,1269327.227000000000,1199363.053750000000,1194958.862000000200,1150941.112500000300,1219313.613750000000,1108555.349500000000,1166839.191999999800,1193290.173999999900,10675636.410500001000
