代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11675037.175250001000
真實報酬,1675037.175250001300

夏普值報酬,0.158803717525
夏普值風險,0.041644356975
夏普值,3.813331002353

預期報酬,24641.628047259615
風險,63934.985519363014
起點值,0.385416964547
找到最佳解世代,3745
找到最佳解實驗#,22
找到最佳解次數,1

投資組合檔數,6
1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
Stock#,1102(1),2317(16),2324(17),2884(33),2887(36),3008(41),
張數,53,28,96,144,165,1,
FS( 11 ),1704419.357499999900,1681475.137000000100,1714312.287999999900,1728642.952000000000,1670126.132500000100,1771281.071750000100,10270260.938750001000
FS( 12 ),1710751.214500000000,1689001.683999999900,1699020.256000000100,1728642.952000000000,1663555.337500000400,1771281.071750000100,10262256.515750000000
FS( 13 ),1712861.833500000200,1690953.010999999900,1649321.152000000200,1751581.000000000200,1670126.132500000100,1771281.071750000100,10246128.200750001000
FS( 14 ),1717610.726249999800,1689001.683999999900,1676082.207999999900,1742979.232000000100,1656984.542500000000,1780679.299750000000,10263341.692499999000
FS( 15 ),1717610.726249999800,1687050.356999999600,1702843.264000000000,1732943.836000000100,1656984.542500000000,1879370.649500000100,10376807.375249999000
FS( 16 ),1741355.190000000200,1702103.450999999900,1729604.320000000100,1737244.720000000000,1652056.446250000300,1855875.079500000000,10418243.206750002000
FS( 17 ),1741355.190000000200,1702103.450999999900,1737250.335999999900,1724342.068000000200,1640557.555000000200,1916963.561500000100,10462576.161499999000
FS( 18 ),1710751.214500000000,1672276.024000000000,1687551.231999999800,1710005.788000000200,1652056.446250000300,2029752.253249999800,10462396.958000001000
FS( 19 ),1698087.500500000100,1661125.583999999800,1649321.152000000200,1718607.556000000300,1663555.337500000400,2137831.875250000000,10528533.005250001000
FS( 20 ),1719721.345250000200,1687050.356999999600,1649321.152000000200,1732943.836000000100,1670126.132500000100,2090840.735250000100,10550007.558000000000
FS( 21 ),1719721.345250000200,1664749.477000000000,1645498.143999999600,1699970.392000000200,1645485.651250000300,2039150.481250000200,10414579.490750000000
FS( 22 ),1732385.059250000200,1705727.343999999800,1664613.184000000100,1724342.068000000200,1663555.337500000400,2109637.191250000100,10600264.184000000000
FS( 23 ),1706529.976500000300,1703776.017000000000,1672259.199999999700,1724342.068000000200,1670126.132500000100,2128433.647250000400,10605471.041250000000
FS( 24 ),1710751.214500000000,1709351.237000000200,1676082.207999999900,1732943.836000000100,1693123.915000000300,2147230.103249999700,10669486.513750002000
FS( 25 ),1693338.607750000200,1705727.343999999800,1656967.167999999800,1714306.672000000300,1693123.915000000300,2104938.077250000100,10568405.784000000000
FS( 26 ),1698087.500500000100,1711302.563999999800,1706666.271999999900,1728642.952000000000,1699694.710000000200,2086141.621250000100,10630539.619750001000
FS( 27 ),1704419.357499999900,1716877.783999999800,1744896.352000000200,1728642.952000000000,1688195.818750000600,2081442.507249999800,10664478.771499999000
FS( 28 ),1698087.500500000100,1685099.029999999800,1782170.679999999700,1718607.556000000300,1693123.915000000300,2090840.735250000100,10667933.416750001000
FS( 29 ),1723942.583250000100,1689001.683999999900,1687551.231999999800,1714306.672000000300,1706265.505000000100,2057946.937250000000,10579018.613500001000
FS( 30 ),1739244.571000000200,1694576.904000000100,1752542.368000000000,1732943.836000000100,1699694.710000000200,2053247.823250000100,10672254.212250000000
FS( 31 ),1719721.345250000200,1702103.450999999900,1748719.359999999900,1755881.884000000300,1729263.287500000600,2081442.507249999800,10737135.835000001000
FS( 32 ),1745576.428000000100,1705727.343999999800,1756365.375999999700,1774519.048000000200,1735834.082500000000,2067345.165249999800,10785371.443750000000
