代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11333510.100000001490116
真實報酬,1333510.100000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20850.406938003081450
風險,105370.206844130472746
起點值,0.197877631281926
找到最佳解世代,1729
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
DD[7](5),MRK[17](1),UTX[24](2),
Stock#,DD[7](5),MRK[17](1),UTX[24](2),
張數,60092,73697,31004,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,29.760000000242144,17.690000000409782,92.959999999962747,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3286461.240000000223517,3369444.530000000260770,3347904.879999999888241,10003811.650000000372529
FS( 3 ),3313502.640000000130385,3342913.610000000335276,3338603.680000000167638,9995020.929999999701977
FS( 4 ),3359773.479999999981374,3387131.810000000521541,3369297.640000000130385,10116203.930000001564622
FS( 5 ),3309296.200000000186265,3376814.230000000447035,3325892.040000000037253,10012003.470000000670552
FS( 6 ),3394626.840000000316650,3449037.290000000037253,3365577.159999999683350,10209242.290000000968575
FS( 7 ),3394025.919999999925494,3463776.690000000409782,3351005.279999999795109,10208808.890000000596046
FS( 8 ),3366383.600000000558794,3507257.920000000856817,3331472.760000000242144,10205115.280000001192093
FS( 9 ),3388617.640000000130385,3488833.670000000856817,3331782.799999999813735,10209235.109999999403954
FS( 10 ),3431883.880000000353903,3524208.230000000447035,3369917.719999999739230,10326010.830000001937151
FS( 11 ),3442700.440000000409782,3542632.480000000447035,3366817.320000000298023,10352151.240000002086163
FS( 12 ),3412053.520000000484288,3538210.660000000149012,3383559.479999999981374,10333824.660000000149012
FS( 13 ),3397631.440000000409782,3542632.480000000447035,3382629.359999999869615,10322894.280000001192093
FS( 14 ),3359773.479999999981374,3547054.300000000745058,3374258.279999999795109,10281087.060000000521541
FS( 15 ),3391622.240000000223517,3583165.830000000074506,3403402.040000000037253,10378191.109999999403954
FS( 16 ),3394025.919999999925494,3606748.870000000111759,3416733.760000000242144,10417509.550000000745058
FS( 17 ),3338140.359999999869615,3659810.709999999962747,3420144.200000000186265,10418096.269999999552965
FS( 18 ),3319511.840000000316650,3653914.950000000186265,3439676.719999999739230,10413104.510000001639128
FS( 19 ),3345952.320000000298023,3672339.200000000186265,3457349.000000000000000,10475641.519999999552965
FS( 20 ),3342947.720000000204891,3672339.200000000186265,3437196.399999999906868,10452484.320000000298023
FS( 21 ),3421668.240000000223517,3698133.150000000372529,3420144.200000000186265,10539946.589999999850988
FS( 22 ),3313502.640000000130385,3667180.410000000149012,3400921.719999999739230,10381605.769999999552965
FS( 23 ),3327924.720000000204891,3634016.760000000707805,3377668.719999999739230,10339611.199999999254942
FS( 24 ),3303887.919999999925494,3597168.260000000707805,3381079.159999999683350,10282136.339999999850988
FS( 25 ),3360374.400000000372529,3639912.520000000484288,3445257.439999999944121,10445545.360000001266599
FS( 26 ),3491374.960000000428408,3652441.010000000707805,3447117.680000000167638,10590934.650000000372529
FS( 27 ),3575503.760000000242144,3642860.400000000372529,3440916.879999999888241,10659282.039999999105930
FS( 28 ),3513008.080000000074506,3607485.840000000782311,3368987.599999999627471,10489482.519999999552965
FS( 29 ),3488370.359999999869615,3561056.730000000447035,3351315.320000000298023,10400743.410000000149012
FS( 30 ),3553269.720000000204891,3565478.550000000745058,3328372.359999999869615,10447121.630000000819564
FS( 31 ),3559879.840000000316650,3544106.420000000856817,3364957.080000000074506,10468944.340000001713634
FS( 32 ),3611558.960000000428408,3530103.990000000223517,3336743.439999999944121,10478407.390000000596046
FS( 33 ),3723330.080000000074506,3603800.990000000223517,3404642.200000000186265,10731774.269999999552965
FS( 34 ),3756981.600000000558794,3595694.320000000298023,3395030.959999999962747,10747707.880000000819564
FS( 35 ),3746765.960000000428408,3634753.730000000447035,3430995.599999999627471,10812516.290000000968575
FS( 36 ),3755178.840000000316650,3637701.610000000335276,3435956.239999999757856,10828837.690000001341105
FS( 37 ),3801449.680000000167638,3641386.459999999962747,3456108.839999999850988,10898945.980000000447035
FS( 38 ),3838706.720000000204891,3664232.530000000260770,3493933.719999999739230,10996873.969999998807907
FS( 39 ),3816472.680000000167638,3669391.320000000298023,3497344.159999999683350,10983209.160000000149012
FS( 40 ),3816472.680000000167638,3680445.870000000111759,3495173.879999999888241,10992093.429999999701977
FS( 41 ),3799646.919999999925494,3688552.540000000037253,3528348.159999999683350,11016548.619999999180436
FS( 42 ),3753977.000000000000000,3647282.220000000670552,3487732.919999999925494,10888993.140000000596046
FS( 43 ),3737151.240000000223517,3664969.500000000000000,3500444.560000000055879,10902566.300000000745058
FS( 44 ),3730541.120000000111759,3665706.470000000670552,3497034.120000000111759,10893282.710000000894070
FS( 45 ),3689077.640000000130385,3692974.360000000335276,3519357.000000000000000,10901410.000000000000000
FS( 46 ),3693284.080000000074506,3669391.320000000298023,3523697.560000000055879,10886373.960000000894070
FS( 47 ),3645811.400000000372529,3649493.130000000819564,3525557.799999999813735,10820863.330000001937151
FS( 48 ),3654825.200000000186265,3676024.050000000745058,3529278.279999999795109,10860128.530000001192093
FS( 49 ),3585118.479999999981374,3914802.330000000074506,3497344.159999999683350,10997265.970000000670552
FS( 50 ),3650017.840000000316650,3905958.690000000409782,3492073.479999999981374,11048051.010000001639128
FS( 51 ),3684270.280000000260770,3870584.130000000819564,3536719.239999999757856,11091574.650000000372529
FS( 52 ),3687274.880000000353903,3869110.190000000409782,3541369.839999999850988,11097755.910000000149012
FS( 53 ),3686073.040000000502914,3828576.840000000782311,3541059.799999999813735,11055710.679999999701977
FS( 54 ),3930647.479999999981374,3819733.200000000186265,3565242.919999999925494,11315624.599999999627471
FS( 55 ),3909014.359999999869615,3784358.640000000596046,3600277.439999999944121,11293651.439999999478459
FS( 56 ),3827289.240000000223517,3802782.890000000596046,3560592.320000000298023,11190665.450000001117587
FS( 57 ),3714917.200000000186265,3830787.750000000000000,3466340.159999999683350,11012046.109999999403954
FS( 58 ),3688476.720000000204891,3871321.100000000558794,3528038.120000000111759,11087836.940000001341105
FS( 59 ),3684871.200000000186265,3896378.080000000074506,3530208.399999999906868,11111458.679999999701977
FS( 60 ),3827890.160000000614673,3847738.060000000521541,3511916.040000000037253,11187545.260000001639128
FS( 61 ),3877766.520000000484288,3943544.160000000149012,3555631.680000000167638,11376943.360000001266599
FS( 62 ),3894592.280000000260770,3903747.780000000260770,3535169.040000000037253,11333510.100000001490116
