代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10841882.539999999105930
真實報酬,841882.539999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15982.039053108212102
風險,88916.681015926631517
起點值,0.179741741037832
找到最佳解世代,2339
找到最佳解實驗#,1
找到最佳解次數,28

stock[index](rank)
投資組合檔數,2
KO[14](2),MCD[15](1),
Stock#,KO[14](2),MCD[15](1),
張數,102901,25750,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,40.409999999217689,122.500000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4979419.799999998882413,5011330.000000000000000,9990749.799999998882413
FS( 3 ),5013377.129999998956919,5086262.500000000000000,10099639.629999998956919
FS( 4 ),4987651.879999998956919,5121797.500000000000000,10109449.379999998956919
FS( 5 ),4939288.409999999217689,5099652.500000000000000,10038940.910000000149012
FS( 6 ),4923853.259999999776483,5099395.000000000000000,10023248.259999999776483
FS( 7 ),4877547.809999998658895,5091670.000000000000000,9969217.809999998658895
FS( 8 ),4958839.599999998696148,5149865.000000000000000,10108704.599999997764826
FS( 9 ),4944433.459999999031425,5125145.000000000000000,10069578.459999999031425
FS( 10 ),5010290.099999998696148,5098880.000000000000000,10109170.099999997764826
FS( 11 ),5060711.589999998919666,5126175.000000000000000,10186886.589999999850988
FS( 12 ),5101871.989999999292195,5149865.000000000000000,10251736.989999998360872
FS( 13 ),5062769.609999999403954,5130037.500000000000000,10192807.109999999403954
FS( 14 ),5026754.259999999776483,5124115.000000000000000,10150869.259999999776483
FS( 15 ),5001029.009999999776483,5146002.500000000000000,10147031.509999999776483
FS( 16 ),5109075.059999998658895,5149092.500000000000000,10258167.559999998658895
FS( 17 ),5129655.259999999776483,5123600.000000000000000,10253255.259999999776483
FS( 18 ),5104959.019999999552965,5092700.000000000000000,10197659.019999999552965
FS( 19 ),5052479.509999999776483,5064375.000000000000000,10116854.509999999776483
FS( 20 ),5002058.019999999552965,5047637.500000000000000,10049695.519999999552965
FS( 21 ),5067914.659999999217689,5130552.500000000000000,10198467.160000000149012
FS( 22 ),5055566.539999999105930,5105575.000000000000000,10161141.539999999105930
FS( 23 ),5143032.389999998733401,5118707.500000000000000,10261739.889999998733401
FS( 24 ),5145090.409999999217689,5140595.000000000000000,10285685.410000000149012
FS( 25 ),5225353.189999999478459,5153470.000000000000000,10378823.189999999478459
FS( 26 ),5289151.809999998658895,5228660.000000000000000,10517811.809999998658895
FS( 27 ),5298412.899999999441206,5291232.500000000000000,10589645.399999998509884
FS( 28 ),5287093.789999999105930,5183597.500000000000000,10470691.289999999105930
FS( 29 ),5281948.739999999292195,5234067.500000000000000,10516016.239999998360872
FS( 30 ),5313848.049999998882413,5277070.000000000000000,10590918.049999998882413
FS( 31 ),5261368.539999999105930,5265740.000000000000000,10527108.539999999105930
FS( 32 ),5279890.719999999739230,5286340.000000000000000,10566230.719999998807907
FS( 33 ),5234614.279999999329448,5248230.000000000000000,10482844.279999999329448
FS( 34 ),5210947.049999998882413,5266255.000000000000000,10477202.049999998882413
FS( 35 ),5260339.529999999329448,5267285.000000000000000,10527624.529999999329448
FS( 36 ),5315906.069999998435378,5281962.500000000000000,10597868.569999998435378
FS( 37 ),5304586.959999999031425,5259817.500000000000000,10564404.459999999031425
FS( 38 ),5342660.329999999143183,5251062.500000000000000,10593722.829999998211861
FS( 39 ),5326196.169999998994172,5297155.000000000000000,10623351.169999998062849
FS( 40 ),5260339.529999999329448,5267285.000000000000000,10527624.529999999329448
FS( 41 ),5256223.489999999292195,5311575.000000000000000,10567798.489999998360872
FS( 42 ),5239759.329999999143183,5347367.500000000000000,10587126.829999998211861
FS( 43 ),5309732.009999999776483,5312347.500000000000000,10622079.509999999776483
FS( 44 ),5348834.389999998733401,5396807.500000000000000,10745641.889999998733401
FS( 45 ),5361182.509999999776483,5479980.000000000000000,10841162.509999999776483
FS( 46 ),5362211.519999999552965,5439552.500000000000000,10801764.019999999552965
FS( 47 ),5350892.409999999217689,5463242.500000000000000,10814134.910000000149012
FS( 48 ),5308703.000000000000000,5461440.000000000000000,10770143.000000000000000
FS( 49 ),5332370.229999999515712,5484872.500000000000000,10817242.730000000447035
FS( 50 ),5355008.449999999254942,5476890.000000000000000,10831898.449999999254942
FS( 51 ),5363240.529999999329448,5484615.000000000000000,10847855.529999999329448
FS( 52 ),5364269.539999999105930,5516030.000000000000000,10880299.539999999105930
FS( 53 ),5365298.549999998882413,5503412.500000000000000,10868711.049999998882413
FS( 54 ),5369414.589999998919666,5503155.000000000000000,10872569.589999999850988
FS( 55 ),5353979.439999999478459,5559805.000000000000000,10913784.439999999478459
FS( 56 ),5288122.799999998882413,5507275.000000000000000,10795397.799999998882413
FS( 57 ),5270629.629999998956919,5536372.500000000000000,10807002.129999998956919
FS( 58 ),5590651.739999999292195,5518605.000000000000000,11109256.739999998360872
FS( 59 ),5534056.189999999478459,5479207.500000000000000,11013263.689999999478459
FS( 60 ),5460996.479999999515712,5521952.500000000000000,10982948.980000000447035
FS( 61 ),5574187.579999999143183,5551307.500000000000000,11125495.079999998211861
FS( 62 ),5555665.399999999441206,5535857.500000000000000,11091522.899999998509884
FS( 63 ),5527882.129999998956919,5467877.500000000000000,10995759.629999998956919
FS( 64 ),5415720.039999999105930,5426162.500000000000000,10841882.539999999105930
