代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10861430.620000001043081
真實報酬,861430.620000001043081

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14835.095290362261949
風險,88450.653245791021618
起點值,0.167721715396920
找到最佳解世代,1984
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](8),GS[8](5),JPM[13](2),NKE[19](1),
Stock#,DIS[6](8),GS[8](5),JPM[13](2),NKE[19](1),
張數,22620,12656,39301,49613,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,37.600000000093132,60.319999999832362,63.390000000130385,0.930000000167638,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2511536.200000000186265,2522401.120000000111759,2543624.109999999869615,2501488.390000000130385,10079049.820000000298023
FS( 3 ),2506559.800000000279397,2496962.559999999590218,2531047.790000000502914,2491069.660000000149012,10025639.810000000521541
FS( 4 ),2481904.000000000000000,2483800.319999999832362,2512183.310000000055879,2486108.360000000335276,9963995.990000002086163
FS( 5 ),2471498.800000000279397,2498228.159999999683350,2534977.890000000130385,2516868.419999999925494,10021573.269999999552965
FS( 6 ),2490725.800000000279397,2537588.319999999832362,2573885.879999999888241,2541178.790000000037253,10143378.789999999105930
FS( 7 ),2456569.600000000093132,2553155.199999999720603,2572313.840000000316650,2550109.129999999888241,10132147.769999999552965
FS( 8 ),2471046.399999999906868,2537968.000000000000000,2568776.750000000000000,2539690.399999999906868,10117481.550000000745058
FS( 9 ),2469915.399999999906868,2549358.399999999906868,2575064.910000000149012,2534232.970000000204891,10128571.679999999701977
FS( 10 ),2486654.200000000186265,2564419.040000000037253,2595894.439999999944121,2565985.290000000037253,10212952.969999998807907
FS( 11 ),2495023.600000000093132,2568848.639999999664724,2589213.270000000018626,2604187.300000000279397,10257272.810000000521541
FS( 12 ),2495702.200000000186265,2590237.279999999795109,2610435.810000000055879,2598729.870000000111759,10295105.160000000149012
FS( 13 ),2500904.800000000279397,2599602.719999999739230,2633623.400000000372529,2595753.090000000316650,10329884.009999999776483
FS( 14 ),2492761.600000000093132,2595552.799999999813735,2612793.870000000111759,2595256.960000000428408,10296365.230000000447035
FS( 15 ),2497059.399999999906868,2593907.519999999552965,2619475.040000000502914,2589799.530000000260770,10300241.490000002086163
FS( 16 ),2494118.800000000279397,2629977.120000000111759,2612400.859999999869615,2590791.790000000037253,10327288.570000000298023
FS( 17 ),2475570.399999999906868,2612005.599999999627471,2583318.120000000111759,2565489.160000000149012,10236383.280000001192093
FS( 18 ),2496607.000000000000000,2645923.679999999701977,2612400.859999999869615,2551101.390000000130385,10306032.929999999701977
FS( 19 ),2500226.200000000186265,2638583.199999999720603,2601789.590000000316650,2537705.879999999888241,10278304.870000001043081
FS( 20 ),2496607.000000000000000,2609600.959999999962747,2585283.170000000391155,2522325.850000000558794,10213816.980000000447035
FS( 21 ),2509952.799999999813735,2630103.679999999701977,2597073.470000000204891,2524310.370000000111759,10261440.320000000298023
FS( 22 ),2505202.600000000093132,2612638.399999999906868,2594715.410000000149012,2533240.710000000428408,10245797.120000001043081
FS( 23 ),2514703.000000000000000,2636178.559999999590218,2621440.090000000316650,2543163.310000000055879,10315484.960000000894070
FS( 24 ),2495023.600000000093132,2643519.040000000037253,2606898.720000000204891,2529271.669999999925494,10274713.030000001192093
