代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10754117.800000000745058
真實報酬,754117.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15438.893213215558717
風險,82810.940588055949775
起點值,0.186435428743848
找到最佳解世代,2059
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
KO[14](1),PG[21](5),TRV[22](4),V[25](2),
Stock#,KO[14](1),PG[21](5),TRV[22](4),V[25](2),
張數,55090,25396,18792,16725,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,15.799999999813735,17.760000000242144,100.239999999757856,114.250000000000000,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2514874.299999999813735,2510920.280000000260770,2483463.040000000037253,2474745.250000000000000,9984002.870000001043081
FS( 3 ),2512119.799999999813735,2516507.400000000372529,2493610.719999999739230,2474578.000000000000000,9996815.919999999925494
FS( 4 ),2503856.299999999813735,2512444.040000000502914,2476885.839999999850988,2472236.500000000000000,9965422.679999999701977
FS( 5 ),2494491.000000000000000,2502793.560000000055879,2471060.319999999832362,2455846.000000000000000,9924190.880000000819564
FS( 6 ),2470251.399999999906868,2499238.120000000111759,2462228.080000000074506,2464543.000000000000000,9896260.599999999627471
FS( 7 ),2544072.000000000000000,2528951.440000000409782,2478201.279999999795109,2520070.000000000000000,10071294.720000000670552
FS( 8 ),2536910.299999999813735,2540887.560000000055879,2494174.479999999515712,2537798.500000000000000,10109770.839999999850988
FS( 9 ),2546275.599999999627471,2569585.040000000502914,2499436.239999999757856,2550175.000000000000000,10165471.880000000819564
FS( 10 ),2517628.799999999813735,2573140.479999999981374,2500563.759999999776483,2579109.250000000000000,10170442.289999999105930
FS( 11 ),2495592.799999999813735,2601584.000000000000000,2521610.799999999813735,2600182.750000000000000,10218970.349999999627471
FS( 12 ),2501652.699999999720603,2577965.720000000204891,2535892.719999999739230,2591820.250000000000000,10207331.390000000596046
FS( 13 ),2509916.199999999720603,2587870.160000000614673,2498120.799999999813735,2585632.000000000000000,10181539.160000000149012
FS( 14 ),2508263.500000000000000,2583298.880000000353903,2468053.600000000093132,2571583.000000000000000,10131198.980000000447035
FS( 15 ),2507161.699999999720603,2602853.800000000279397,2525181.279999999795109,2605869.250000000000000,10241066.029999999329448
FS( 16 ),2530299.500000000000000,2581775.120000000111759,2535141.040000000037253,2560210.000000000000000,10207425.660000000149012
FS( 17 ),2535808.500000000000000,2589393.919999999925494,2536080.639999999664724,2559541.000000000000000,10220824.059999998658895
FS( 18 ),2569413.399999999906868,2616313.680000000167638,2536644.399999999441206,2597506.750000000000000,10319878.230000000447035
FS( 19 ),2567760.699999999720603,2613266.160000000614673,2562389.439999999478459,2579443.750000000000000,10322860.050000000745058
FS( 20 ),2566107.999999999534339,2629773.560000000055879,2572725.040000000037253,2586970.000000000000000,10355576.599999999627471
FS( 21 ),2581533.199999999720603,2642471.560000000055879,2577610.959999999497086,2612392.000000000000000,10414007.719999998807907
FS( 22 ),2573820.599999999627471,2632059.200000000186265,2593772.080000000074506,2630287.750000000000000,10429939.629999998956919
FS( 23 ),2565557.099999999627471,2634852.760000000242144,2571033.759999999776483,2638984.750000000000000,10410428.369999999180436
FS( 24 ),2544072.000000000000000,2633329.000000000000000,2567087.439999999478459,2650357.750000000000000,10394846.189999999478459
FS( 25 ),2560598.999999999534339,2626726.040000000502914,2565584.080000000074506,2636643.250000000000000,10389552.370000001043081
FS( 26 ),2560048.099999999627471,2632313.160000000614673,2563329.040000000037253,2636810.500000000000000,10392500.800000000745058
FS( 27 ),2564455.299999999813735,2665835.880000000353903,2553557.199999999720603,2638483.000000000000000,10422331.379999998956919
FS( 28 ),2571066.100000000093132,2657963.120000000111759,2540590.719999999739230,2634134.500000000000000,10403754.440000001341105
FS( 29 ),2569413.399999999906868,2657709.160000000614673,2545664.560000000055879,2652030.250000000000000,10424817.370000001043081
FS( 30 ),2573269.699999999720603,2660248.760000000242144,2561074.000000000000000,2640322.750000000000000,10434915.210000000894070
FS( 31 ),2574922.399999999906868,2668121.520000000484288,2588134.479999999515712,2670093.250000000000000,10501271.649999998509884
FS( 32 ),2589245.799999999813735,2685136.840000000316650,2570657.919999999459833,2683473.250000000000000,10528513.810000000521541
FS( 33 ),2586491.299999999813735,2702660.080000000074506,2599785.520000000018626,2679961.000000000000000,10568897.900000000372529
FS( 34 ),2604671.000000000000000,2688184.359999999869615,2553369.279999999795109,2683473.250000000000000,10529697.889999998733401
FS( 35 ),2615688.999999999534339,2693263.560000000055879,2610872.799999999813735,2678790.250000000000000,10598615.609999999403954
FS( 36 ),2611281.799999999813735,2692247.720000000204891,2567275.359999999869615,2682804.250000000000000,10553609.129999998956919
FS( 37 ),2655904.699999999720603,2619869.120000000111759,2593584.159999999683350,2703877.750000000000000,10573235.730000000447035
FS( 38 ),2643233.999999999534339,2633329.000000000000000,2615570.799999999813735,2701034.500000000000000,10593168.300000000745058
FS( 39 ),2635521.399999999906868,2622916.640000000130385,2615758.719999999739230,2693173.750000000000000,10567370.509999999776483
FS( 40 ),2658659.199999999720603,2688438.320000000298023,2635490.319999999832362,2725118.500000000000000,10707706.339999999850988
FS( 41 ),2667473.600000000093132,2661010.640000000130385,2658416.560000000055879,2745523.000000000000000,10732423.800000000745058
FS( 42 ),2702731.199999999720603,2704183.840000000316650,2701450.239999999757856,2750206.000000000000000,10858571.279999999329448
FS( 43 ),2676838.899999999906868,2664820.040000000502914,2688859.600000000093132,2722777.000000000000000,10753295.540000000968575
FS( 44 ),2665820.899999999906868,2680819.520000000484288,2681718.639999999664724,2694846.250000000000000,10723205.309999998658895
FS( 45 ),2684000.599999999627471,2694025.440000000409782,2693933.439999999478459,2710233.250000000000000,10782192.730000000447035
FS( 46 ),2670228.099999999627471,2683867.040000000502914,2695436.799999999813735,2714247.250000000000000,10763779.190000001341105
FS( 47 ),2644335.799999999813735,2658978.960000000428408,2663114.560000000055879,2679626.500000000000000,10646055.820000000298023
FS( 48 ),2636072.299999999813735,2668375.479999999981374,2659732.000000000000000,2688825.250000000000000,10653005.029999999329448
FS( 49 ),2611281.799999999813735,2647296.800000000279397,2665369.600000000093132,2672936.500000000000000,10596884.699999999254942
FS( 50 ),2654802.899999999906868,2692247.720000000204891,2705396.560000000055879,2687989.000000000000000,10740436.179999999701977
FS( 51 ),2647090.299999999813735,2694787.320000000298023,2695060.959999999497086,2631458.500000000000000,10668397.080000000074506
FS( 52 ),2682347.899999999906868,2681835.359999999869615,2738282.560000000055879,2679626.500000000000000,10782092.320000000298023
FS( 53 ),2709342.000000000000000,2709770.960000000428408,2753504.080000000074506,2722777.000000000000000,10895394.040000000968575
FS( 54 ),2731377.999999999534339,2745579.320000000298023,2770228.959999999497086,2757565.000000000000000,11004751.279999999329448
FS( 55 ),2710443.799999999813735,2728817.960000000428408,2771732.319999999832362,2744519.500000000000000,10955513.580000000074506
FS( 56 ),2691162.299999999813735,2725770.440000000409782,2784510.879999999422580,2734150.000000000000000,10935593.619999999180436
FS( 57 ),2677389.799999999813735,2701390.280000000260770,2771356.479999999515712,2740672.750000000000000,10890809.309999998658895
FS( 58 ),2735234.299999999813735,2710278.880000000353903,2780564.560000000055879,2747028.250000000000000,10973105.990000000223517
FS( 59 ),2746252.299999999813735,2711294.720000000204891,2761396.719999999739230,2701369.000000000000000,10920312.739999998360872
FS( 60 ),2733030.699999999720603,2709517.000000000000000,2780188.719999999739230,2720268.250000000000000,10943004.669999998062849
FS( 61 ),2704934.799999999813735,2652883.919999999925494,2748994.000000000000000,2738164.000000000000000,10844976.719999998807907
FS( 62 ),2677940.699999999720603,2646027.000000000000000,2726255.679999999701977,2721773.500000000000000,10771996.879999998956919
FS( 63 ),2713198.299999999813735,2674978.440000000409782,2738658.399999999441206,2722275.250000000000000,10849110.390000000596046
FS( 64 ),2706587.500000000000000,2613520.120000000111759,2735651.679999999701977,2698358.500000000000000,10754117.800000000745058
