代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11110066.949999999254942
真實報酬,1110066.949999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16578.671036101692152
風險,103795.576977515534963
起點值,0.159724253372502
找到最佳解世代,2562
找到最佳解實驗#,1
找到最佳解次數,14

stock[index](rank)
投資組合檔數,4
BA[2](9),MRK[17](14),UTX[24](1),WBA[27](3),
Stock#,BA[2](9),MRK[17](14),UTX[24](1),WBA[27](3),
張數,18883,41308,22791,36889,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,79.630000000353903,39.839999999850988,55.209999999962747,32.470000000204891,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2497922.870000000577420,2510740.080000000074506,2499772.090000000316650,2462373.220000000204891,9970808.260000001639128
FS( 3 ),2492069.140000000130385,2502478.479999999981374,2529628.299999999813735,2485613.290000000037253,10009789.210000000894070
FS( 4 ),2479795.190000000409782,2516523.199999999720603,2534642.319999999832362,2504795.570000000298023,10035756.280000001192093
FS( 5 ),2496601.060000000521541,2540068.759999999776483,2536465.600000000093132,2530617.870000000111759,10103753.289999999105930
FS( 6 ),2460156.870000000577420,2556178.879999999888241,2576577.759999999776483,2498524.440000000409782,10091437.949999999254942
FS( 7 ),2448449.410000000149012,2478932.919999999925494,2620792.299999999813735,2530248.980000000447035,10078423.609999999403954
FS( 8 ),2353656.750000000465661,2477693.679999999701977,2586833.709999999962747,2514017.820000000298023,9932201.960000000894070
FS( 9 ),2329675.340000000316650,2451256.560000000055879,2599140.850000000093132,2693298.360000000335276,10073371.109999999403954
FS( 10 ),2280579.540000000502914,2384337.599999999627471,2556065.859999999869615,2748262.970000000204891,9969245.970000000670552
FS( 11 ),2305316.270000000484288,2352530.439999999944121,2550596.020000000018626,2709160.629999999888241,9917603.359999999403954
FS( 12 ),2346292.380000000353903,2346334.239999999757856,2580680.140000000130385,2670427.180000000167638,9943733.939999999478459
FS( 13 ),2361587.610000000335276,2380619.879999999888241,2595950.109999999869615,2655671.580000000074506,9993829.179999999701977
FS( 14 ),2373106.240000000223517,2436385.679999999701977,2665690.569999999832362,2743836.290000000037253,10219018.780000001192093
FS( 15 ),2383680.720000000204891,2461170.479999999981374,2634466.899999999906868,2701413.940000000409782,10180732.039999999105930
FS( 16 ),2421257.890000000130385,2435559.520000000018626,2669792.950000000186265,2739778.500000000000000,10266388.859999999403954
FS( 17 ),2455436.120000000577420,2363270.520000000018626,2671388.319999999832362,2822409.860000000335276,10312504.820000000298023
FS( 18 ),2478284.550000000745058,2373597.520000000018626,2664551.020000000018626,2828312.100000000093132,10344745.189999999478459
FS( 19 ),2485648.920000000391155,2386816.080000000074506,2672072.049999999813735,2820565.410000000149012,10365102.460000000894070
FS( 20 ),2498111.700000000186265,2384750.679999999701977,2663411.469999999739230,2832738.780000000260770,10379012.629999998956919
FS( 21 ),2489425.520000000484288,2381446.039999999571592,2648369.410000000149012,2805440.919999999925494,10324681.890000000596046
FS( 22 ),2454491.970000000204891,2345921.159999999683350,2621020.209999999962747,2810974.270000000484288,10232407.609999999403954
FS( 23 ),2453925.479999999981374,2362444.359999999869615,2621931.850000000093132,2803596.470000000204891,10241898.160000000149012
FS( 24 ),2436930.780000000726432,2397556.159999999683350,2578173.129999999888241,2748262.970000000204891,10160923.040000000968575
FS( 25 ),2408228.620000000577420,2491738.399999999906868,2541707.529999999795109,2755271.879999999888241,10196946.429999999701977
FS( 26 ),2445616.959999999962747,2545025.719999999739230,2569284.640000000130385,2825729.870000000111759,10385657.190000001341105
FS( 27 ),2488859.030000000726432,2596247.640000000130385,2613043.359999999869615,2860774.419999999925494,10558924.450000001117587
FS( 28 ),2483949.450000000186265,2584268.319999999832362,2598685.029999999795109,2791423.100000000093132,10458325.899999998509884
FS( 29 ),2471297.840000000316650,2573528.239999999757856,2608485.160000000149012,2792529.770000000484288,10445841.010000001639128
FS( 30 ),2476962.740000000223517,2568984.359999999869615,2605978.149999999906868,2776298.610000000335276,10428223.859999999403954
FS( 31 ),2462045.170000000391155,2587572.959999999962747,2587289.529999999795109,2766338.580000000074506,10403246.240000000223517
FS( 32 ),2457513.250000000000000,2556178.879999999888241,2587289.529999999795109,2758591.890000000130385,10359573.550000000745058
FS( 33 ),2469598.370000000577420,2603683.080000000074506,2647229.859999999869615,2804703.140000000130385,10525214.450000001117587
