代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11096194.679999999701977
真實報酬,1096194.679999999701977

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16262.230429790050039
風險,123953.161339177109767
起點值,0.131196576626966
找到最佳解世代,2665
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MCD[15](1),
Stock#,MCD[15](1),
張數,131596,
分配資金,10000000.000000000000000,
剩餘資金,19.960000000894070,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10052638.400000000372529,10052638.400000000372529
FS( 3 ),10080273.560000000521541,10080273.560000000521541
FS( 4 ),10096065.080000000074506,10096065.080000000074506
FS( 5 ),10002631.920000001788139,10002631.920000001788139
FS( 6 ),10006579.800000002607703,10006579.800000002607703
FS( 7 ),10034214.960000000894070,10034214.960000000894070
FS( 8 ),10088169.320000000298023,10088169.320000000298023
FS( 9 ),10118436.400000000372529,10118436.400000000372529
FS( 10 ),10142123.679999999701977,10142123.679999999701977
FS( 11 ),10182918.439999999478459,10182918.439999999478459
FS( 12 ),10132911.960000000894070,10132911.960000000894070
FS( 13 ),10080273.560000000521541,10080273.560000000521541
FS( 14 ),10317146.360000001266599,10317146.360000001266599
FS( 15 ),10121068.320000000298023,10121068.320000000298023
FS( 16 ),10150019.439999999478459,10150019.439999999478459
FS( 17 ),10125016.200000001117587,10125016.200000001117587
FS( 18 ),10247400.480000002309680,10247400.480000002309680
FS( 19 ),10268455.840000001713634,10268455.840000001713634
FS( 20 ),10305302.720000000670552,10305302.720000000670552
FS( 21 ),10348729.400000000372529,10348729.400000000372529
FS( 22 ),10388208.200000001117587,10388208.200000001117587
FS( 23 ),10405315.679999999701977,10405315.679999999701977
FS( 24 ),10343465.560000000521541,10343465.560000000521541
FS( 25 ),10356625.160000002011657,10356625.160000002011657
FS( 26 ),10436898.720000000670552,10436898.720000000670552
FS( 27 ),10489537.119999999180436,10489537.119999999180436
FS( 28 ),10463217.920000001788139,10463217.920000001788139
FS( 29 ),10614553.320000000298023,10614553.320000000298023
FS( 30 ),10625081.000000000000000,10625081.000000000000000
FS( 31 ),10677719.400000000372529,10677719.400000000372529
FS( 32 ),10650084.240000002086163,10650084.240000002086163
FS( 33 ),10725093.960000000894070,10725093.960000000894070
FS( 34 ),10858005.920000001788139,10858005.920000001788139
FS( 35 ),10834318.640000000596046,10834318.640000000596046
FS( 36 ),10856689.960000000894070,10856689.960000000894070
FS( 37 ),10875113.400000000372529,10875113.400000000372529
FS( 38 ),10885641.080000000074506,10885641.080000000074506
FS( 39 ),10847478.240000002086163,10847478.240000002086163
FS( 40 ),10740885.480000002309680,10740885.480000002309680
FS( 41 ),10730357.800000002607703,10730357.800000002607703
FS( 42 ),10656664.040000000968575,10656664.040000000968575
FS( 43 ),10626396.960000000894070,10626396.960000000894070
FS( 44 ),10598761.800000002607703,10598761.800000002607703
FS( 45 ),10619817.160000002011657,10619817.160000002011657
FS( 46 ),10677719.400000000372529,10677719.400000000372529
FS( 47 ),10679035.360000001266599,10679035.360000001266599
FS( 48 ),10693510.920000001788139,10693510.920000001788139
FS( 49 ),10575074.520000001415610,10575074.520000001415610
FS( 50 ),10623765.040000000968575,10623765.040000000968575
FS( 51 ),10721146.080000000074506,10721146.080000000074506
FS( 52 ),10690879.000000000000000,10690879.000000000000000
FS( 53 ),10765888.720000000670552,10765888.720000000670552
FS( 54 ),10859321.880000000819564,10859321.880000000819564
FS( 55 ),10881693.200000001117587,10881693.200000001117587
FS( 56 ),10896168.759999999776483,10896168.759999999776483
FS( 57 ),10876429.360000001266599,10876429.360000001266599
FS( 58 ),10829054.800000002607703,10829054.800000002607703
FS( 59 ),10769836.600000001490116,10769836.600000001490116
FS( 60 ),10833002.679999999701977,10833002.679999999701977
FS( 61 ),11100142.560000000521541,11100142.560000000521541
FS( 62 ),11129093.679999999701977,11129093.679999999701977
FS( 63 ),11096194.679999999701977,11096194.679999999701977
