代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11245972.000000000000000
真實報酬,1245972.000000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,22793.247573228767578
風險,194807.383232770545874
起點值,0.117004023127777
找到最佳解世代,1968
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
WMT[28](1),
Stock#,WMT[28](1),
張數,169520,
分配資金,10000000.000000000000000,
剩餘資金,15.199999999254942,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9891507.199999999254942,9891507.199999999254942
FS( 3 ),10008476.000000000000000,10008476.000000000000000
FS( 4 ),10113578.399999998509884,10113578.399999998509884
FS( 5 ),10255975.199999999254942,10255975.199999999254942
FS( 6 ),10105102.399999998509884,10105102.399999998509884
FS( 7 ),10023732.799999998882413,10023732.799999998882413
FS( 8 ),10096626.400000000372529,10096626.400000000372529
FS( 9 ),10062722.399999998509884,10062722.399999998509884
FS( 10 ),10237328.000000000000000,10237328.000000000000000
FS( 11 ),10110188.000000000000000,10110188.000000000000000
FS( 12 ),10222071.199999999254942,10222071.199999999254942
FS( 13 ),9998304.799999998882413,9998304.799999998882413
FS( 14 ),9976267.199999999254942,9976267.199999999254942
FS( 15 ),10094931.199999999254942,10094931.199999999254942
FS( 16 ),10262756.000000000000000,10262756.000000000000000
FS( 17 ),10355992.000000000000000,10355992.000000000000000
FS( 18 ),10311916.799999998882413,10311916.799999998882413
FS( 19 ),10298355.199999999254942,10298355.199999999254942
FS( 20 ),10444142.399999998509884,10444142.399999998509884
FS( 21 ),10456008.799999998882413,10456008.799999998882413
FS( 22 ),10391591.199999999254942,10391591.199999999254942
FS( 23 ),10418714.399999998509884,10418714.399999998509884
FS( 24 ),10666213.599999999627471,10666213.599999999627471
FS( 25 ),10773011.199999999254942,10773011.199999999254942
FS( 26 ),11023900.799999998882413,11023900.799999998882413
FS( 27 ),10771316.000000000000000,10771316.000000000000000
FS( 28 ),10886589.599999999627471,10886589.599999999627471
FS( 29 ),10784877.599999999627471,10784877.599999999627471
FS( 30 ),10496693.599999999627471,10496693.599999999627471
FS( 31 ),10689946.400000000372529,10689946.400000000372529
FS( 32 ),10498388.799999998882413,10498388.799999998882413
FS( 33 ),10605186.400000000372529,10605186.400000000372529
FS( 34 ),10313612.000000000000000,10313612.000000000000000
FS( 35 ),10489912.799999998882413,10489912.799999998882413
FS( 36 ),10627223.999999998137355,10627223.999999998137355
FS( 37 ),10756059.199999999254942,10756059.199999999254942
FS( 38 ),10849295.199999999254942,10849295.199999999254942
FS( 39 ),10840819.199999999254942,10840819.199999999254942
FS( 40 ),10886589.599999999627471,10886589.599999999627471
FS( 41 ),11249362.399999998509884,11249362.399999998509884
FS( 42 ),11442615.199999999254942,11442615.199999999254942
FS( 43 ),11334122.399999998509884,11334122.399999998509884
FS( 44 ),11234105.599999997764826,11234105.599999997764826
FS( 45 ),11259533.599999999627471,11259533.599999999627471
FS( 46 ),11357855.199999999254942,11357855.199999999254942
FS( 47 ),11340903.200000001117587,11340903.200000001117587
FS( 48 ),11156126.400000000372529,11156126.400000000372529
FS( 49 ),11152736.000000000000000,11152736.000000000000000
FS( 50 ),11073061.599999997764826,11073061.599999997764826
FS( 51 ),11218848.800000000745058,11218848.800000000745058
FS( 52 ),11171383.200000001117587,11171383.200000001117587
FS( 53 ),11206982.399999998509884,11206982.399999998509884
FS( 54 ),10869637.599999999627471,10869637.599999999627471
FS( 55 ),10961178.399999998509884,10961178.399999998509884
FS( 56 ),11125612.799999998882413,11125612.799999998882413
FS( 57 ),11269704.800000000745058,11269704.800000000745058
FS( 58 ),11378197.599999999627471,11378197.599999999627471
FS( 59 ),11534156.000000000000000,11534156.000000000000000
FS( 60 ),11274790.400000000372529,11274790.400000000372529
FS( 61 ),11245972.000000000000000,11245972.000000000000000
