代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11475632.750000000000000
真實報酬,1475632.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,26988.574898255810695
風險,161770.407634808158036
起點值,0.166832582626494
找到最佳解世代,1978
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
BA[2](1),INTC[11](3),UNH[23](6),
Stock#,BA[2](1),INTC[11](3),UNH[23](6),
張數,39100,155545,56525,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,58.000000000000000,3.649999999906868,53.750000000000000,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3287977.000000000000000,3337999.350000000093132,3489907.250000000000000,10115884.599999999627471
FS( 3 ),3298534.000000000000000,3274225.899999999906868,3485950.500000000000000,10058711.400000000372529
FS( 4 ),3321603.000000000000000,3288224.950000000186265,3506299.500000000000000,10116128.449999999254942
FS( 5 ),3369305.000000000000000,3257115.950000000186265,3510256.250000000000000,10136678.199999999254942
FS( 6 ),3391983.000000000000000,3280447.699999999720603,3498386.000000000000000,10170817.699999999254942
FS( 7 ),3409968.999999999534339,3383107.399999999906868,3514778.250000000000000,10307855.649999998509884
FS( 8 ),3433819.999999999534339,3462435.350000000093132,3527779.000000000000000,10424035.349999999627471
FS( 9 ),3461581.000000000000000,3395550.999999999534339,3559998.250000000000000,10417131.250000000000000
FS( 10 ),3475657.000000000000000,3372219.250000000000000,3562824.500000000000000,10410701.750000000000000
FS( 11 ),3392765.000000000000000,3325555.749999999534339,3481428.500000000000000,10199750.250000000000000
FS( 12 ),3397457.000000000000000,3409550.050000000279397,3550389.000000000000000,10357397.050000000745058
FS( 13 ),3389637.000000000000000,3411105.500000000000000,3506299.500000000000000,10307043.000000000000000
FS( 14 ),3367350.000000000000000,3459324.449999999720603,3374031.000000000000000,10200706.449999999254942
FS( 15 ),3439293.999999999534339,3490433.450000000186265,3393814.750000000000000,10323543.199999999254942
FS( 16 ),3399412.000000000000000,3558873.249999999534339,3347464.250000000000000,10305750.500000000000000
FS( 17 ),3447896.000000000465661,3636645.749999999534339,3309027.250000000000000,10393570.000000000000000
FS( 18 ),3551511.000000000000000,3680198.350000000093132,3323158.500000000000000,10554868.849999999627471
FS( 19 ),3584355.000000000000000,3636645.749999999534339,3354247.250000000000000,10575249.000000000000000
FS( 20 ),3630493.000000000000000,3639756.649999999906868,3362160.750000000000000,10632411.400000000372529
FS( 21 ),3593348.000000000000000,3695752.850000000093132,3392119.000000000000000,10681220.849999999627471
FS( 22 ),3574189.000000000000000,3725306.399999999906868,3387597.000000000000000,10687093.400000000372529
FS( 23 ),3565196.000000000465661,3731528.199999999720603,3375726.750000000000000,10672451.949999999254942
FS( 24 ),3605468.999999999534339,3750193.599999999627471,3362160.750000000000000,10717824.349999999627471
FS( 25 ),3665292.000000000000000,3726861.850000000093132,3330506.750000000000000,10722661.599999999627471
FS( 26 ),3682887.000000000000000,3719084.600000000093132,3402858.750000000000000,10804831.349999999627471
FS( 27 ),3706347.000000000465661,3756415.399999999906868,3419816.250000000000000,10882579.650000000372529
FS( 28 ),3677022.000000000465661,3771969.899999999906868,3533431.500000000000000,10982424.400000000372529
FS( 29 ),3699309.000000000000000,3789079.849999999627471,3505169.000000000000000,10993558.849999999627471
FS( 30 ),3684842.000000000000000,3810856.149999999906868,3556041.500000000000000,11051740.650000000372529
FS( 31 ),3705174.000000000000000,3745527.249999999534339,3526648.500000000000000,10977350.750000000000000
FS( 32 ),3757959.000000000000000,3708196.449999999720603,3489342.000000000000000,10955498.449999999254942
FS( 33 ),3793540.000000000000000,3764192.649999999906868,3482559.000000000000000,11040292.650000000372529
FS( 34 ),3776336.000000000000000,3723750.950000000186265,3512517.250000000000000,11012605.199999999254942
FS( 35 ),3867830.000000000000000,3739305.449999999720603,3552084.750000000000000,11159221.199999999254942
FS( 36 ),3860010.000000000000000,3745527.249999999534339,3536257.750000000000000,11141796.000000000000000
FS( 37 ),3861183.000000000000000,3756415.399999999906868,3553780.500000000000000,11171379.900000000372529
FS( 38 ),3829121.000000000465661,3743971.799999999813735,3520430.750000000000000,11093524.550000000745058
FS( 39 ),3900283.000000000000000,3740860.899999999906868,3524952.750000000000000,11166097.650000000372529
FS( 40 ),3910058.000000000000000,3720640.050000000279397,3507995.250000000000000,11138694.300000000745058
FS( 41 ),3914359.000000000000000,3745527.249999999534339,3580347.250000000000000,11240234.500000000000000
FS( 42 ),3874477.000000000000000,3775080.799999999813735,3580912.500000000000000,11230471.300000000745058
FS( 43 ),3931172.000000000465661,3765748.100000000093132,3654960.250000000000000,11351881.350000001490116
FS( 44 ),3871740.000000000000000,3776636.250000000000000,3540214.500000000000000,11188591.750000000000000
FS( 45 ),3938992.000000000000000,3925959.449999999720603,3549823.750000000000000,11414776.199999999254942
FS( 46 ),3894809.000000000000000,3944624.849999999627471,3524952.750000000000000,11364387.599999999627471
FS( 47 ),3851017.000000000000000,3841965.149999999906868,3490472.500000000000000,11183455.650000000372529
FS( 48 ),3900674.000000000000000,3834187.899999999906868,3500081.750000000000000,11234944.650000000372529
FS( 49 ),4007417.000000000000000,3824855.199999999720603,3536823.000000000000000,11369096.199999999254942
FS( 50 ),3997642.000000000000000,3890184.100000000093132,3599565.750000000000000,11487392.849999999627471
FS( 51 ),3978483.000000000000000,3843520.600000000093132,3613697.000000000000000,11435701.599999999627471
FS( 52 ),3944466.000000000000000,3804634.350000000093132,3608044.500000000000000,11357145.849999999627471
FS( 53 ),3994514.000000000000000,3887073.199999999720603,3626132.500000000465661,11507720.699999999254942
FS( 54 ),3981611.000000000000000,3876185.050000000279397,3606348.750000000000000,11464145.800000000745058
FS( 55 ),4028531.000000000000000,3904183.149999999906868,3638568.000000000465661,11571283.150000000372529
FS( 56 ),4069586.000000000000000,3961734.799999999813735,3712615.750000000465661,11743937.550000000745058
FS( 57 ),3998033.000000000000000,3888628.649999999906868,3688875.250000000465661,11575537.900000000372529
FS( 58 ),3895982.000000000000000,3762637.200000000186265,3606348.750000000000000,11264968.949999999254942
FS( 59 ),3909276.000000000000000,3764192.649999999906868,3612001.250000000000000,11285470.900000000372529
FS( 60 ),3825993.000000000000000,3667754.749999999534339,3654395.000000000465661,11148143.750000000000000
FS( 61 ),3858055.000000000000000,3714418.249999999534339,3602392.000000000000000,11174866.250000000000000
FS( 62 ),3939383.000000000000000,3734639.100000000093132,3661743.250000000000000,11335766.349999999627471
FS( 63 ),4033223.000000000000000,3740860.899999999906868,3735791.000000000000000,11509875.900000000372529
FS( 64 ),4005462.000000000000000,3768859.000000000000000,3701310.750000000000000,11475632.750000000000000
