代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10692294.190000001341105
真實報酬,692294.190000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10592.704958145788623
風險,44403.899773451368674
起點值,0.238553483189309
找到最佳解世代,2193
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),DIS[6](20),KO[14](6),MSFT[18](8),
Stock#,AAPL[0](1),DIS[6](20),KO[14](6),MSFT[18](8),
張數,19417,22461,60591,39320,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,61.250000000000000,90.700000000186265,15.340000000316650,34.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2495728.260000000242144,2484501.910000000149012,2508482.740000000223517,2483878.799999999813735,9972591.710000000894070
FS( 3 ),2506407.610000000335276,2477539.000000000000000,2516965.480000000447035,2503932.000000000000000,10004844.089999999850988
FS( 4 ),2529902.179999999701977,2461142.470000000204891,2518177.300000000279397,2502359.199999999720603,10011581.150000000372529
FS( 5 ),2553979.260000000242144,2448339.700000000186265,2538778.240000000223517,2494102.000000000000000,10035199.200000001117587
FS( 6 ),2563881.929999999701977,2448339.700000000186265,2546049.160000000614673,2490563.200000000186265,10048833.990000002086163
FS( 7 ),2571260.389999999664724,2459345.589999999850988,2499394.090000000316650,2518873.600000000093132,10048873.669999999925494
FS( 8 ),2565435.290000000037253,2454179.560000000521541,2458798.120000000111759,2516514.399999999906868,9994927.370000001043081
FS( 9 ),2588153.179999999701977,2462939.350000000093132,2461221.760000000242144,2544824.799999999813735,10057139.089999999850988
FS( 10 ),2621744.590000000316650,2478212.830000000074506,2455768.570000000298023,2538926.799999999813735,10094652.789999999105930
FS( 11 ),2631258.919999999925494,2474843.680000000167638,2450315.380000000353903,2537354.000000000000000,10093771.980000000447035
FS( 12 ),2628152.199999999720603,2486748.010000000242144,2496364.540000000502914,2536960.799999999813735,10148225.550000000745058
FS( 13 ),2635336.489999999757856,2472148.360000000335276,2498182.270000000018626,2540892.800000000279397,10146559.919999999925494
FS( 14 ),2654365.149999999906868,2471025.310000000521541,2512118.200000000186265,2535781.199999999720603,10173289.860000001266599
FS( 15 ),2662326.120000000111759,2473496.020000000484288,2520600.940000000409782,2530669.600000000093132,10187092.680000001564622
FS( 16 ),2651064.260000000242144,2464736.230000000447035,2524236.399999999906868,2540892.800000000279397,10180929.690000001341105
FS( 17 ),2653588.469999999739230,2477988.220000000204891,2531507.320000000298023,2540892.800000000279397,10203976.810000000521541
FS( 18 ),2658831.060000000055879,2475966.730000000447035,2524842.310000000521541,2525558.000000000000000,10185198.100000001490116
FS( 19 ),2659996.080000000074506,2472822.190000000409782,2542413.700000000186265,2515728.000000000000000,10190959.970000000670552
FS( 20 ),2714363.679999999701977,2494160.140000000130385,2554531.899999999906868,2553475.199999999720603,10316530.919999999925494
FS( 21 ),2698247.570000000298023,2484052.690000000409782,2573315.110000000335276,2516907.600000000093132,10272522.970000000670552
FS( 22 ),2714169.510000000242144,2498652.339999999850988,2573921.020000000018626,2526344.399999999906868,10313087.269999999552965
FS( 23 ),2705626.030000000260770,2485849.570000000298023,2555743.720000000204891,2527130.799999999813735,10274350.120000001043081
FS( 24 ),2709121.090000000316650,2490117.160000000149012,2544231.430000000633299,2532242.399999999906868,10275712.080000000074506
FS( 25 ),2699024.250000000000000,2489667.940000000409782,2544231.430000000633299,2555441.199999999720603,10288364.820000000298023
FS( 26 ),2692810.810000000055879,2493935.530000000260770,2546655.070000000298023,2545218.000000000000000,10278619.410000000149012
FS( 27 ),2701742.629999999888241,2491464.820000000298023,2562408.730000000447035,2553082.000000000000000,10308698.179999999701977
FS( 28 ),2702907.649999999906868,2504941.419999999925494,2546655.070000000298023,2544431.599999999627471,10298935.740000000223517
FS( 29 ),2698830.080000000074506,2522685.610000000335276,2543019.610000000335276,2532635.599999999627471,10297170.900000000372529
FS( 30 ),2727373.070000000298023,2512802.770000000484288,2552108.260000000242144,2546004.399999999906868,10338288.500000001862645
FS( 31 ),2731838.979999999981374,2509209.010000000242144,2559985.090000000316650,2541679.199999999720603,10342712.279999999329448
FS( 32 ),2718247.080000000074506,2510332.060000000521541,2546655.070000000298023,2550722.800000000279397,10325957.010000001639128
FS( 33 ),2746790.070000000298023,2531670.010000000242144,2555743.720000000204891,2553082.000000000000000,10387285.800000000745058
FS( 34 ),2715334.530000000260770,2510107.450000000186265,2575132.840000000316650,2524771.599999999627471,10325346.419999999925494
FS( 35 ),2746013.389999999664724,2517519.580000000074506,2567861.920000000391155,2557014.000000000000000,10388408.890000000596046
FS( 36 ),2736304.889999999664724,2521113.339999999850988,2555137.810000000521541,2550722.800000000279397,10363278.839999999850988
FS( 37 ),2730868.129999999888241,2518867.240000000223517,2552108.260000000242144,2555048.000000000000000,10356891.630000000819564
FS( 38 ),2735528.209999999962747,2524257.879999999888241,2564226.460000000428408,2559766.399999999906868,10383778.950000001117587
FS( 39 ),2792225.850000000093132,2539306.750000000000000,2570891.470000000204891,2567237.200000000186265,10469661.269999999552965
FS( 40 ),2798439.290000000037253,2527627.030000000260770,2570285.560000000521541,2574314.799999999813735,10470666.679999999701977
FS( 41 ),2794750.060000000055879,2542226.680000000167638,2581191.940000000409782,2583751.599999999627471,10501920.280000001192093
FS( 42 ),2789507.469999999739230,2546943.490000000223517,2571497.380000000353903,2589649.600000000093132,10497597.939999999478459
FS( 43 ),2790284.149999999906868,2542675.900000000372529,2569679.649999999906868,2577460.399999999906868,10480100.100000001490116
FS( 44 ),2811060.340000000316650,2539082.140000000130385,2586039.220000000204891,2584538.000000000000000,10520719.700000001117587
FS( 45 ),2796497.590000000316650,2538183.700000000186265,2579374.210000000428408,2577853.600000000093132,10491909.100000001490116
FS( 46 ),2789507.469999999739230,2539306.750000000000000,2585433.310000000521541,2584538.000000000000000,10498785.530000001192093
FS( 47 ),2783294.030000000260770,2528750.080000000074506,2581797.850000000093132,2582572.000000000000000,10476413.960000000894070
FS( 48 ),2779993.139999999664724,2525380.930000000167638,2586645.130000000353903,2576674.000000000000000,10468693.200000001117587
FS( 49 ),2750090.959999999962747,2539755.970000000204891,2584827.399999999906868,2574708.000000000000000,10449382.330000000074506
FS( 50 ),2753391.850000000093132,2539082.140000000130385,2601792.880000000353903,2564878.000000000000000,10459144.870000001043081
FS( 51 ),2738829.100000000093132,2542675.900000000372529,2592704.230000000447035,2553868.399999999906868,10428077.630000000819564
FS( 52 ),2753974.360000000335276,2555703.280000000260770,2609669.710000000428408,2574708.000000000000000,10494055.350000001490116
FS( 53 ),2741741.649999999906868,2564912.290000000037253,2634512.020000000018626,2571169.199999999720603,10512335.159999998286366
FS( 54 ),2731644.810000000055879,2554580.230000000447035,2619364.270000000018626,2557407.200000000186265,10462996.510000001639128
FS( 55 ),2765818.729999999981374,2578388.890000000130385,2610881.530000000726432,2575494.399999999906868,10530583.550000000745058
FS( 56 ),2762517.840000000316650,2570527.540000000037253,2609669.710000000428408,2610882.399999999906868,10553597.490000002086163
FS( 57 ),2789119.129999999888241,2553906.400000000372529,2622393.820000000298023,2655314.000000000000000,10620733.350000001490116
FS( 58 ),2806400.260000000242144,2587148.680000000167638,2612093.350000000093132,2670648.799999999813735,10676291.089999999850988
