代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10853180.580000000074506
真實報酬,853180.580000000074506

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15511.397086985689384
風險,103371.061503169228672
起點值,0.150055507425646
找到最佳解世代,2996
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,4
AAPL[0](3),GS[8](2),MSFT[18](1),PG[21](4),
Stock#,AAPL[0](3),GS[8](2),MSFT[18](1),PG[21](4),
張數,26732,14987,59708,31533,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,23.360000000335276,18.529999999795109,26.040000000037253,63.759999999776483,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2498930.720000000670552,2501198.959999999497086,2501791.239999999757856,2508829.239999999757856,10010750.160000000149012
FS( 3 ),2513633.320000000298023,2539715.549999999813735,2495820.439999999944121,2522073.100000000093132,10071242.410000000149012
FS( 4 ),2565493.400000000372529,2514537.389999999664724,2507164.959999999962747,2528695.029999999795109,10115890.779999999329448
FS( 5 ),2548919.560000000055879,2471524.699999999720603,2494626.280000000260770,2540362.239999999757856,10055432.779999999329448
FS( 6 ),2549988.840000000316650,2467927.819999999832362,2488058.399999999906868,2575363.869999999646097,10081338.929999999701977
FS( 7 ),2540632.640000000596046,2449194.069999999832362,2489252.560000000055879,2573471.889999999664724,10052551.160000000149012
FS( 8 ),2545444.400000000372529,2469876.129999999888241,2513135.760000000242144,2559282.039999999571592,10087738.330000000074506
FS( 9 ),2578324.760000000242144,2502847.529999999795109,2516121.160000000149012,2564327.319999999366701,10161620.769999999552965
FS( 10 ),2548117.600000000093132,2535369.319999999832362,2534630.640000000130385,2562435.339999999850988,10180552.900000000372529
FS( 11 ),2533682.320000000298023,2554852.419999999925494,2631954.680000000167638,2552344.779999999795109,10272834.199999999254942
FS( 12 ),2488505.240000000223517,2549906.709999999497086,2658823.280000000260770,2535316.959999999962747,10232552.189999999478459
FS( 13 ),2524326.120000000577420,2569839.419999999925494,2668376.560000000055879,2540046.909999999683350,10302589.010000001639128
FS( 14 ),2511227.440000000409782,2573586.169999999925494,2677332.760000000242144,2531533.000000000000000,10293679.370000001043081
FS( 15 ),2532078.400000000372529,2623043.270000000018626,2676735.680000000167638,2525857.059999999590218,10357714.410000000149012
FS( 16 ),2598106.440000000409782,2650019.869999999646097,2679124.000000000000000,2522388.429999999701977,10449638.740000000223517
FS( 17 ),2593829.320000000298023,2641627.149999999441206,2651061.239999999757856,2530902.339999999850988,10417420.049999998882413
FS( 18 ),2610937.800000000279397,2628738.330000000074506,2657032.040000000037253,2508829.239999999757856,10405537.410000000149012
FS( 19 ),2647026.000000000000000,2636981.179999999701977,2625386.799999999813735,2499369.339999999850988,10408763.320000000298023
FS( 20 ),2629917.520000000018626,2630836.509999999776483,2620610.160000000149012,2480134.209999999962747,10361498.399999998509884
FS( 21 ),2623769.160000000614673,2634133.649999999441206,2602100.680000000167638,2464683.039999999571592,10324686.529999999329448
FS( 22 ),2555602.560000000055879,2590821.219999999739230,2577023.319999999832362,2438195.319999999366701,10161642.419999998062849
FS( 23 ),2569770.520000000018626,2551555.279999999795109,2559110.919999999925494,2511667.209999999962747,10192103.929999999701977
FS( 24 ),2555335.240000000223517,2573136.559999999590218,2589562.000000000000000,2498108.019999999552965,10216141.820000000298023
FS( 25 ),2542771.200000000651926,2539116.069999999832362,2572246.680000000167638,2504099.289999999571592,10158233.240000000223517
FS( 26 ),2538494.080000000074506,2543911.910000000149012,2551945.959999999962747,2557074.729999999981374,10191426.679999999701977
FS( 27 ),2525662.720000000670552,2534320.229999999515712,2581202.879999999888241,2527118.379999999888241,10168304.210000000894070
FS( 28 ),2532613.040000000037253,2581679.149999999441206,2579411.640000000130385,2552660.109999999869615,10246363.939999999478459
FS( 29 ),2566028.040000000037253,2584676.549999999813735,2579411.640000000130385,2569372.600000000093132,10299488.830000000074506
FS( 30 ),2565493.400000000372529,2582728.239999999757856,2598518.200000000186265,2567480.619999999646097,10314220.460000000894070
FS( 31 ),2599443.040000000037253,2583327.719999999739230,2631954.680000000167638,2569372.600000000093132,10384098.039999999105930
