代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11914871.690000001341105
真實報酬,1914871.690000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,34591.140517972351518
風險,83721.572834930630052
起點值,0.413168784898175
找到最佳解世代,3116
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,5
CAT[3](8),DIS[6](7),HD[9](1),NKE[19](2),WMT[28](4),
Stock#,CAT[3](8),DIS[6](7),HD[9](1),NKE[19](2),WMT[28](4),
張數,14674,20195,12093,36317,22742,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,80.540000000037253,89.149999999906868,59.660000000149012,22.810000000055879,68.520000000018626,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2002641.320000000065193,1986267.399999999906868,1967711.690000000176951,2001815.849999999860302,2019558.119999999878928,9977994.379999998956919
FS( 3 ),2004989.159999999916181,1992123.949999999953434,1988027.929999999934807,2023242.880000000121072,2039571.080000000074506,10047955.000000000000000
FS( 4 ),2020837.080000000074506,2032513.949999999953434,1985972.120000000111759,2035227.489999999990687,2017283.920000000158325,10091834.560000000521541
FS( 5 ),2036978.479999999981374,2052103.099999999860302,1979200.040000000037253,2002905.360000000102445,2022969.420000000158325,10094156.400000000372529
FS( 6 ),2014674.000000000000000,2043419.250000000000000,1983916.310000000288710,2025058.729999999981374,2052761.440000000176951,10119829.730000000447035
FS( 7 ),1986059.700000000186265,2073711.750000000000000,1974483.770000000251457,2038496.020000000251457,2053671.119999999878928,10126422.360000001266599
FS( 8 ),2002788.059999999823049,2116121.250000000000000,1984641.890000000363216,2037043.340000000083819,2067771.160000000149012,10208365.699999999254942
FS( 9 ),2003521.760000000009313,2115313.449999999720603,1999637.210000000195578,2030506.280000000027940,2069363.099999999860302,10218341.800000000745058
FS( 10 ),2018342.500000000000000,2083607.300000000046566,2032409.240000000223517,2033048.469999999972060,2071637.300000000046566,10239044.810000000521541
FS( 11 ),1967863.939999999944121,2094108.699999999953434,2001088.370000000111759,2056654.520000000251457,2042982.379999999888241,10162697.910000000149012
FS( 12 ),2001027.180000000167638,2092291.149999999906868,2025637.160000000149012,2078444.719999999972060,2265626.560000000055879,10463026.769999999552965
FS( 13 ),1997652.159999999916181,2089059.949999999953434,2028539.480000000214204,2149626.040000000037253,2216731.259999999776483,10481608.890000000596046
FS( 14 ),2009097.879999999888241,2075125.399999999906868,2061311.510000000009313,2151805.060000000055879,2216958.680000000167638,10514298.529999999329448
FS( 15 ),2019222.939999999944121,2080174.149999999906868,2090455.640000000363216,2156889.439999999944121,2195126.359999999869615,10541868.529999999329448
FS( 16 ),2025239.279999999795109,2074923.449999999720603,2080781.240000000223517,2145268.000000000000000,2192624.739999999757856,10518836.709999999031425
FS( 17 ),2016141.399999999906868,2072903.949999999953434,2084046.350000000325963,2154347.250000000000000,2197400.560000000055879,10524839.509999999776483
FS( 18 ),2013206.600000000093132,2075933.199999999953434,2106176.540000000037253,2165605.520000000018626,2197400.560000000055879,10558322.419999999925494
FS( 19 ),2039619.800000000279397,2088454.099999999860302,2135320.669999999925494,2163789.669999999925494,2200811.859999999869615,10627996.099999999627471
FS( 20 ),2025972.979999999981374,2125410.949999999720603,2143543.910000000149012,2192116.930000000167638,2218778.040000000037253,10705822.809999998658895
FS( 21 ),2071315.640000000130385,2116929.049999999813735,2174622.919999999925494,2194295.950000000186265,2211273.180000000167638,10768436.739999998360872
FS( 22 ),2076745.020000000251457,2125612.899999999906868,2181878.720000000204891,2174684.770000000018626,2214002.219999999739230,10772923.629999998956919
FS( 23 ),2076451.540000000037253,2225982.049999999813735,2236055.360000000335276,2182674.510000000242144,2206269.939999999944121,10927433.400000000372529
FS( 24 ),2056494.899999999906868,2165397.049999999813735,2211264.709999999962747,2194295.950000000186265,2224918.379999999888241,10852370.989999998360872
FS( 25 ),2059429.700000000186265,2129853.849999999627471,2186474.060000000055879,2168874.049999999813735,2212410.280000000260770,10757041.940000001341105
FS( 26 ),2096848.399999999906868,2125814.850000000093132,2200985.660000000149012,2200833.010000000242144,2201039.280000000260770,10825521.199999999254942
FS( 27 ),2111082.180000000167638,2105014.000000000000000,2218036.790000000037253,2226254.910000000149012,2195808.620000000111759,10856196.500000000000000
FS( 28 ),2109761.520000000018626,2157521.000000000000000,2204008.910000000149012,2248408.279999999795109,2204450.580000000074506,10924150.289999999105930
FS( 29 ),2104625.619999999646097,2169638.000000000000000,2198567.060000000055879,2257850.700000000186265,2199219.919999999925494,10929901.299999998882413
FS( 30 ),2180196.719999999739230,2173273.100000000093132,2213441.450000000186265,2335205.910000000149012,2223326.439999999944121,11125443.619999999180436
FS( 31 ),2146593.260000000242144,2233050.299999999813735,2202557.750000000000000,2343558.820000000298023,2208998.979999999981374,11134759.110000001266599
FS( 32 ),2152609.600000000093132,2247186.799999999813735,2207999.600000000093132,2353001.240000000223517,2208544.140000000130385,11169341.380000000819564
FS( 33 ),2197805.520000000018626,2242340.000000000000000,2233999.549999999813735,2353727.580000000074506,2226510.320000000298023,11254382.969999998807907
FS( 34 ),2214533.879999999888241,2258092.100000000093132,2249115.799999999813735,2333026.889999999664724,2246978.120000000111759,11301746.789999999105930
FS( 35 ),2238159.020000000018626,2215278.699999999720603,2265199.490000000223517,2309420.840000000316650,2245841.020000000018626,11273899.070000000298023
FS( 36 ),2269267.899999999906868,2212855.299999999813735,2274511.100000000093132,2352274.899999999906868,2230149.040000000037253,11339058.239999998360872
FS( 37 ),2285556.040000000037253,2194679.799999999813735,2275115.750000000000000,2298525.740000000223517,2233560.339999999850988,11287437.669999999925494
FS( 38 ),2295681.100000000093132,2183572.549999999813735,2302083.140000000130385,2311599.859999999869615,2255165.239999999757856,11348101.890000000596046
FS( 39 ),2311529.020000000018626,2173878.949999999720603,2300027.330000000074506,2286177.959999999962747,2257439.439999999944121,11329052.699999999254942
FS( 40 ),2324735.619999999646097,2176504.299999999813735,2295069.200000000186265,2286177.959999999962747,2260623.320000000298023,11343110.400000000372529
FS( 41 ),2312409.460000000428408,2171253.600000000093132,2292045.950000000186265,2271651.160000000149012,2245841.020000000018626,11293201.190000001341105
FS( 42 ),2304485.500000000000000,2257890.149999999906868,2273906.450000000186265,2305789.140000000130385,2242202.300000000279397,11384273.540000000968575
FS( 43 ),2308007.260000000242144,2267583.750000000000000,2285757.589999999850988,2305425.969999999739230,2261760.419999999925494,11428534.990000000223517
FS( 44 ),2339703.100000000093132,2266574.000000000000000,2303897.089999999850988,2303973.290000000037253,2263807.200000000186265,11477954.679999999701977
FS( 45 ),2376681.580000000074506,2254255.049999999813735,2327962.160000000149012,2323584.469999999739230,2277224.979999999981374,11559708.240000000223517
FS( 46 ),2436404.760000000242144,2221943.049999999813735,2322399.379999999888241,2344285.160000000149012,2310883.140000000130385,11635915.490000002086163
FS( 47 ),2442274.360000000335276,2220327.449999999720603,2335217.959999999962747,2327579.340000000316650,2283137.899999999906868,11608537.010000001639128
FS( 48 ),2434056.919999999925494,2210835.799999999813735,2319497.060000000055879,2332300.549999999813735,2266763.660000000149012,11563453.989999998360872
FS( 49 ),2482921.339999999850988,2241532.199999999720603,2354324.900000000372529,2334842.740000000223517,2274723.359999999869615,11688344.539999999105930
FS( 50 ),2499062.740000000223517,2271420.799999999813735,2375366.720000000204891,2348643.200000000186265,2294054.060000000055879,11788547.520000001415610
FS( 51 ),2484535.479999999981374,2235473.699999999720603,2374036.490000000223517,2303246.950000000186265,2289960.500000000000000,11687253.120000001043081
FS( 52 ),2472649.540000000037253,2261323.299999999813735,2416482.919999999925494,2317410.580000000074506,2335671.919999999925494,11803538.259999999776483
FS( 53 ),2477491.960000000428408,2230021.049999999813735,2398464.350000000093132,2328305.680000000167638,2372059.120000000111759,11806342.160000000149012
FS( 54 ),2500676.879999999888241,2233454.200000000186265,2434743.350000000093132,2440888.379999999888241,2378654.300000000279397,11988417.109999999403954
FS( 55 ),2507720.399999999906868,2243753.649999999906868,2472594.440000000409782,2411108.439999999944121,2398212.419999999925494,12033389.349999999627471
