代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10416732.160000000149012
真實報酬,416732.160000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8245.385063150588394
風險,162626.543384994205553
起點值,0.050701348571560
找到最佳解世代,2576
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
PG[21](1),
Stock#,PG[21](1),
張數,162786,
分配資金,10000000.000000000000000,
剩餘資金,56.019999999552965,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9908839.839999999850988,9908839.839999999850988
FS( 3 ),9886049.799999998882413,9886049.799999998882413
FS( 4 ),9698845.899999998509884,9698845.899999998509884
FS( 5 ),9863259.759999999776483,9863259.759999999776483
FS( 6 ),9651637.959999999031425,9651637.959999999031425
FS( 7 ),9803028.939999999478459,9803028.939999999478459
FS( 8 ),9524664.879999998956919,9524664.879999998956919
FS( 9 ),9840469.720000000670552,9840469.720000000670552
FS( 10 ),9952792.060000000521541,9952792.060000000521541
FS( 11 ),10073253.699999999254942,10073253.699999999254942
FS( 12 ),10030929.339999999850988,10030929.339999999850988
FS( 13 ),10039068.640000000596046,10039068.640000000596046
FS( 14 ),9907211.979999998584390,9907211.979999998584390
FS( 15 ),9923490.580000000074506,9923490.580000000074506
FS( 16 ),10045580.080000000074506,10045580.080000000074506
FS( 17 ),10258829.740000000223517,10258829.740000000223517
FS( 18 ),10306037.679999999701977,10306037.679999999701977
FS( 19 ),10179064.599999999627471,10179064.599999999627471
FS( 20 ),10185576.039999999105930,10185576.039999999105930
FS( 21 ),10270224.759999999776483,10270224.759999999776483
FS( 22 ),10336967.019999999552965,10336967.019999999552965
FS( 23 ),10366268.500000000000000,10366268.500000000000000
FS( 24 ),10297898.379999998956919,10297898.379999998956919
FS( 25 ),10182320.319999998435378,10182320.319999998435378
FS( 26 ),10154646.699999999254942,10154646.699999999254942
FS( 27 ),10209993.939999999478459,10209993.939999999478459
FS( 28 ),10240923.279999999329448,10240923.279999999329448
FS( 29 ),10066742.259999999776483,10066742.259999999776483
FS( 30 ),10065114.399999998509884,10065114.399999998509884
FS( 31 ),10083020.859999999403954,10083020.859999999403954
FS( 32 ),10148135.259999999776483,10148135.259999999776483
FS( 33 ),10219761.099999999627471,10219761.099999999627471
FS( 34 ),10472079.399999998509884,10472079.399999998509884
FS( 35 ),10387430.679999999701977,10387430.679999999701977
FS( 36 ),10431382.899999998509884,10431382.899999998509884
FS( 37 ),10258829.740000000223517,10258829.740000000223517
FS( 38 ),9957675.640000000596046,9957675.640000000596046
FS( 39 ),9970698.519999999552965,9970698.519999999552965
FS( 40 ),10180692.459999999031425,10180692.459999999031425
FS( 41 ),10297898.379999998956919,10297898.379999998956919
FS( 42 ),10211621.799999998882413,10211621.799999998882413
FS( 43 ),10369524.220000000670552,10369524.220000000670552
FS( 44 ),10284875.500000000000000,10284875.500000000000000
FS( 45 ),10229528.259999999776483,10229528.259999999776483
FS( 46 ),10315804.839999999850988,10315804.839999999850988
FS( 47 ),10310921.259999999776483,10310921.259999999776483
FS( 48 ),10354873.479999998584390,10354873.479999998584390
FS( 49 ),10403709.279999999329448,10403709.279999999329448
FS( 50 ),10548588.819999998435378,10548588.819999998435378
FS( 51 ),10511148.039999999105930,10511148.039999999105930
FS( 52 ),10563239.560000000521541,10563239.560000000521541
FS( 53 ),10524170.919999999925494,10524170.919999999925494
FS( 54 ),10563239.560000000521541,10563239.560000000521541
FS( 55 ),10460684.380000000819564,10460684.380000000819564
FS( 56 ),10568123.140000000596046,10568123.140000000596046
FS( 57 ),10540449.519999999552965,10540449.519999999552965
FS( 58 ),10595796.759999999776483,10595796.759999999776483
FS( 59 ),10786256.380000000819564,10786256.380000000819564
FS( 60 ),10641376.839999999850988,10641376.839999999850988
FS( 61 ),10501380.880000000819564,10501380.880000000819564
FS( 62 ),10573006.720000000670552,10573006.720000000670552
FS( 63 ),10600680.339999999850988,10600680.339999999850988
FS( 64 ),10537193.800000000745058,10537193.800000000745058
FS( 65 ),10416732.160000000149012,10416732.160000000149012
