代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10917010.789999999105930
真實報酬,917010.789999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15886.349011612905088
風險,54323.185262666294875
起點值,0.292441412166801
找到最佳解世代,1967
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](4),KO[14](23),MCD[15](2),MSFT[18](9),
Stock#,AAPL[0](1),DIS[6](6),HD[9](4),KO[14](23),MCD[15](2),MSFT[18](9),
張數,14349,15711,12409,39872,13933,26632,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,29.649999999906868,43.120000000111759,13.209999999962747,16.400000000139698,0.540000000037253,35.439999999944121,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1664800.629999999888241,1688032.959999999962747,1681432.709999999962747,1660685.200000000186265,1664715.380000000121072,1659209.039999999804422,10018879.919999999925494
FS( 3 ),1673266.539999999804422,1687090.300000000046566,1661578.310000000055879,1664672.400000000139698,1667780.640000000130385,1659209.039999999804422,10013601.230000000447035
FS( 4 ),1691920.239999999757856,1712227.900000000139698,1656986.979999999981374,1664273.680000000167638,1682549.620000000111759,1673590.320000000065193,10081552.739999998360872
FS( 5 ),1707417.159999999916181,1702487.080000000074506,1666666.000000000000000,1647527.440000000176951,1677951.730000000214204,1668263.919999999925494,10070317.330000000074506
FS( 6 ),1709139.039999999804422,1702801.300000000046566,1688878.109999999869615,1636363.280000000027940,1675443.790000000037253,1667731.279999999795109,10080360.799999998882413
FS( 7 ),1718322.399999999906868,1719454.959999999962747,1683914.509999999776483,1636762.000000000000000,1684221.580000000074506,1682911.519999999785796,10125590.969999998807907
FS( 8 ),1711147.899999999906868,1689446.950000000186265,1676096.839999999850988,1632774.800000000279397,1701219.839999999850988,1667464.959999999962747,10078155.289999999105930
FS( 9 ),1708134.610000000102445,1697773.780000000260770,1675724.569999999832362,1629983.760000000242144,1692860.040000000037253,1669861.840000000083819,10074342.600000001490116
FS( 10 ),1721909.649999999906868,1696359.790000000037253,1686768.580000000074506,1643540.239999999990687,1710276.290000000037253,1665334.399999999906868,10124192.950000001117587
