代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12521439.250000000000000
真實報酬,2521439.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,38741.073579864991189
風險,189851.592879460164113
起點值,0.204059776335205
找到最佳解世代,1688
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
WBA[27](1),
Stock#,WBA[27](1),
張數,147885,
分配資金,10000000.000000000000000,
剩餘資金,16.299999998882413,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10091688.699999997392297,10091688.699999997392297
FS( 3 ),10060632.849999999627471,10060632.849999999627471
FS( 4 ),10084294.449999999254942,10084294.449999999254942
FS( 5 ),10174504.299999998882413,10174504.299999998882413
FS( 6 ),10165631.199999997392297,10165631.199999997392297
FS( 7 ),10408162.599999997764826,10408162.599999997764826
FS( 8 ),10422951.099999999627471,10422951.099999999627471
FS( 9 ),10393374.099999999627471,10393374.099999999627471
FS( 10 ),10418514.549999998882413,10418514.549999998882413
FS( 11 ),10482105.099999997764826,10482105.099999997764826
FS( 12 ),10541259.099999999627471,10541259.099999999627471
FS( 13 ),10779353.949999999254942,10779353.949999999254942
FS( 14 ),10795621.299999998882413,10795621.299999998882413
FS( 15 ),10677313.299999998882413,10677313.299999998882413
FS( 16 ),10678792.149999998509884,10678792.149999998509884
FS( 17 ),10789705.899999998509884,10789705.899999998509884
FS( 18 ),10915408.149999998509884,10915408.149999998509884
FS( 19 ),10780832.799999998882413,10780832.799999998882413
FS( 20 ),10715763.399999998509884,10715763.399999998509884
FS( 21 ),10868084.949999997392297,10868084.949999997392297
FS( 22 ),10913929.299999998882413,10913929.299999998882413
FS( 23 ),10845902.199999999254942,10845902.199999999254942
FS( 24 ),10723157.650000000372529,10723157.650000000372529
FS( 25 ),10965689.049999998882413,10965689.049999998882413
FS( 26 ),10878436.899999998509884,10878436.899999998509884
FS( 27 ),10693580.649999998509884,10693580.649999998509884
FS( 28 ),10485062.799999998882413,10485062.799999998882413
FS( 29 ),10869563.799999998882413,10869563.799999998882413
FS( 30 ),11049983.499999998137355,11049983.499999998137355
FS( 31 ),11280684.099999999627471,11280684.099999999627471
FS( 32 ),11384203.599999999627471,11384203.599999999627471
FS( 33 ),11325049.599999997764826,11325049.599999997764826
FS( 34 ),11438921.049999998882413,11438921.049999998882413
FS( 35 ),11483286.549999998882413,11483286.549999998882413
FS( 36 ),11425611.400000000372529,11425611.400000000372529
FS( 37 ),10973083.299999998882413,10973083.299999998882413
FS( 38 ),11200826.199999997392297,11200826.199999997392297
FS( 39 ),11273289.849999999627471,11273289.849999999627471
FS( 40 ),11360541.999999998137355,11360541.999999998137355
FS( 41 ),11653354.299999998882413,11653354.299999998882413
FS( 42 ),11796802.749999998137355,11796802.749999998137355
FS( 43 ),11816027.799999998882413,11816027.799999998882413
FS( 44 ),11727296.799999998882413,11727296.799999998882413
FS( 45 ),11826379.749999998137355,11826379.749999998137355
FS( 46 ),11919547.299999998882413,11919547.299999998882413
FS( 47 ),12113276.649999998509884,12113276.649999998509884
FS( 48 ),12191655.699999999254942,12191655.699999999254942
FS( 49 ),12184261.449999999254942,12184261.449999999254942
FS( 50 ),12098488.149999998509884,12098488.149999998509884
FS( 51 ),12114755.500000000000000,12114755.500000000000000
FS( 52 ),12055601.499999998137355,12055601.499999998137355
FS( 53 ),12169472.949999999254942,12169472.949999999254942
FS( 54 ),12203486.499999998137355,12203486.499999998137355
FS( 55 ),12114755.500000000000000,12114755.500000000000000
FS( 56 ),11799760.449999999254942,11799760.449999999254942
FS( 57 ),11795323.900000000372529,11795323.900000000372529
FS( 58 ),11950603.149999998509884,11950603.149999998509884
FS( 59 ),12082220.799999998882413,12082220.799999998882413
FS( 60 ),12351371.499999998137355,12351371.499999998137355
FS( 61 ),12517002.699999999254942,12517002.699999999254942
FS( 62 ),12548058.549999998882413,12548058.549999998882413
FS( 63 ),12521439.250000000000000,12521439.250000000000000
