代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11186695.509999999776483
真實報酬,1186695.509999999776483

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18249.778382468502969
風險,156816.925040504167555
起點值,0.116376331048162
找到最佳解世代,1832
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](1),HD[9](3),MCD[15](13),UNH[23](2),
Stock#,BA[2](1),HD[9](3),MCD[15](13),UNH[23](2),
張數,46537,89285,39345,87108,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,32.359999999869615,20.000000000000000,18.700000000186265,0.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2502792.219999999739230,2529464.049999999813735,2459081.200000000186265,2464285.719999999739230,9955623.189999999478459
FS( 3 ),2502326.850000000093132,2493750.049999999813735,2438228.350000000093132,2380662.039999999571592,9814967.289999999105930
FS( 4 ),2544675.520000000018626,2507142.799999999813735,2423277.250000000465661,2391986.080000000074506,9867081.650000000372529
FS( 5 ),2597727.699999999720603,2519642.699999999720603,2436654.550000000279397,2465156.799999999813735,10019181.750000000000000
FS( 6 ),2590281.779999999795109,2470535.950000000186265,2384719.150000000372529,2479094.080000000074506,9924630.960000000894070
FS( 7 ),2581439.750000000000000,2459821.750000000000000,2384325.700000000186265,2482578.399999999906868,9908165.599999999627471
FS( 8 ),2560032.729999999981374,2499107.149999999906868,2402030.950000000186265,2640243.879999999888241,10101414.710000000894070
FS( 9 ),2587489.560000000055879,2543749.649999999906868,2426031.399999999906868,2655052.239999999757856,10212322.849999999627471
FS( 10 ),2608431.209999999962747,2577677.950000000186265,2444917.000000000000000,2695993.000000000000000,10327019.160000000149012
FS( 11 ),2590747.149999999906868,2591070.700000000186265,2439408.700000000186265,2728222.959999999962747,10349449.509999999776483
FS( 12 ),2565617.169999999925494,2585713.600000000093132,2455933.600000000093132,2804878.000000000000000,10412142.369999999180436
FS( 13 ),2534902.750000000000000,2571428.000000000000000,2436261.100000000093132,2771776.959999999962747,10314368.809999998658895
FS( 14 ),2486969.639999999664724,2558035.250000000000000,2446097.350000000093132,2747386.719999999739230,10238488.960000000894070
FS( 15 ),2526991.459999999962747,2585713.600000000093132,2465376.399999999906868,2802264.760000000242144,10380346.220000000670552
FS( 16 ),2564221.060000000055879,2615177.649999999906868,2477573.350000000093132,2815330.959999999962747,10472303.019999999552965
FS( 17 ),2557705.879999999888241,2589285.000000000000000,2492917.900000000372529,2754355.359999999869615,10394264.140000000596046
FS( 18 ),2581905.119999999646097,2604463.450000000186265,2495278.600000000093132,2759581.839999999850988,10441229.009999999776483
FS( 19 ),2566082.540000000037253,2605356.299999999813735,2502754.150000000372529,2734320.520000000018626,10408513.509999999776483
FS( 20 ),2569340.129999999888241,2613391.950000000186265,2501967.250000000465661,2687282.200000000186265,10371981.530000001192093
FS( 21 ),2557705.879999999888241,2600892.049999999813735,2474425.750000000000000,2701219.479999999981374,10334243.160000000149012
FS( 22 ),2519080.169999999925494,2583035.049999999813735,2456720.500000000000000,2655052.239999999757856,10213887.959999999031425
FS( 23 ),2614481.020000000018626,2559820.950000000186265,2470097.800000000279397,2746515.640000000130385,10390915.410000002011657
FS( 24 ),2700109.100000000093132,2578570.799999999813735,2451212.200000000186265,2742160.239999999757856,10472052.339999999850988
FS( 25 ),2782014.219999999739230,2569642.300000000279397,2417768.950000000186265,2769163.719999999739230,10538589.189999999478459
FS( 26 ),2894633.759999999776483,2599999.200000000186265,2435474.200000000186265,2875435.479999999515712,10805542.640000000596046
FS( 27 ),2866711.560000000055879,2587499.299999999813735,2433113.500000000465661,2848432.000000000000000,10735756.359999999403954
FS( 28 ),2832739.549999999813735,2514285.600000000093132,2451999.100000000093132,2867595.760000000242144,10666620.009999999776483
FS( 29 ),2812263.270000000018626,2498214.299999999813735,2465376.399999999906868,2791811.799999999813735,10567665.769999999552965
FS( 30 ),2846235.279999999795109,2511607.049999999813735,2462622.250000000465661,2834494.719999999739230,10654959.300000000745058
FS( 31 ),2864850.080000000074506,2526785.500000000000000,2464982.950000000186265,2902438.959999999962747,10759057.490000000223517
FS( 32 ),2830412.699999999720603,2550892.450000000186265,2450425.300000000279397,2939895.399999999906868,10771625.850000001490116
