代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11862613.239999998360872
真實報酬,1862613.239999998360872

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,29467.302924418589100
風險,172751.597338261111872
起點值,0.170576153149654
找到最佳解世代,2227
找到最佳解實驗#,4
找到最佳解次數,28

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,54836,83724,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,53.519999999552965,2.719999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5056481.079999999143183,4979906.239999999292195,10036387.319999998435378
FS( 3 ),5140380.159999999217689,4933020.799999999813735,10073400.959999999031425
FS( 4 ),5165056.359999999403954,5040187.519999999552965,10205243.879999998956919
FS( 5 ),5197957.959999999962747,5065304.719999999739230,10263262.679999999701977
FS( 6 ),5156830.959999999962747,5233589.959999999962747,10390420.919999999925494
FS( 7 ),5188087.479999999515712,5191727.959999999962747,10379815.439999999478459
FS( 8 ),5167798.159999999217689,5267079.559999999590218,10434877.719999998807907
FS( 9 ),5196312.879999999888241,5223543.080000000074506,10419855.960000000894070
FS( 10 ),5270341.479999999515712,5168285.239999999292195,10438626.719999998807907
FS( 11 ),5320242.239999999292195,5158238.359999999403954,10478480.599999997764826
FS( 12 ),5296114.399999999441206,5202612.080000000074506,10498726.480000000447035
FS( 13 ),5424430.639999999664724,5261218.879999999888241,10685649.519999999552965
FS( 14 ),5413463.439999999478459,5237776.160000000149012,10651239.599999999627471
FS( 15 ),5415108.519999999552965,5263730.599999999627471,10678839.119999999180436
FS( 16 ),5370143.000000000000000,5214333.439999999478459,10584476.439999999478459
FS( 17 ),5469944.519999999552965,5221031.359999999403954,10690975.879999998956919
FS( 18 ),5483653.519999999552965,5195914.160000000149012,10679567.679999999701977
FS( 19 ),5489685.479999999515712,5303080.879999999888241,10792766.359999999403954
FS( 20 ),5433752.759999999776483,5303918.120000000111759,10737670.879999998956919
FS( 21 ),5513264.959999999962747,5413596.559999999590218,10926861.519999999552965
FS( 22 ),5429914.239999999292195,5243636.839999999850988,10673551.079999998211861
FS( 23 ),5524232.159999999217689,5257869.919999999925494,10782102.079999998211861
FS( 24 ),5462267.479999999515712,5221031.359999999403954,10683298.839999999850988
FS( 25 ),5400851.159999999217689,5169959.719999999739230,10570810.879999998956919
FS( 26 ),5470492.879999999888241,5184192.799999999813735,10654685.679999999701977
FS( 27 ),5620195.159999999217689,5238613.399999999441206,10858808.559999998658895
FS( 28 ),5606486.159999999217689,5331547.040000000037253,10938033.199999999254942
FS( 29 ),5579616.519999999552965,5352478.040000000037253,10932094.559999998658895
FS( 30 ),5531909.199999999254942,5344105.639999999664724,10876014.839999999850988
FS( 31 ),5602099.279999999329448,5370897.320000000298023,10972996.599999999627471
FS( 32 ),5584003.399999999441206,5341593.919999999925494,10925597.320000000298023
FS( 33 ),5649806.599999999627471,5389316.600000000558794,11039123.199999999254942
FS( 34 ),5707384.399999999441206,5498995.040000000037253,11206379.439999999478459
FS( 35 ),5607034.519999999552965,5463830.959999999962747,11070865.480000000447035
FS( 36 ),5463912.559999999590218,5341593.919999999925494,10805506.480000000447035
FS( 37 ),5482556.799999999813735,5349966.319999999366701,10832523.119999999180436
FS( 38 ),5365756.119999999180436,5412759.320000000298023,10778515.439999999478459
FS( 39 ),5410721.639999999664724,5335733.239999999292195,10746454.879999998956919
FS( 40 ),5524780.519999999552965,5423643.439999999478459,10948423.959999999031425
FS( 41 ),5656386.919999999925494,5533321.879999999888241,11189708.800000000745058
FS( 42 ),5617453.359999999403954,5482250.240000000223517,11099703.599999999627471
FS( 43 ),5661322.159999999217689,5494808.839999998919666,11156130.999999998137355
FS( 44 ),5564262.439999999478459,5464668.199999999254942,11028930.639999998733401
FS( 45 ),5642129.559999999590218,5487273.680000000633299,11129403.240000000223517
FS( 46 ),5713964.719999999739230,5540019.799999999813735,11253984.519999999552965
FS( 47 ),5723286.839999999850988,5656396.160000000149012,11379683.000000000000000
FS( 48 ),5740286.000000000000000,5690723.000000000000000,11431009.000000000000000
FS( 49 ),5785251.519999999552965,5667280.279999999329448,11452531.799999998882413
FS( 50 ),5860925.199999999254942,5723375.359999999403954,11584300.559999998658895
FS( 51 ),5586196.839999999850988,5693234.719999999739230,11279431.559999998658895
FS( 52 ),5794025.279999999329448,5661419.600000000558794,11455444.879999998956919
FS( 53 ),5715609.799999999813735,5601975.559999999590218,11317585.359999999403954
FS( 54 ),5746317.959999999962747,5545043.240000000223517,11291361.199999999254942
FS( 55 ),5902052.199999999254942,5906730.919999999925494,11808783.119999999180436
FS( 56 ),5865312.079999999143183,5982082.519999999552965,11847394.599999997764826
FS( 57 ),5859828.479999999515712,6043201.040000000037253,11903029.519999999552965
FS( 58 ),5910825.959999999962747,6085900.279999999329448,11996726.239999998360872
FS( 59 ),5864763.719999999739230,6072504.439999999478459,11937268.160000000149012
FS( 60 ),5851054.719999999739230,6080039.600000000558794,11931094.320000000298023
FS( 61 ),5790735.119999999180436,6045712.759999998845160,11836447.879999998956919
FS( 62 ),5747414.679999999701977,6094272.680000000633299,11841687.359999999403954
FS( 63 ),5797863.799999999813735,6050736.199999999254942,11848600.000000000000000
FS( 64 ),5763317.119999999180436,6099296.119999999180436,11862613.239999998360872
