代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12522455.719999998807907
真實報酬,2522455.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,46922.662452696327819
風險,271665.527143405226525
起點值,0.172722181375361
找到最佳解世代,2294
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
BA[2](1),UNH[23](2),
Stock#,BA[2](1),UNH[23](2),
張數,103584,189250,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,0.319999999366701,15.000000000000000,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4982390.719999999739230,5092732.500000000000000,10075123.219999998807907
FS( 3 ),4979283.199999999254942,5274412.500000000000000,10253695.699999999254942
FS( 4 ),5155376.000000000000000,5338757.500000000000000,10494133.500000000000000
FS( 5 ),5146053.439999999478459,5425812.500000000000000,10571865.939999999478459
FS( 6 ),5319038.719999999739230,5512867.500000000000000,10831906.219999998807907
FS( 7 ),5212347.199999999254942,5482587.500000000000000,10694934.699999999254942
FS( 8 ),5249637.439999999478459,5558287.500000000000000,10807924.939999999478459
FS( 9 ),5208203.839999999850988,5442845.000000000000000,10651048.839999999850988
FS( 10 ),5249637.439999999478459,5503405.000000000000000,10753042.439999999478459
FS( 11 ),5436088.639999998733401,5516652.500000000000000,10952741.139999998733401
FS( 12 ),5441267.839999999850988,5482587.500000000000000,10923855.339999999850988
FS( 13 ),5388440.000000000000000,5463662.500000000000000,10852102.500000000000000
FS( 14 ),5327325.439999999478459,5418242.500000000000000,10745567.939999999478459
FS( 15 ),5355293.120000000111759,5404995.000000000000000,10760288.120000001043081
FS( 16 ),5451626.239999999292195,5503405.000000000000000,10955031.239999998360872
FS( 17 ),5383260.799999998882413,5594245.000000000000000,10977505.799999998882413
FS( 18 ),5482701.439999999478459,5590460.000000000000000,11073161.439999999478459
FS( 19 ),5432981.120000000111759,5571535.000000000000000,11004516.120000001043081
FS( 20 ),5428837.759999998845160,5425812.500000000000000,10854650.259999997913837
FS( 21 ),5564532.799999998882413,5431490.000000000000000,10996022.799999998882413
FS( 22 ),5570747.839999999850988,5353897.500000000000000,10924645.339999999850988
FS( 23 ),5569712.000000000000000,5172217.500000000000000,10741929.500000000000000
FS( 24 ),5663973.439999999478459,5196820.000000000000000,10860793.439999999478459
FS( 25 ),5782059.199999999254942,5355790.000000000000000,11137849.199999999254942
FS( 26 ),5765485.759999998845160,5386070.000000000000000,11151555.759999997913837
FS( 27 ),5745804.799999998882413,5393640.000000000000000,11139444.799999998882413
FS( 28 ),5698156.159999999217689,5736182.500000000000000,11434338.660000000149012
FS( 29 ),5759270.719999999739230,5768355.000000000000000,11527625.719999998807907
FS( 30 ),5805883.519999998621643,5857302.500000000000000,11663186.019999999552965
FS( 31 ),5766521.599999999627471,5927325.000000000000000,11693846.599999999627471
FS( 32 ),5710586.239999999292195,6093865.000000000931323,11804451.240000000223517
FS( 33 ),5642220.799999998882413,6021950.000000000000000,11664170.799999998882413
FS( 34 ),5535529.279999999329448,5968960.000000000000000,11504489.279999999329448
FS( 35 ),5624611.519999998621643,6088187.500000000000000,11712799.019999999552965
FS( 36 ),5707478.719999999739230,6116575.000000000000000,11824053.719999998807907
FS( 37 ),5692976.959999999031425,5984100.000000000000000,11677076.959999999031425
FS( 38 ),5746840.639999998733401,5995455.000000000000000,11742295.639999998733401
FS( 39 ),5711622.079999999143183,5940572.500000000000000,11652194.579999998211861
FS( 40 ),5718872.959999999031425,5838377.500000000000000,11557250.459999999031425
FS( 41 ),5692976.959999999031425,5868657.500000000000000,11561634.459999999031425
FS( 42 ),5607002.239999999292195,5768355.000000000000000,11375357.239999998360872
FS( 43 ),5819349.439999999478459,5967067.500000000000000,11786416.939999999478459
FS( 44 ),6009944.000000000000000,5957605.000000000000000,11967549.000000000000000
FS( 45 ),6192251.839999999850988,6016272.500000000000000,12208524.339999999850988
FS( 46 ),6442925.120000000111759,6247157.500000000000000,12690082.620000001043081
FS( 47 ),6380774.719999999739230,6188490.000000000931323,12569264.720000000670552
FS( 48 ),6305158.399999999441206,6230125.000000000000000,12535283.399999998509884
FS( 49 ),6259581.439999999478459,6065477.499999999068677,12325058.939999997615814
FS( 50 ),6335197.759999998845160,6158210.000000000000000,12493407.759999997913837
FS( 51 ),6376631.359999999403954,6305825.000000000000000,12682456.359999999403954
FS( 52 ),6299979.199999999254942,6387202.500000000000000,12687181.699999999254942
FS( 53 ),6282369.919999998994172,6648367.500000000931323,12930737.419999999925494
FS( 54 ),6235757.120000000111759,6538602.499999999068677,12774359.619999999180436
FS( 55 ),6132173.120000000111759,6264190.000000000000000,12396363.120000001043081
FS( 56 ),5984048.000000000000000,6275544.999999999068677,12259593.000000000000000
FS( 57 ),5985083.839999999850988,6245265.000000000000000,12230348.839999999850988
FS( 58 ),5977832.959999999031425,6139285.000000000000000,12117117.959999999031425
FS( 59 ),6414957.439999999478459,6290685.000000000000000,12705642.439999999478459
FS( 60 ),6480215.359999999403954,6326642.500000000000000,12806857.859999999403954
FS( 61 ),6277190.719999999739230,6245265.000000000000000,12522455.719999998807907
