代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10771181.859999999403954
真實報酬,771181.859999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,8945.097157647589484
風險,230624.948063134826953
起點值,0.038786337873554
找到最佳解世代,2489
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,44614,91374,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,109.020000000484288,14.719999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4974123.879999999888241,5020102.279999999329448,9994226.160000000149012
FS( 3 ),4966539.500000000000000,5018274.799999999813735,9984814.300000000745058
FS( 4 ),5014722.620000001043081,5084977.819999999366701,10099700.440000001341105
FS( 5 ),4952263.020000000484288,4992690.080000000074506,9944953.100000001490116
FS( 6 ),4969216.339999999850988,5000000.000000000000000,9969216.339999999850988
FS( 7 ),5045952.419999999925494,5049341.959999999962747,10095294.379999998956919
FS( 8 ),5126257.620000001043081,5136147.259999999776483,10262404.880000000819564
FS( 9 ),5146780.060000000521541,5132492.299999999813735,10279272.359999999403954
FS( 10 ),5156595.140000000596046,5112390.019999999552965,10268985.160000000149012
FS( 11 ),5118673.240000000223517,5132492.299999999813735,10251165.539999999105930
FS( 12 ),5107073.600000000558794,5153508.319999999366701,10260581.919999999925494
FS( 13 ),5059782.760000000707805,5169041.899999999441206,10228824.660000000149012
FS( 14 ),5079859.060000000521541,5162645.719999999739230,10242504.780000001192093
FS( 15 ),5126257.620000001043081,5212901.419999999925494,10339159.040000000968575
FS( 16 ),5112427.280000000260770,5208332.719999999739230,10320760.000000000000000
FS( 17 ),5067813.280000000260770,5162645.719999999739230,10230459.000000000000000
FS( 18 ),5044614.000000000000000,5105080.099999999627471,10149694.099999999627471
FS( 19 ),5123580.780000000260770,5184575.479999999515712,10308156.259999999776483
FS( 20 ),5191840.200000001117587,5250364.759999999776483,10442204.960000000894070
FS( 21 ),5195855.459999999962747,5254933.459999999962747,10450788.919999999925494
FS( 22 ),5221285.440000000409782,5264070.859999999403954,10485356.300000000745058
FS( 23 ),5215039.480000000447035,5246709.799999999813735,10461749.280000001192093
FS( 24 ),5243592.440000000409782,5289655.580000000074506,10533248.019999999552965
FS( 25 ),5264561.020000000484288,5334428.839999999850988,10598989.859999999403954
FS( 26 ),5200316.860000000335276,5259502.160000000149012,10459819.019999999552965
FS( 27 ),5216824.040000000968575,5232089.959999999962747,10448914.000000000000000
FS( 28 ),5246715.419999999925494,5270467.040000000037253,10517182.460000000894070
FS( 29 ),5250730.680000000633299,5229348.739999999292195,10480079.419999999925494
FS( 30 ),5250730.680000000633299,5165386.939999999478459,10416117.620000001043081
FS( 31 ),5310067.300000000745058,5190057.919999999925494,10500125.220000000670552
FS( 32 ),5342635.520000000484288,5224780.040000000037253,10567415.560000000521541
FS( 33 ),5340404.820000000298023,5253105.979999999515712,10593510.800000000745058
FS( 34 ),5478708.220000000670552,5245796.059999999590218,10724504.280000001192093
FS( 35 ),5476923.660000001080334,5252192.239999999292195,10729115.900000000372529
FS( 36 ),5377880.580000001005828,5130664.819999999366701,10508545.400000000372529
FS( 37 ),5182471.260000000707805,4883041.279999999329448,10065512.539999999105930
FS( 38 ),5020968.580000001005828,4745980.279999999329448,9766948.859999999403954
FS( 39 ),4950924.600000000558794,4730446.700000000186265,9681371.300000000745058
FS( 40 ),5172210.040000000968575,4968932.839999999850988,10141142.880000000819564
FS( 41 ),5249392.260000000707805,5145284.660000000149012,10394676.920000001788139
FS( 42 ),5243146.300000000745058,5139802.219999999739230,10382948.519999999552965
FS( 43 ),5195855.459999999962747,5105993.839999999850988,10301849.300000000745058
FS( 44 ),5044614.000000000000000,4963450.399999999441206,10008064.399999998509884
FS( 45 ),5196747.740000000223517,5057565.620000000111759,10254313.359999999403954
FS( 46 ),5202101.419999999925494,5064875.540000000037253,10266976.960000000894070
FS( 47 ),5104842.900000000372529,5011878.620000000111759,10116721.519999999552965
FS( 48 ),5194517.040000000968575,5105993.839999999850988,10300510.880000000819564
FS( 49 ),5084766.600000000558794,5019188.540000000037253,10103955.140000000596046
FS( 50 ),5107965.879999999888241,5042945.779999999329448,10150911.660000000149012
FS( 51 ),5150349.180000000633299,5108735.059999999590218,10259084.240000000223517
FS( 52 ),5118673.240000000223517,5112390.019999999552965,10231063.259999999776483
FS( 53 ),5183363.540000000968575,5201022.799999999813735,10384386.339999999850988
FS( 54 ),5256530.500000000000000,5280518.179999999701977,10537048.679999999701977
FS( 55 ),5260545.760000000707805,5266812.080000000074506,10527357.839999999850988
FS( 56 ),5136072.700000001117587,5256760.939999999478459,10392833.640000000596046
FS( 57 ),5201209.140000000596046,5325291.439999999478459,10526500.580000000074506
FS( 58 ),5166410.220000000670552,5298792.979999999515712,10465203.199999999254942
FS( 59 ),5182917.400000000372529,5274122.000000000000000,10457039.400000000372529
FS( 60 ),5190501.780000000260770,5244882.319999999366701,10435384.099999999627471
FS( 61 ),5208347.379999999888241,5710889.719999999739230,10919237.099999999627471
FS( 62 ),5090566.419999999925494,5580224.899999999441206,10670791.320000000298023
FS( 63 ),5037475.760000000707805,5467834.879999999888241,10505310.640000000596046
FS( 64 ),5152579.879999999888241,5618601.979999999515712,10771181.859999999403954
