代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10678504.970000000670552
真實報酬,678504.970000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11278.660216943359046
風險,75093.475469958779286
起點值,0.150194942321659
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](3),BA[2](14),GS[8](4),INTC[11](7),JPM[13](1),V[25](2),
Stock#,AAPL[0](3),BA[2](14),GS[8](4),INTC[11](7),JPM[13](1),V[25](2),
張數,15715,12511,10536,47823,26123,21296,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,90.250000000000000,75.689999999944121,81.520000000018626,34.449999999953434,18.600000000093132,41.039999999804422,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1641993.449999999953434,1646523.289999999804422,1644329.679999999934807,1652797.330000000074506,1662747.550000000046566,1667091.919999999925494,9915487.219999998807907
FS( 3 ),1662580.100000000093132,1649901.260000000009313,1668351.760000000009313,1637972.199999999953434,1689131.780000000027940,1676249.199999999720603,9984190.300000000745058
FS( 4 ),1663837.300000000046566,1641644.000000000000000,1665296.320000000065193,1653753.789999999804422,1686519.480000000214204,1692647.119999999878928,10003702.009999999776483
FS( 5 ),1689138.449999999953434,1648149.719999999739230,1707861.760000000009313,1672882.989999999757856,1731973.500000000000000,1706702.479999999748543,10156712.900000000372529
FS( 6 ),1703124.800000000046566,1653904.780000000027940,1715658.400000000139698,1675752.369999999878928,1726748.899999999906868,1702656.239999999757856,10177849.490000000223517
FS( 7 ),1710039.400000000139698,1659284.510000000009313,1722085.360000000102445,1670013.610000000102445,1720740.610000000102445,1704998.799999999813735,10187166.289999999105930
FS( 8 ),1697310.250000000000000,1655030.770000000018626,1708915.360000000102445,1651362.639999999897555,1705328.040000000037253,1696906.320000000065193,10114857.379999998956919
FS( 9 ),1696210.200000000186265,1664038.689999999944121,1726510.480000000214204,1658536.089999999850988,1710030.179999999934807,1706276.559999999823049,10161606.200000001117587
FS( 10 ),1700138.950000000186265,1665289.789999999804422,1720083.520000000018626,1653275.560000000055879,1706372.959999999962747,1704146.959999999729916,10149311.740000000223517
