代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11391534.250000000000000
真實報酬,1391534.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21596.102927325584460
風險,126255.035001755619305
起點值,0.171051419272311
找到最佳解世代,1938
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](1),NKE[19](4),V[25](2),VZ[26](17),
Stock#,HD[9](1),NKE[19](4),V[25](2),VZ[26](17),
張數,14459,38989,21116,53011,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,38.899999999906868,25.319999999832362,76.759999999776483,1.240000000223517,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2512434.739999999757856,2600591.620000000111759,2517103.959999999962747,2518023.740000000223517,10148154.059999998658895
FS( 3 ),2565643.859999999869615,2667652.699999999720603,2529984.719999999739230,2540818.470000000204891,10304099.750000000000000
FS( 4 ),2590079.569999999832362,2713269.830000000074506,2559124.799999999813735,2557251.880000000353903,10419726.080000000074506
FS( 5 ),2522411.449999999720603,2633732.269999999552965,2485429.959999999962747,2516963.520000000018626,10158537.199999999254942
FS( 6 ),2494360.989999999757856,2619306.340000000316650,2508446.399999999906868,2487277.360000000335276,10109391.089999999850988
FS( 7 ),2508530.810000000055879,2612288.319999999832362,2549200.279999999795109,2558842.210000000428408,10228861.620000001043081
FS( 8 ),2499421.640000000130385,2605660.189999999944121,2529351.239999999757856,2522264.620000000111759,10156697.690000001341105
FS( 9 ),2506651.140000000130385,2642309.849999999627471,2556590.879999999422580,2530746.380000000353903,10236298.250000000000000
FS( 10 ),2498554.100000000093132,2622035.569999999832362,2549833.759999999776483,2526505.500000000000000,10196928.929999999701977
FS( 11 ),2522122.270000000018626,2614627.660000000149012,2573694.839999999850988,2565203.530000000260770,10275648.300000000745058
FS( 12 ),2529062.589999999850988,2632172.709999999962747,2614237.559999999590218,2589588.590000000316650,10365061.449999999254942
FS( 13 ),2600490.049999999813735,2581097.120000000111759,2614237.559999999590218,2577396.060000000055879,10373220.789999999105930
FS( 14 ),2560438.620000000111759,2562772.290000000037253,2617616.119999999646097,2567323.970000000204891,10308151.000000000000000
FS( 15 ),2559426.489999999757856,2576808.330000000074506,2622683.959999999962747,2539228.140000000130385,10298146.919999999925494
FS( 16 ),2568824.839999999850988,2607609.639999999664724,2628174.119999999646097,2579516.500000000000000,10384125.099999999627471
FS( 17 ),2548582.239999999757856,2611118.649999999906868,2560814.079999999608845,2633057.610000000335276,10353572.579999998211861
FS( 18 ),2564920.909999999683350,2599421.949999999720603,2559547.119999999646097,2655852.340000000316650,10379742.319999998435378
FS( 19 ),2685364.379999999888241,2653226.769999999552965,2683498.039999999571592,2637828.600000000093132,10659917.789999999105930
FS( 20 ),2696064.040000000037253,2712100.160000000149012,2660903.919999999925494,2733778.510000000242144,10802846.630000000819564
FS( 21 ),2672062.100000000093132,2666483.029999999795109,2679274.839999999850988,2616094.090000000316650,10633914.060000000521541
FS( 22 ),2669604.069999999832362,2655176.219999999739230,2692577.919999999925494,2587998.260000000242144,10605356.469999998807907
FS( 23 ),2688111.589999999850988,2661414.459999999962747,2668716.839999999850988,2531276.490000000223517,10549519.379999998956919
FS( 24 ),2648783.109999999869615,2608389.419999999925494,2685609.640000000130385,2536047.480000000447035,10478829.650000000372529
FS( 25 ),2675387.669999999925494,2655176.219999999739230,2706303.319999999832362,2554601.330000000074506,10591468.539999999105930
FS( 26 ),2654132.939999999944121,2703522.580000000074506,2729530.919999999459833,2530216.270000000018626,10617402.709999999031425
FS( 27 ),2675532.259999999776483,2669212.259999999776483,2743045.159999999683350,2492578.460000000428408,10580368.140000000596046
FS( 28 ),2694618.140000000130385,2649327.870000000111759,2762894.199999999720603,2458651.420000000391155,10565491.629999998956919
FS( 29 ),2706185.339999999850988,2648158.199999999720603,2762894.199999999720603,2502120.440000000409782,10619358.179999999701977
FS( 30 ),2751731.189999999944121,2668042.590000000316650,2783587.879999999422580,2577396.060000000055879,10780757.720000000670552
