代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11327056.250000000000000
真實報酬,1327056.250000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21487.083581273684104
風險,73461.304712613171432
起點值,0.292495262170104
找到最佳解世代,2302
找到最佳解實驗#,1
找到最佳解次數,46

stock[index](rank)
投資組合檔數,5
DIS[6](5),MSFT[18](12),PG[21](1),VZ[26](2),WMT[28](8),
Stock#,DIS[6](5),MSFT[18](12),PG[21](1),VZ[26](2),WMT[28](8),
張數,20128,19843,27229,41832,24099,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,81.919999999925494,24.029999999795109,29.949999999953434,12.079999999841675,23.990000000223517,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),2017712.639999999897555,2017461.839999999850988,2019877.170000000158325,2000418.319999999832362,2058560.570000000298023,10114030.539999999105930
FS( 3 ),2011674.239999999990687,2027780.199999999720603,2014159.079999999841675,2006693.119999999878928,2039281.370000000344589,10099588.009999999776483
FS( 4 ),2051326.399999999906868,2033733.099999999627471,2024506.099999999860302,2025099.199999999720603,2037835.430000000167638,10172500.229999998584390
FS( 5 ),2062598.079999999841675,2001785.869999999646097,2062898.989999999990687,2050198.399999999674037,2047234.040000000270084,10224715.379999998956919
FS( 6 ),2092991.360000000102445,2016668.119999999646097,2101564.169999999925494,2057309.839999999850988,2033015.630000000121072,10301549.119999999180436
FS( 7 ),2100438.719999999739230,2005159.179999999701977,2111094.320000000298023,2062329.679999999701977,2031569.690000000176951,10310591.589999999850988
FS( 8 ),2100036.159999999683350,2010318.359999999869615,2103197.910000000149012,2041832.000000000000000,2026749.890000000130385,10282134.320000000298023
FS( 9 ),2139889.600000000093132,2001190.579999999608845,2082231.579999999841675,1982848.879999999888241,2026508.900000000372529,10232669.539999999105930
FS( 10 ),2189001.919999999925494,2012501.089999999850988,2069161.659999999916181,2000418.319999999832362,2019279.200000000419095,10290362.190000001341105
FS( 11 ),2191014.719999999739230,1986903.619999999646097,2107009.969999999739230,2010458.000000000000000,2017110.290000000270084,10312496.599999999627471
FS( 12 ),2154985.600000000093132,2001389.009999999776483,2065077.310000000055879,1985358.799999999813735,2000240.990000000223517,10207051.710000000894070
FS( 13 ),2135662.719999999739230,2001389.009999999776483,2078419.520000000018626,2028864.079999999841675,2014941.380000000121072,10259276.710000000894070
FS( 14 ),2156797.120000000111759,2021430.439999999944121,2065349.599999999860302,2011712.959999999962747,2014941.380000000121072,10270231.500000000000000
FS( 15 ),2131435.839999999850988,2006945.049999999813735,2081414.709999999962747,2034302.239999999990687,2029400.780000000027940,10283498.619999999180436
FS( 16 ),2140493.439999999944121,1992459.659999999683350,2108371.419999999925494,2081572.399999999674037,2044101.170000000158325,10366998.089999999850988
FS( 17 ),2102451.520000000018626,1952376.799999999813735,2118173.860000000335276,2074879.279999999795109,2083864.520000000251457,10331745.979999998584390
FS( 18 ),2098627.200000000186265,1966068.469999999739230,2123891.950000000186265,2062329.679999999701977,2072056.010000000242144,10322973.310000000521541
FS( 19 ),2092588.799999999813735,1935510.250000000000000,2115450.959999999962747,2062748.000000000000000,2093986.100000000325963,10300284.109999999403954
FS( 20 ),2108892.479999999981374,1957139.119999999646097,2125253.399999999441206,2127587.599999999627471,2069164.130000000121072,10388036.729999998584390
FS( 21 ),2109697.600000000093132,1956742.259999999776483,2125525.690000000409782,2104580.000000000000000,2064103.340000000316650,10360648.890000000596046
FS( 22 ),2120164.159999999683350,1984522.459999999962747,2127431.719999999739230,2109181.519999999552965,2024339.990000000223517,10365639.849999999627471
