代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11029137.719999998807907
真實報酬,1029137.719999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18455.681747316652036
風險,95991.553370933906990
起點值,0.192263601319166
找到最佳解世代,2465
找到最佳解實驗#,1
找到最佳解次數,38

stock[index](rank)
投資組合檔數,2
MCD[15](1),VZ[26](4),
Stock#,MCD[15](1),VZ[26](4),
張數,71174,169147,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.500000000000000,14.680000000633299,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5014234.799999999813735,4996617.060000000521541,10010851.859999999403954
FS( 3 ),5031316.559999999590218,4972936.480000000447035,10004253.039999999105930
FS( 4 ),5014234.799999999813735,4998308.530000001192093,10012543.330000001937151
FS( 5 ),5106049.259999999776483,4998308.530000001192093,10104357.790000000968575
FS( 6 ),5190034.580000000074506,5050744.100000000558794,10240778.679999999701977
FS( 7 ),5184340.660000000149012,5077807.620000000111759,10262148.280000001192093
FS( 8 ),5093949.679999999701977,5000000.000000000000000,10093949.679999999701977
FS( 9 ),5128824.940000000409782,5128551.720000000670552,10257376.660000000149012
FS( 10 ),5116725.360000000335276,5079499.090000000782311,10196224.450000001117587
FS( 11 ),5109607.960000000894070,5067658.800000000745058,10177266.760000001639128
FS( 12 ),5211386.780000000260770,5103179.670000000856817,10314566.450000001117587
FS( 13 ),5213522.000000000000000,5099796.730000000447035,10313318.730000000447035
FS( 14 ),5193593.280000000260770,5010148.820000001229346,10203742.100000001490116
FS( 15 ),5201422.419999999925494,4967862.070000001229346,10169284.490000002086163
FS( 16 ),5219927.660000000149012,4974627.950000001117587,10194555.610000001266599
FS( 17 ),5175799.780000000260770,4984776.770000000484288,10160576.550000000745058
FS( 18 ),5209251.559999999590218,5016914.700000001117587,10226166.260000001639128
FS( 19 ),5207116.339999999850988,4989851.180000000633299,10196967.519999999552965
FS( 20 ),5266190.759999999776483,5047361.160000000149012,10313551.919999999925494
FS( 21 ),5177223.259999999776483,4979702.360000001266599,10156925.620000001043081
FS( 22 ),5199998.940000000409782,4994925.590000000782311,10194924.530000001192093
FS( 23 ),5305336.460000000894070,5118402.900000001303852,10423739.360000003129244
FS( 24 ),5339499.979999999515712,5093030.850000000558794,10432530.830000000074506
FS( 25 ),5344482.160000000149012,5108254.080000000074506,10452736.240000000223517
FS( 26 ),5395015.700000000186265,5111637.020000000484288,10506652.720000000670552
FS( 27 ),5414944.419999999925494,5152232.300000000745058,10567176.720000000670552
FS( 28 ),5293236.879999999888241,5216508.160000000149012,10509745.039999999105930
FS( 29 ),5338788.240000000223517,5213125.220000000670552,10551913.460000000894070
FS( 30 ),5307471.679999999701977,5226656.980000000447035,10534128.660000000149012
FS( 31 ),5262632.059999999590218,5228348.450000001117587,10490980.510000001639128
FS( 32 ),5317436.039999999105930,5275709.610000001266599,10593145.650000000372529
FS( 33 ),5323841.700000000186265,5314613.420000000856817,10638455.120000001043081
FS( 34 ),5289678.179999999701977,5358591.640000000596046,10648269.820000000298023
FS( 35 ),5345905.639999999664724,5427941.910000001080334,10773847.550000000745058
FS( 36 ),5374375.240000000223517,5466845.720000000670552,10841220.960000000894070
FS( 37 ),5347329.120000000111759,5478686.010000000707805,10826015.130000000819564
FS( 38 ),5312453.860000000335276,5441473.670000000856817,10753927.530000001192093
FS( 39 ),5345193.899999999441206,5520972.760000000707805,10866166.660000000149012
FS( 40 ),5320994.740000000223517,5558185.100000000558794,10879179.839999999850988
FS( 41 ),5311742.120000000111759,5534504.520000000484288,10846246.640000000596046
FS( 42 ),5298930.799999999813735,5524355.700000000186265,10823286.500000000000000
FS( 43 ),5303201.240000000223517,5512515.410000001080334,10815716.650000002235174
FS( 44 ),5332382.580000000074506,5563259.510000000707805,10895642.089999999850988
FS( 45 ),5334517.799999999813735,5586940.090000000782311,10921457.890000000596046
FS( 46 ),5396439.179999999701977,5678279.470000000670552,11074718.650000000372529
FS( 47 ),5366546.100000000558794,5624152.430000000633299,10990698.530000001192093
FS( 48 ),5399286.139999999664724,5570025.390000000596046,10969311.530000001192093
FS( 49 ),5416367.899999999441206,5553110.690000000409782,10969478.589999999850988
FS( 50 ),5380069.160000000149012,5586940.090000000782311,10967009.250000000000000
FS( 51 ),5379357.419999999925494,5504058.060000000521541,10883415.480000000447035
FS( 52 ),5391457.000000000000000,5448239.550000000745058,10839696.550000000745058
FS( 53 ),5483271.460000000894070,5487143.360000000335276,10970414.820000000298023
FS( 54 ),5514588.020000000484288,5485451.890000000596046,11000039.910000000149012
FS( 55 ),5503200.179999999701977,5512515.410000001080334,11015715.589999999850988
FS( 56 ),5479712.759999999776483,5439782.200000000186265,10919494.960000000894070
FS( 57 ),5509605.839999999850988,5520972.760000000707805,11030578.600000001490116
FS( 58 ),5582915.059999999590218,5500675.120000001043081,11083590.179999999701977
FS( 59 ),5590744.200000000186265,5427941.910000001080334,11018686.110000001266599
FS( 60 ),5601420.299999999813735,5471920.130000000819564,11073340.429999999701977
FS( 61 ),5605690.740000000223517,5497292.180000000633299,11102982.920000001788139
FS( 62 ),5514588.020000000484288,5498983.650000000372529,11013571.670000001788139
FS( 63 ),5514588.020000000484288,5482068.950000000186265,10996656.970000000670552
FS( 64 ),5535228.479999999515712,5493909.240000000223517,11029137.719999998807907
