代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11353290.650000000372529
真實報酬,1353290.650000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,21757.448164838766388
風險,83897.307898498969735
起點值,0.259334282706204
找到最佳解世代,2491
找到最佳解實驗#,1
找到最佳解次數,10

stock[index](rank)
投資組合檔數,3
AAPL[0](1),JNJ[12](12),WMT[28](7),
Stock#,AAPL[0](1),JNJ[12](12),WMT[28](7),
張數,16204,25891,29076,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,170.200000000186265,125.659999999683350,60.359999999869615,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3389884.959999999962747,3336439.919999999925494,3370259.519999999552965,10096585.399999998509884
FS( 3 ),3456159.320000000298023,3329190.439999999944121,3356593.799999999813735,10141944.559999998658895
FS( 4 ),3455835.240000000223517,3319610.770000000018626,3335949.839999999850988,10111396.849999999627471
FS( 5 ),3470580.879999999888241,3286988.109999999869615,3382471.439999999944121,10140041.429999999701977
FS( 6 ),3511577.000000000000000,3354304.709999999962747,3374330.159999999683350,10240212.869999999180436
FS( 7 ),3623222.560000000055879,3396248.129999999422580,3373457.879999999888241,10392929.570000000298023
FS( 8 ),3615120.560000000055879,3377088.790000000037253,3399626.279999999795109,10391836.629999998956919
FS( 9 ),3544795.200000000186265,3386150.639999999664724,3414455.040000000037253,10345401.879999998956919
FS( 10 ),3563429.800000000279397,3354045.799999999348074,3360373.679999999701977,10277850.279999999329448
FS( 11 ),3576393.000000000000000,3357411.629999999422580,3387705.120000000111759,10321510.750000000000000
FS( 12 ),3609935.280000000260770,3376570.969999999739230,3406604.519999999552965,10393111.769999999552965
FS( 13 ),3580606.040000000502914,3368803.669999999925494,3405150.719999999739230,10354561.429999999701977
FS( 14 ),3528267.120000000111759,3408675.810000000055879,3401370.839999999850988,10338314.769999999552965
FS( 15 ),3544309.080000000074506,3411006.000000000000000,3419979.479999999981374,10375295.560000000521541
FS( 16 ),3527456.920000000391155,3406086.709999999962747,3442658.760000000242144,10376203.390000000596046
FS( 17 ),3581740.320000000298023,3391587.750000000000000,3444694.079999999608845,10418023.150000000372529
FS( 18 ),3563267.759999999776483,3336181.009999999310821,3439751.159999999683350,10339200.929999999701977
FS( 19 ),3545929.479999999981374,3329708.259999999310821,3444112.560000000055879,10319751.299999998882413
FS( 20 ),3629380.080000000074506,3349903.239999999757856,3450800.040000000037253,10430084.359999999403954
FS( 21 ),3639426.560000000055879,3365696.750000000000000,3426666.959999999497086,10431791.269999999552965
FS( 22 ),3548198.040000000502914,3417737.659999999683350,3376365.479999999981374,10342302.179999999701977
FS( 23 ),3578337.479999999981374,3396765.949999999720603,3381889.919999999925494,10356994.349999999627471
FS( 24 ),3678640.240000000223517,3460716.719999999739230,3435680.519999999552965,10575038.480000000447035
FS( 25 ),3679450.440000000409782,3447771.219999999739230,3408639.839999999850988,10535862.500000000000000
FS( 26 ),3636347.800000000279397,3413595.099999999627471,3418816.439999999944121,10468760.339999999850988
FS( 27 ),3678964.320000000298023,3345760.679999999701977,3458069.040000000037253,10482795.039999999105930
FS( 28 ),3728548.560000000055879,3341618.119999999646097,3477840.719999999739230,10548008.399999998509884
FS( 29 ),3827717.040000000502914,3400390.689999999944121,3496158.599999999627471,10724267.330000000074506
FS( 30 ),3822207.680000000167638,3384597.179999999701977,3465047.279999999795109,10671853.139999998733401
FS( 31 ),3813295.479999999981374,3439486.099999999627471,3475514.640000000130385,10728297.220000000670552
FS( 32 ),3797901.680000000167638,3499812.129999999422580,3472316.279999999795109,10770031.089999999850988
FS( 33 ),3812647.320000000298023,3525703.129999999422580,3484528.200000000186265,10822879.649999998509884
FS( 34 ),3830957.840000000316650,3306406.359999999869615,3464175.000000000000000,10601540.199999999254942
FS( 35 ),3897394.240000000223517,3314691.479999999981374,3481620.599999999627471,10693707.320000000298023
FS( 36 ),3888482.040000000502914,3345242.859999999403954,3476968.439999999944121,10710694.339999999850988
FS( 37 ),3940658.920000000391155,3363366.560000000055879,3470280.959999999497086,10774307.439999999478459
FS( 38 ),3947140.520000000484288,3301228.159999999683350,3463011.959999999497086,10711381.639999998733401
FS( 39 ),3995752.520000000484288,3323235.509999999310821,3461267.399999999906868,10780256.429999999701977
FS( 40 ),4035776.400000000372529,3344725.040000000037253,3466501.079999999608845,10847003.519999999552965
FS( 41 ),3942441.359999999869615,3343171.579999999608845,3406313.760000000242144,10691927.699999999254942
FS( 42 ),3941955.240000000223517,3439486.099999999627471,3433935.959999999497086,10815378.299999998882413
FS( 43 ),4031077.240000000223517,3418773.299999999348074,3409512.120000000111759,10859363.660000000149012
FS( 44 ),4145477.479999999981374,3397024.859999999403954,3419979.479999999981374,10962482.820000000298023
FS( 45 ),4172700.200000000186265,3371910.589999999385327,3418525.679999999701977,10963137.469999998807907
FS( 46 ),4166704.720000000204891,3376829.879999999422580,3456033.719999999739230,10999569.320000000298023
FS( 47 ),4168487.160000000149012,3390811.020000000018626,3474642.359999999869615,11033941.539999999105930
FS( 48 ),4203973.919999999925494,3402979.790000000037253,3495867.839999999850988,11102822.550000000745058
FS( 49 ),4215478.759999999776483,3443628.659999999683350,3472897.799999999813735,11132006.219999998807907
