代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11305380.440000001341105
真實報酬,1305380.440000001341105

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20655.468116502681369
風險,77977.118800644748262
起點值,0.264891399351522
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,43

stock[index](rank)
投資組合檔數,6
AAPL[0](3),DD[7](20),GS[8](11),MSFT[18](10),PG[21](15),XOM[29](1),
Stock#,AAPL[0](3),DD[7](20),GS[8](11),MSFT[18](10),PG[21](15),XOM[29](1),
張數,23908,30547,10482,49632,21883,19379,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,39.320000000065193,21.679999999934807,28.000000000000000,23.440000000176951,56.719999999972060,72.000000000000000,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1672164.840000000083819,1683466.849999999860302,1663206.939999999944121,1683540.880000000353903,1661632.910000000149012,1668216.320000000065193,10032232.740000000223517
FS( 3 ),1651125.800000000046566,1686521.550000000046566,1644129.699999999953434,1680562.960000000195578,1659663.439999999944121,1656976.500000000000000,9978983.949999999254942
FS( 4 ),1649691.320000000065193,1739673.330000000074506,1640985.100000000093132,1681555.600000000325963,1663602.379999999888241,1672867.279999999795109,10048379.009999999776483
FS( 5 ),1665948.760000000242144,1711875.559999999823049,1616876.500000000000000,1652769.040000000037253,1655505.670000000158325,1664728.100000000093132,9967707.630000000819564
FS( 6 ),1642758.000000000000000,1675830.099999999860302,1604298.100000000093132,1638375.760000000009313,1670386.109999999869615,1657170.290000000037253,9888822.359999999403954
FS( 7 ),1661884.400000000139698,1693241.889999999897555,1618868.080000000074506,1641353.680000000167638,1683953.570000000065193,1650387.639999999897555,9949693.260000001639128
FS( 8 ),1672403.920000000158325,1757390.590000000083819,1656288.819999999832362,1675599.760000000009313,1704523.590000000083819,1667441.160000000149012,10133651.839999999850988
FS( 9 ),1683162.520000000251457,1786715.709999999962747,1677148.000000000000000,1693963.600000000325963,1717434.560000000055879,1685076.050000000046566,10243504.440000001341105
FS( 10 ),1694160.199999999953434,1775718.790000000037253,1671487.719999999972060,1709845.840000000316650,1723124.139999999897555,1697672.399999999906868,10272013.090000001713634
FS( 11 ),1703245.239999999990687,1758917.939999999944121,1652305.659999999916181,1711831.120000000344589,1698177.519999999785796,1681975.410000000149012,10206456.890000000596046
FS( 12 ),1711613.040000000037253,1789159.469999999972060,1700732.500000000000000,1719275.920000000158325,1714370.939999999944121,1692052.489999999990687,10327208.359999999403954
FS( 13 ),1723088.879999999888241,1800461.859999999869615,1659538.239999999990687,1733172.880000000353903,1738004.580000000074506,1695346.920000000158325,10349617.359999999403954
FS( 14 ),1738150.920000000158325,1797101.689999999944121,1663416.580000000074506,1735158.160000000149012,1737785.750000000000000,1696703.449999999953434,10368320.550000000745058
FS( 15 ),1780707.160000000149012,1799239.979999999981374,1674737.140000000130385,1736647.120000000344589,1728157.229999999981374,1690502.170000000158325,10409994.800000000745058
FS( 16 ),1775686.479999999981374,1807487.669999999925494,1669286.500000000000000,1716298.000000000000000,1759012.259999999776483,1705036.420000000158325,10432811.330000000074506
FS( 17 ),1792900.239999999990687,1785188.359999999869615,1653458.680000000167638,1675599.760000000009313,1770610.250000000000000,1697866.189999999944121,10375627.479999998584390
FS( 18 ),1816808.239999999990687,1767165.629999999888241,1676728.719999999972060,1673614.480000000214204,1764045.349999999860302,1713563.179999999934807,10411929.599999999627471
FS( 19 ),1796486.440000000176951,1719206.840000000083819,1699055.380000000121072,1773374.800000000046566,1750696.719999999972060,1704842.629999999888241,10443666.809999998658895
FS( 20 ),1809874.920000000158325,1701489.580000000074506,1692346.899999999906868,1765433.680000000167638,1779144.619999999878928,1709881.170000000158325,10458174.869999999180436
