代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11026036.140000000596046
真實報酬,1026036.140000000596046

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15254.532305610231560
風險,81842.175163998224889
起點值,0.186389624604217
找到最佳解世代,1666
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](8),BA[2](1),CVX[5](4),
Stock#,AAPL[0](8),BA[2](1),CVX[5](4),
張數,31231,25660,33263,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,48.369999999646097,99.000000000000000,47.770000000018626,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3364564.000000000000000,3365664.600000000093132,3357282.360000000335276,10087511.960000000894070
FS( 3 ),3363627.069999999832362,3412622.400000000372529,3407176.860000000335276,10183427.330000001937151
FS( 4 ),3384239.529999999795109,3403641.399999999441206,3422145.209999999962747,10210027.140000000596046
FS( 5 ),3295543.489999999292195,3410313.000000000000000,3463391.330000000074506,10169248.820000000298023
FS( 6 ),3220901.399999999441206,3298178.799999999813735,3368591.779999999795109,9887672.979999998584390
FS( 7 ),3293045.009999999776483,3338978.200000000186265,3401189.520000000018626,10033213.730000000447035
FS( 8 ),3371434.819999999832362,3304080.599999999627471,3307387.860000000335276,9982904.280000001192093
FS( 9 ),3490737.239999999292195,3276111.200000000186265,3273792.229999999981374,10040641.669999999925494
FS( 10 ),3609415.039999999571592,3278677.199999999720603,3309716.270000000018626,10197809.509999999776483
FS( 11 ),3589114.889999999664724,3251221.000000000000000,3254499.689999999944121,10094836.580000000074506
FS( 12 ),3547265.349999999627471,3271235.800000000279397,3261152.290000000037253,10079654.440000001341105
FS( 13 ),3546953.039999999571592,3279190.400000000372529,3249842.870000000111759,10075987.309999998658895
FS( 14 ),3546328.419999999459833,3350268.600000000093132,3314040.459999999962747,10210638.480000000447035
FS( 15 ),3579745.589999999850988,3383883.200000000186265,3325682.510000000242144,10289312.300000000745058
FS( 16 ),3520094.379999999422580,3381573.799999999813735,3300402.629999999888241,10202071.809999998658895
FS( 17 ),3525403.649999999441206,3350525.199999999720603,3285766.910000000149012,10161696.759999999776483
FS( 18 ),3531962.159999999683350,3369770.199999999720603,3292419.510000000242144,10194152.869999999180436
FS( 19 ),3558820.819999999832362,3393120.799999999813735,3397863.220000000204891,10349805.839999999850988
FS( 20 ),3503541.949999999720603,3362328.799999999813735,3368591.779999999795109,10234463.529999999329448
FS( 21 ),3530712.919999999459833,3380547.400000000372529,3423475.729999999981374,10334737.050000000745058
FS( 22 ),3514160.489999999292195,3396969.799999999813735,3407842.120000000111759,10318973.410000000149012
FS( 23 ),3529151.369999999646097,3393634.000000000000000,3368591.779999999795109,10291378.149999998509884
FS( 24 ),3530712.919999999459833,3455474.600000000093132,3400524.260000000242144,10386712.779999999329448
FS( 25 ),3556946.959999999497086,3449316.199999999720603,3398861.110000000335276,10405125.269999999552965
FS( 26 ),3562256.229999999515712,3434690.000000000000000,3401854.779999999795109,10398802.009999999776483
FS( 27 ),3624405.919999999459833,3485753.399999999906868,3458734.510000000242144,10568894.830000000074506
FS( 28 ),3632213.669999999459833,3431867.400000000372529,3427467.290000000037253,10491549.359999999403954
FS( 29 ),3664693.909999999683350,3416984.600000000093132,3397863.220000000204891,10479542.730000000447035
FS( 30 ),3653450.750000000000000,3422629.799999999813735,3352625.540000000037253,10428707.089999999850988
FS( 31 ),3673750.899999999441206,3425709.000000000000000,3362271.810000000055879,10461732.709999999031425
FS( 32 ),3671252.419999999459833,3438539.000000000000000,3371585.450000000186265,10481377.870000001043081
FS( 33 ),3668753.939999999478459,3466765.000000000000000,3385888.540000000037253,10521408.480000000447035
FS( 34 ),3657823.089999999850988,3494477.800000000279397,3401854.779999999795109,10554156.669999999925494
FS( 35 ),3655949.229999999515712,3485753.399999999906868,3388549.580000000074506,10530253.209999999031425
FS( 36 ),3641582.969999999273568,3480364.799999999813735,3369589.669999999925494,10491538.439999999478459
FS( 37 ),3674375.520000000018626,3527065.999999999534339,3348301.350000000093132,10549743.869999999180436
FS( 38 ),3693114.119999999646097,3567352.200000000186265,3351960.279999999795109,10612427.599999999627471
FS( 39 ),3610039.659999999683350,3734655.399999999906868,3365930.739999999757856,10710626.799999998882413
FS( 40 ),3575373.250000000000000,3677433.600000000093132,3323686.729999999981374,10576494.580000000074506
FS( 41 ),3551637.689999999478459,3669735.599999999627471,3453412.429999999701977,10674786.719999998807907
FS( 42 ),3546016.109999999869615,3654852.800000000279397,3484347.020000000018626,10685216.929999999701977
FS( 43 ),3481992.559999999590218,3654339.600000000093132,3541892.010000000242144,10678225.169999999925494
FS( 44 ),3485115.659999999683350,3611744.000000000000000,3505635.339999999850988,10602496.000000000000000
FS( 45 ),3430149.099999999627471,3593012.200000000186265,3505635.339999999850988,10528797.640000000596046
FS( 46 ),3399230.409999999683350,3580695.399999999906868,3485344.910000000149012,10465271.719999998807907
FS( 47 ),3448263.079999999608845,3670248.799999999813735,3554199.319999999832362,10672712.199999999254942
FS( 48 ),3468563.229999999515712,3648950.999999999534339,3568835.040000000037253,10686350.269999999552965
FS( 49 ),3462941.649999999441206,3723108.399999999906868,3580477.089999999850988,10766528.139999998733401
FS( 50 ),3366437.859999999869615,3789824.399999999906868,3585466.540000000037253,10741729.800000000745058
FS( 51 ),3386425.699999999720603,3811122.200000000186265,3547214.089999999850988,10744762.990000000223517
FS( 52 ),3301477.379999999422580,3848842.400000000372529,3545550.939999999944121,10695871.719999998807907
FS( 53 ),3345200.779999999795109,3800601.600000000558794,3624384.250000000000000,10770187.630000000819564
FS( 54 ),3435146.059999999590218,3757749.399999999906868,3604093.819999999832362,10796990.279999999329448
FS( 55 ),3433896.819999999832362,3729266.800000000279397,3596443.330000000074506,10759607.949999999254942
FS( 56 ),3437332.229999999515712,3755440.000000000000000,3632367.370000000111759,10825140.599999999627471
FS( 57 ),3489488.000000000000000,3772632.200000000186265,3664965.110000000335276,10927086.310000000521541
FS( 58 ),3491674.169999999459833,3836782.200000000186265,3679600.830000000074506,11008058.199999999254942
FS( 59 ),3473872.500000000000000,3842427.400000000372529,3692240.770000000018626,11008541.669999999925494
FS( 60 ),3491361.859999999869615,3850125.399999999906868,3692240.770000000018626,11033729.029999999329448
FS( 61 ),3484491.039999999571592,3843197.200000000186265,3675609.270000000018626,11003298.509999999776483
FS( 62 ),3481055.629999999422580,3891181.399999999441206,3637024.189999999944121,11009262.219999998807907
FS( 63 ),3451698.489999999292195,3863468.600000000093132,3710868.050000000279397,11026036.140000000596046
