代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10767354.199999999254942
真實報酬,767354.199999999254942

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12323.272588053168874
風險,41859.820715611916967
起點值,0.294393821506673
找到最佳解世代,2735
找到最佳解實驗#,2
找到最佳解次數,39

stock[index](rank)
投資組合檔數,5
JPM[13](4),MCD[15](6),PG[21](9),UNH[23](1),V[25](7),
Stock#,JPM[13](4),MCD[15](6),PG[21](9),UNH[23](1),V[25](7),
張數,24078,13124,22693,11137,20964,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,81.319999999832362,33.640000000130385,65.910000000149012,17.539999999804422,34.399999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1989887.239999999757856,2017717.400000000139698,2010438.780000000260770,1997883.969999999739230,2015723.000000000000000,10031650.390000000596046
FS( 3 ),1993498.939999999944121,2005249.600000000093132,2013842.729999999981374,1997661.229999999748543,2024108.599999999860302,10034361.099999999627471
FS( 4 ),1997592.199999999720603,1984776.159999999916181,2015204.310000000055879,2013809.879999999655411,2008175.959999999962747,10019558.509999999776483
FS( 5 ),2020466.299999999813735,1994094.200000000186265,2014523.520000000018626,2040427.309999999823049,2014465.159999999916181,10083976.489999998360872
FS( 6 ),2045507.419999999925494,1987400.960000000195578,1993645.959999999962747,2023499.069999999832362,2014465.159999999916181,10064518.570000000298023
FS( 7 ),2093904.199999999720603,1988057.159999999916181,2000680.790000000037253,2020937.559999999823049,1982390.239999999990687,10085969.949999999254942
FS( 8 ),2094385.760000000009313,1948553.920000000158325,2002496.229999999981374,1996324.789999999804422,1960168.399999999906868,10001929.099999999627471
FS( 9 ),2101368.379999999888241,1966271.320000000065193,1998411.490000000223517,2016371.389999999897555,1993291.519999999785796,10075714.099999999627471
FS( 10 ),2097034.339999999850988,1977557.960000000195578,2007034.830000000074506,2030960.859999999869615,1998322.879999999655411,10110910.869999999180436
FS( 11 ),2084513.779999999562278,1983988.719999999972060,2028366.250000000000000,2008909.599999999860302,1974214.280000000027940,10079992.629999998956919
FS( 12 ),2075123.360000000102445,1994750.400000000139698,2034720.290000000037253,2022830.849999999860302,1974214.280000000027940,10101639.179999999701977
FS( 13 ),2120630.779999999795109,2009843.000000000000000,2039258.890000000130385,2038311.280000000027940,1987211.959999999962747,10195255.910000000149012
FS( 14 ),2107387.879999999888241,2022048.320000000065193,2034039.500000000000000,2041095.530000000027940,1978616.719999999739230,10183187.949999999254942
FS( 15 ),2097756.680000000167638,2017586.159999999916181,2028820.110000000335276,2059471.579999999608845,1981970.959999999962747,10185605.489999998360872
FS( 16 ),2095348.879999999655411,2031628.840000000316650,2020423.700000000186265,2077068.039999999804422,1969602.199999999953434,10194071.660000000149012
FS( 17 ),2091496.399999999906868,2029529.000000000000000,2029273.970000000204891,2063146.789999999804422,2003773.519999999785796,10217219.679999999701977
FS( 18 ),2100646.039999999571592,2020604.680000000167638,2027912.390000000130385,2061698.979999999748543,1996226.479999999981374,10207088.569999998435378
FS( 19 ),2120149.219999999739230,2017454.920000000158325,2010892.640000000130385,2055907.739999999757856,1989518.000000000000000,10193922.519999999552965
FS( 20 ),2162767.279999999795109,2025066.840000000316650,2005446.320000000298023,2068158.439999999711290,2017400.119999999878928,10278839.000000000000000
FS( 21 ),2194791.020000000018626,2009711.760000000009313,1974129.979999999981374,2063369.530000000027940,1979455.280000000027940,10221457.570000000298023
FS( 22 ),2200810.520000000018626,2010105.479999999981374,1977760.860000000335276,2065040.079999999608845,1966038.319999999832362,10219755.259999999776483
FS( 23 ),2233315.819999999832362,2001443.640000000130385,1991149.729999999981374,2078738.589999999850988,1957023.799999999813735,10261671.579999998211861
FS( 24 ),2255708.359999999869615,2008924.320000000065193,1989561.220000000204891,2096557.789999999804422,1970860.040000000037253,10321611.730000000447035
FS( 25 ),2248484.959999999497086,2009186.800000000279397,1982753.320000000298023,2081968.319999999832362,1954927.399999999906868,10277320.800000000745058
FS( 26 ),2259801.619999999646097,2050921.120000000344589,1989107.360000000335276,2093328.059999999823049,1968973.280000000027940,10362131.439999999478459
FS( 27 ),2243910.139999999664724,2041078.120000000344589,1976399.280000000260770,2082079.689999999711290,1993501.159999999916181,10336968.389999998733401
FS( 28 ),2235242.059999999590218,2033072.479999999981374,1969137.520000000018626,2070942.689999999711290,2000209.639999999897555,10308604.389999998733401
FS( 29 ),2227537.100000000093132,2054989.560000000288710,1973449.189999999944121,2079184.069999999832362,2016351.920000000158325,10351511.839999999850988
FS( 30 ),2241743.119999999646097,2034778.600000000093132,1967549.010000000242144,2065708.299999999580905,2011320.559999999823049,10321099.589999999850988
FS( 31 ),2221276.819999999832362,2037928.360000000102445,1976626.209999999962747,2081522.839999999850988,2032074.920000000158325,10349429.150000000372529
FS( 32 ),2200569.739999999757856,2037665.880000000121072,1986838.060000000055879,2075397.489999999757856,2029978.519999999785796,10330449.689999999478459
FS( 33 ),2192864.779999999795109,2020604.680000000167638,2011573.430000000167638,2080965.989999999757856,2045701.519999999785796,10351710.400000000372529
FS( 34 ),2195994.919999999925494,2019686.000000000000000,2004992.459999999962747,2107026.569999999366701,2059747.399999999906868,10387447.349999999627471
FS( 35 ),2195994.919999999925494,2023885.680000000167638,2010665.709999999962747,2132753.040000000037253,2056812.439999999944121,10420111.789999999105930
FS( 36 ),2188530.739999999757856,2020079.719999999972060,2010892.640000000130385,2135871.399999999441206,2088048.799999999813735,10443423.299999998882413
FS( 37 ),2197921.159999999683350,1992913.040000000037253,2001134.650000000372529,2125959.469999999739230,2104191.080000000074506,10422119.399999998509884
FS( 38 ),2234519.719999999739230,2087668.320000000065193,2022919.930000000167638,2120502.339999999850988,2096224.759999999776483,10561835.070000000298023
FS( 39 ),2213571.859999999869615,2054070.880000000121072,2026550.810000000055879,2124400.290000000037253,2114253.799999999813735,10532847.640000000596046
FS( 40 ),2204422.219999999739230,2059845.439999999944121,2057867.150000000372529,2104130.950000000186265,2087419.879999999655411,10513685.640000000596046
FS( 41 ),2197921.159999999683350,2045409.040000000037253,2047201.439999999944121,2128855.089999999850988,2078615.000000000000000,10498001.729999998584390
FS( 42 ),2210441.719999999739230,2036091.000000000000000,2061044.169999999925494,2136205.509999999776483,2087210.239999999990687,10530992.639999998733401
