代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11113791.070000000298023
真實報酬,1113791.070000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18481.618460532205063
風險,83311.552507020445773
起點值,0.221837403149759
找到最佳解世代,2124
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
IBM[10](10),JNJ[12](3),PFE[20](7),XOM[29](1),
Stock#,IBM[10](10),JNJ[12](3),PFE[20](7),XOM[29](1),
張數,18605,23316,83222,30757,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,46.149999999906868,58.479999999981374,11.120000000111759,71.040000000037253,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2535907.649999999906868,2495803.120000000111759,2495006.680000000167638,2543674.939999999944121,10070392.389999998733401
FS( 3 ),2563815.149999999906868,2486709.879999999888241,2487516.700000000186265,2534447.840000000316650,10072489.570000000298023
FS( 4 ),2563815.149999999906868,2483212.479999999981374,2472536.740000000223517,2531064.570000000298023,10050628.940000001341105
FS( 5 ),2607536.899999999906868,2488808.319999999832362,2479194.500000000000000,2597807.259999999776483,10173346.980000000447035
FS( 6 ),2587443.500000000000000,2476684.000000000000000,2443409.040000000037253,2541521.949999999720603,10049058.490000000223517
FS( 7 ),2612374.199999999720603,2491139.919999999925494,2475033.399999999906868,2534447.840000000316650,10112995.359999999403954
FS( 8 ),2608281.100000000093132,2498134.720000000204891,2462550.100000000093132,2527681.300000000279397,10096647.220000000670552
FS( 9 ),2648653.950000000186265,2511424.839999999850988,2538282.120000000111759,2527988.870000000111759,10226349.780000001192093
FS( 10 ),2656468.049999999813735,2510259.040000000037253,2504993.320000000298023,2534755.410000000149012,10206475.820000000298023
FS( 11 ),2659816.950000000186265,2512590.640000000130385,2458389.000000000000000,2547365.779999999795109,10178162.369999999180436
FS( 12 ),2693864.099999999627471,2504430.040000000037253,2416778.000000000000000,2548903.630000000353903,10163975.769999999552965
FS( 13 ),2735725.349999999627471,2488808.319999999832362,2441744.600000000093132,2586734.739999999757856,10253013.009999999776483
FS( 14 ),2736655.600000000093132,2506528.479999999981374,2450899.020000000018626,2589810.439999999944121,10283893.539999999105930
FS( 15 ),2765307.299999999813735,2501398.959999999962747,2502496.660000000149012,2571971.380000000353903,10341174.300000000745058
FS( 16 ),2755446.649999999906868,2503730.560000000055879,2528295.479999999981374,2587349.880000000353903,10374822.570000000298023
FS( 17 ),2705213.149999999906868,2529844.479999999981374,2512483.300000000279397,2575969.790000000037253,10323510.719999998807907
FS( 18 ),2752655.899999999906868,2525414.439999999944121,2503328.879999999888241,2583043.900000000372529,10364443.120000001043081
FS( 19 ),2761028.149999999906868,2523549.160000000149012,2478362.280000000260770,2590425.580000000074506,10353365.170000001788139
FS( 20 ),2778330.800000000279397,2544766.720000000204891,2500832.220000000204891,2599960.250000000000000,10423889.990000000223517
FS( 21 ),2761214.199999999720603,2541036.160000000149012,2502496.660000000149012,2599652.679999999701977,10404399.699999999254942
FS( 22 ),2817773.399999999906868,2522849.680000000167638,2466711.200000000186265,2571048.669999999925494,10378382.949999999254942
FS( 23 ),2837680.750000000000000,2545932.520000000018626,2500000.000000000000000,2551671.759999999776483,10435285.029999999329448
FS( 24 ),2829308.500000000000000,2531942.919999999925494,2556590.959999999962747,2557823.160000000149012,10475665.539999999105930
FS( 25 ),2790796.149999999906868,2540336.680000000167638,2609853.040000000037253,2528604.009999999776483,10469589.879999998956919
FS( 26 ),2791168.250000000000000,2551295.200000000186265,2740511.580000000074506,2562436.709999999962747,10645411.740000000223517
FS( 27 ),2758237.399999999906868,2547797.799999999813735,2726363.839999999850988,2533525.130000000353903,10565924.169999999925494
FS( 28 ),2778702.899999999906868,2543834.080000000074506,2704726.120000000111759,2559361.009999999776483,10586624.109999999403954
FS( 29 ),2776842.399999999906868,2540803.000000000000000,2653960.700000000186265,2562744.279999999795109,10534350.380000000819564
FS( 30 ),2783912.299999999813735,2555492.080000000074506,2659786.240000000223517,2594423.989999999757856,10593614.609999999403954
FS( 31 ),2813680.299999999813735,2561787.399999999906868,2708055.000000000000000,2609187.350000000093132,10692710.049999998882413
FS( 32 ),2812377.949999999720603,2561087.919999999925494,2717209.419999999925494,2627641.550000000279397,10718316.839999999850988
FS( 33 ),2822796.750000000000000,2569015.360000000335276,2704726.120000000111759,2613493.330000000074506,10710031.560000000521541
FS( 34 ),2837866.799999999813735,2586502.360000000335276,2713880.540000000037253,2638406.500000000000000,10776656.199999999254942
FS( 35 ),2679166.149999999906868,2627305.360000000335276,2737182.700000000186265,2651632.009999999776483,10695286.219999998807907
FS( 36 ),2718422.700000000186265,2648289.759999999776483,2765478.179999999701977,2669778.640000000130385,10801969.279999999329448
FS( 37 ),2777772.649999999906868,2648056.599999999627471,2766310.400000000372529,2669471.070000000298023,10861610.720000000670552
FS( 38 ),2762888.649999999906868,2642227.599999999627471,2768807.060000000521541,2692231.250000000000000,10866154.560000000521541
FS( 39 ),2768656.199999999720603,2646657.640000000130385,2763813.740000000223517,2686079.850000000093132,10865207.429999999701977
FS( 40 ),2773679.550000000279397,2632668.040000000037253,2750498.219999999739230,2695306.949999999720603,10852152.759999999776483
FS( 41 ),2799540.500000000000000,2629403.799999999813735,2746337.120000000111759,2720835.259999999776483,10896116.679999999701977
